Run Name,33% RL group 5 03 18 14.2
Run Date,03:23:32 PM   03-18-14
Method Name,33% RL group 5 03 18 14.2
Export Format Version, 1.00
Method ID, 1970
Points/Second, 5.00
Number of Records,   5220
Offset from Run Start Time,00:00:00
Run End Time,00:17:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,-0.000047,0.000000, 33,-0.001599,0.000000,  36.311,   95
     0.2,-0.000034,0.000000, 33,-0.001599,0.000000,  36.313,   97
     0.4,-0.000031,0.000000, 33,-0.001599,0.000000,  36.313,   99
     0.6,0.000010,0.000000, 33,-0.001599,0.000000,  36.308,   98
     0.8,0.000000,0.000000, 33,0.000000,0.000000,  36.316,   97
     1.0,0.000000,0.000000, 33,0.000000,0.000000,  36.315,   96
     1.2,0.000000,0.000000, 33,0.000000,0.000000,  36.313,   96
     1.4,0.000000,0.000000, 33,0.000000,0.000000,  36.311,   95
     1.6,0.000000,0.000000, 33,0.000000,0.000000,  36.312,   95
     1.8,0.000000,0.000000, 33,0.000000,0.000000,  36.311,   94
     2.0,0.000000,0.000000, 33,0.000000,0.000000,  36.312,   94
     2.2,0.000000,0.000000, 33,0.000000,0.000000,  36.313,   95
     2.4,0.000000,0.000000, 33,0.000000,0.000000,  36.311,   97
     2.6,0.000000,0.000000, 33,0.000000,0.000000,  36.306,   95
     2.8,0.000000,0.000000, 33,0.000000,0.000000,  36.310,   93
     3.0,0.000000,0.000000, 33,0.000000,0.000000,  36.311,   93
     3.2,0.000000,0.000000, 33,0.000000,0.000000,  36.311,   94
     3.4,0.000000,0.000000, 33,0.000000,0.000000,  36.309,   96
     3.6,0.000000,0.000000, 33,0.000000,0.000000,  36.308,   97
     3.8,0.000000,0.000000, 33,0.000000,0.000000,  36.310,   97
     4.0,0.000000,0.000000, 33,0.000000,0.000000,  36.311,   96
     4.2,0.000000,0.000000, 33,0.000000,0.000000,  36.312,   96
     4.4,-0.000004,0.000000, 33,0.000000,0.000000,  36.304,   96
     4.6,-0.000004,-0.000006, 33,-0.000080,-0.000023,  36.313,   96
     4.8,-0.000004,-0.000001, 33,-0.000099,0.000013,  36.306,   96
     5.0,-0.000004,-0.000004, 33,-0.000129,0.000000,  36.307,   96
     5.2,-0.000011,-0.000007, 33,-0.000179,0.000013,  36.308,   95
     5.4,-0.000007,-0.000008, 33,-0.000216,-0.000023,  36.304,   96
     5.6,-0.000007,-0.000010, 33,-0.000277,-0.000023,  36.306,   96
     5.8,-0.000007,-0.000013, 33,-0.000351,-0.000023,  36.306,   97
     6.0,-0.000003,-0.000018, 33,-0.000382,-0.000023,  36.305,   99
     6.2,-0.000003,-0.000018, 33,-0.000413,-0.000023,  36.303,   98
     6.4,-0.000003,-0.000010, 33,-0.000444,-0.000023,  36.308,   97
     6.6,-0.000003,-0.000012, 33,-0.000431,-0.000059,  36.305,   99
     6.8,-0.000003,-0.000017, 33,-0.000425,-0.000059,  36.305,  100
     7.0,-0.000003,-0.000010, 33,-0.000413,-0.000059,  36.300,   98
     7.2,-0.000003,-0.000010, 33,-0.000388,-0.000095,  36.303,   96
     7.4,-0.000003,-0.000011, 33,-0.000363,-0.000059,  36.304,   96
     7.6,-0.000003,-0.000011, 33,-0.000339,-0.000059,  36.301,   95
     7.8,-0.000005,-0.000014, 33,-0.000339,-0.000095,  36.300,   94
     8.0,-0.000005,-0.000017, 33,-0.000363,-0.000059,  36.302,   94
     8.2,-0.000005,-0.000015, 33,-0.000382,-0.000059,  36.303,   93
     8.4,-0.000008,-0.000015, 33,-0.000382,-0.000095,  36.300,   93
     8.6,-0.000008,-0.000017, 33,-0.000382,-0.000059,  36.299,   94
     8.8,-0.000008,-0.000019, 33,-0.000394,-0.000059,  36.300,   95
     9.0,-0.000008,-0.000015, 33,-0.000425,-0.000095,  36.297,   95
     9.2,-0.000008,-0.000020, 33,-0.000468,-0.000059,  36.300,   94
     9.4,-0.000008,-0.000018, 33,-0.000536,-0.000059,  36.298,   93
     9.6,-0.000008,-0.000019, 33,-0.000751,-0.000095,  36.297,   92
     9.8,-0.000008,-0.000021, 33,-0.001071,-0.000059,  36.297,   96
    10.0,-0.000015,-0.000017, 33,-0.001470,-0.000059,  36.294,  100
    10.2,-0.000015,-0.000019, 33,-0.001433,-0.000095,  36.293,   99
    10.4,-0.000015,-0.000021, 33,-0.001237,-0.000059,  36.297,   98
    10.6,-0.000021,-0.000021, 33,-0.000868,-0.000059,  36.298,   97
    10.8,-0.000015,-0.000019, 33,-0.000764,-0.000095,  36.292,   97
    11.0,-0.000015,-0.000021, 33,-0.000721,-0.000059,  36.294,   96
    11.2,-0.000012,-0.000021, 33,-0.000739,-0.000059,  36.293,   96
    11.4,-0.000015,-0.000015, 33,-0.000696,-0.000095,  36.291,   96
    11.6,-0.000008,-0.000015, 33,-0.000653,-0.000059,  36.292,   95
    11.8,-0.000015,-0.000013, 33,-0.000622,-0.000059,  36.290,   96
    12.0,-0.000011,-0.000011, 33,-0.000573,-0.000095,  36.290,   96
    12.2,-0.000011,-0.000009, 33,-0.000524,-0.000059,  36.291,   98
    12.4,-0.000004,-0.000004, 33,-0.000487,-0.000059,  36.292,   99
    12.6,-0.000001,-0.000004, 33,-0.000474,-0.000095,  36.290,   97
    12.8,0.000001,0.000001, 33,-0.000493,-0.000059,  36.286,   95
    13.0,0.000011,0.000002, 33,-0.000542,-0.000059,  36.289,   98
    13.2,0.000013,0.000005, 33,-0.000690,-0.000095,  36.290,  101
    13.4,0.000001,0.000007, 33,-0.000905,-0.000059,  36.287,   99
    13.6,-0.000005,0.000003, 33,-0.001169,-0.000059,  36.290,   97
    13.8,-0.000003,0.000001, 33,-0.001175,-0.000095,  36.288,   96
    14.0,-0.000005,-0.000002, 33,-0.001108,-0.000059,  36.295,   95
    14.2,-0.000012,0.000001, 33,-0.000942,-0.000059,  36.292,   94
    14.4,-0.000009,0.000007, 33,-0.000880,-0.000059,  36.294,   93
    14.6,-0.000003,0.000009, 33,-0.000813,-0.000095,  36.292,   93
    14.8,-0.000003,0.000003, 33,-0.000751,-0.000059,  36.293,   93
    15.0,-0.000003,0.000003, 33,-0.000684,-0.000059,  36.291,   95
    15.2,-0.000005,-0.000000, 33,-0.000616,-0.000095,  36.289,   97
    15.4,-0.000005,-0.000000, 33,-0.000542,-0.000059,  36.286,   95
    15.6,-0.000005,-0.000004, 33,-0.000462,-0.000046,  36.291,   93
    15.8,-0.000008,-0.000009, 33,-0.000425,-0.000082,  36.296,   94
    16.0,-0.000008,-0.000004, 33,-0.000419,-0.000046,  36.294,   94
    16.2,-0.000005,-0.000004, 33,-0.000450,-0.000033,  36.291,   97
    16.4,-0.000005,-0.000009, 33,-0.000407,-0.000069,  36.288,  100
    16.6,-0.000005,-0.000002, 33,-0.000333,-0.000046,  36.293,   99
    16.8,0.000000,-0.000002, 33,-0.000246,-0.000046,  36.292,   97
    17.0,0.000000,-0.000000, 33,-0.000216,-0.000082,  36.292,   97
    17.2,0.000000,-0.000003, 33,-0.000179,-0.000046,  36.289,   96
    17.4,0.000003,-0.000003, 33,-0.000166,-0.000046,  36.289,   95
    17.6,0.000000,-0.000001, 33,-0.000123,-0.000082,  36.288,   95
    17.8,0.000007,0.000003, 33,-0.000111,-0.000046,  36.287,   96
    18.0,0.000009,0.000003, 33,-0.000086,-0.000059,  36.290,   96
    18.2,0.000007,0.000001, 33,-0.000111,-0.000095,  36.289,   96
    18.4,0.000016,-0.000004, 33,-0.000191,-0.000059,  36.291,   96
    18.6,0.000019,-0.000001, 33,-0.000302,-0.000072,  36.289,   97
    18.8,0.000015,-0.000000, 33,-0.000443,-0.000109,  36.291,   98
    19.0,0.000018,-0.000000, 33,-0.000622,-0.000059,  36.285,   97
    19.2,0.000015,-0.000000, 33,-0.000856,-0.000046,  36.285,   96
    19.4,0.000015,0.000005, 33,-0.000874,-0.000082,  36.289,   98
    19.6,0.000018,0.000005, 33,-0.000813,-0.000046,  36.287,  100
    19.8,0.000015,0.000005, 33,-0.000677,-0.000046,  36.279,   98
    20.0,0.000015,0.000007, 33,-0.000646,-0.000082,  36.282,   97
    20.2,0.000018,0.000007, 33,-0.000603,-0.000059,  36.282,   96
    20.4,0.000015,0.000005, 33,-0.000579,-0.000059,  36.284,   95
    20.6,0.000012,0.000003, 33,-0.000529,-0.000095,  36.283,   95
    20.8,0.000012,0.000003, 33,-0.000443,-0.000046,  36.284,   94
    21.0,0.000005,-0.000000, 33,-0.000326,-0.000033,  36.284,   96
    21.2,0.000015,0.000005, 33,-0.000259,-0.000069,  36.281,   98
    21.4,0.000012,0.000002, 33,-0.000222,-0.000046,  36.280,   97
    21.6,0.000008,0.000001, 33,-0.000185,-0.000046,  36.282,   96
    21.8,0.000005,0.000005, 33,-0.000160,-0.000069,  36.278,   95
    22.0,0.000003,0.000005, 33,-0.000178,-0.000033,  36.278,   94
    22.2,0.000005,0.000007, 33,-0.000215,-0.000033,  36.280,   94
    22.4,0.000005,0.000007, 33,-0.000215,-0.000056,  36.280,   93
    22.6,0.000012,0.000004, 33,-0.000222,-0.000033,  36.279,   96
    22.8,0.000021,0.000018, 33,-0.000215,-0.000033,  36.278,  100
    23.0,0.000024,0.000020, 33,-0.000178,-0.000056,  36.282,   98
    23.2,0.000018,0.000018, 33,-0.000123,-0.000033,  36.278,   96
    23.4,0.000023,0.000018, 33,-0.000037,-0.000033,  36.276,   96
    23.6,0.000023,0.000018, 33,-0.000037,-0.000069,  36.276,   96
    23.8,0.000023,0.000015, 33,-0.000043,-0.000033,  36.276,   96
    24.0,0.000026,0.000015, 33,-0.000086,-0.000033,  36.272,   95
    24.2,0.000026,0.000020, 33,-0.000092,-0.000069,  36.277,   96
    24.4,0.000023,0.000017, 33,-0.000098,-0.000033,  36.278,   97
    24.6,0.000023,0.000015, 33,-0.000123,-0.000010,  36.274,   96
    24.8,0.000023,0.000018, 33,-0.000129,-0.000010,  36.282,   96
    25.0,0.000030,0.000016, 33,-0.000129,0.000003,  36.279,   97
    25.2,0.000023,0.000011, 33,-0.000147,0.000003,  36.279,   98
    25.4,0.000026,0.000015, 33,-0.000166,0.000003,  36.280,   97
    25.6,0.000026,0.000015, 33,-0.000135,0.000016,  36.282,   95
    25.8,0.000026,0.000015, 33,-0.000092,0.000003,  36.273,   98
    26.0,0.000031,0.000022, 33,-0.000043,0.000003,  36.278,  101
    26.2,0.000031,0.000024, 33,-0.000012,0.000016,  36.277,   99
    26.4,0.000031,0.000023, 33,0.000000,0.000003,  36.278,   97
    26.6,0.000031,0.000025, 33,-0.000006,0.000003,  36.278,   96
    26.8,0.000028,0.000027, 33,-0.000036,0.000016,  36.277,   95
    27.0,0.000028,0.000024, 33,-0.000073,0.000003,  36.278,   94
    27.2,0.000026,0.000029, 33,-0.000166,0.000003,  36.276,   93
    27.4,0.000023,0.000024, 33,-0.000184,0.000016,  36.278,   94
    27.6,0.000014,0.000024, 33,-0.000153,0.000003,  36.276,   95
    27.8,0.000011,0.000022, 33,-0.000117,0.000003,  36.280,   95
    28.0,0.000008,0.000019, 33,-0.000067,0.000016,  36.276,   96
    28.2,0.000002,0.000012, 33,-0.000036,0.000003,  36.278,   94
    28.4,-0.000001,0.000010, 33,0.000025,0.000003,  36.279,   93
    28.6,0.000005,0.000008, 33,0.000050,0.000016,  36.281,   94
    28.8,0.000008,0.000003, 33,0.000038,0.000003,  36.278,   95
    29.0,0.000011,0.000001, 33,-0.000006,0.000003,  36.275,   97
    29.2,0.000011,0.000003, 33,-0.000037,0.000016,  36.274,   99
    29.4,0.000014,0.000003, 33,-0.000049,0.000003,  36.275,   97
    29.6,0.000014,0.000005, 33,-0.000086,0.000003,  36.276,   96
    29.8,0.000011,0.000007, 33,-0.000110,0.000016,  36.276,   96
    30.0,0.000014,0.000005, 33,-0.000117,0.000003,  36.273,   96
    30.2,0.000014,0.000010, 33,-0.000123,0.000003,  36.274,   95
    30.4,0.000014,0.000009, 33,-0.000141,0.000003,  36.271,   95
