Run Name,Run 2
Run Date,04:53:05 PM   02-28-14
Method Name,gradient1_0_40_Group_6_2/28.2
Export Format Version, 1.00
Method ID, 1884
Points/Second, 5.00
Number of Records,  18686
Offset from Run Start Time,00:00:00
Run End Time,01:02:17
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,QuadTec 3,Conductivity,GP Pressure,Volume
     0.0,0.000188,  0,0.001613,   5.791,   84,     0.0
     0.2,0.000188,  0,0.001634,   5.786,   83,     0.0
     0.4,0.000188,  0,0.001651,   5.787,   82,     0.0
     0.6,0.000186,  0,0.001679,   5.784,   82,     0.0
     0.8,0.000186,  0,0.001673,   5.790,   82,     0.0
     1.0,0.000186,  0,0.001668,   5.785,   83,     0.0
     1.2,0.000183,  0,0.001640,   5.790,   83,     0.0
     1.4,0.000183,  0,0.001646,   5.789,   82,     0.0
     1.6,0.000186,  0,0.001657,   5.786,   81,     0.0
     1.8,0.000186,  0,0.001679,   5.788,   83,     0.0
     2.0,0.000186,  0,0.001657,   5.788,   84,     0.0
     2.2,0.000176,  0,0.001607,   5.792,   84,     0.0
     2.4,-0.000869,  0,0.001547,   5.790,   84,     0.0
     2.6,-0.000852,  0,0.001520,   5.790,   84,     0.0
     2.8,-0.000861,  0,0.001487,   5.786,   83,     0.0
     3.0,-0.000401,  0,0.001476,   5.790,   83,     0.1
     3.2,0.000000,  0,0.001465,   5.789,   84,     0.1
     3.4,0.000000,  0,0.001460,   5.788,   83,     0.1
     3.6,0.000000,  0,0.001444,   5.787,   81,     0.1
     3.8,0.000000,  0,0.001454,   5.789,   82,     0.1
     4.0,0.000000,  0,0.001487,   5.783,   83,     0.1
     4.2,0.000000,  0,0.001508,   5.787,   83,     0.1
     4.4,0.000000,  0,0.001540,   5.788,   83,     0.1
     4.6,0.000000,  0,0.001561,   5.789,   83,     0.1
     4.8,0.000000,  0,0.001237,   5.786,   83,     0.1
     5.0,0.000000,  0,0.001237,   5.785,   82,     0.1
     5.2,0.000000,  0,0.001237,   5.788,   82,     0.1
     5.4,0.000000,  0,0.001237,   5.785,   82,     0.1
     5.6,0.000000,  0,0.000000,   5.788,   83,     0.1
     5.8,0.000000,  0,0.000000,   5.785,   83,     0.1
     6.0,0.000000,  0,0.000000,   5.787,   83,     0.1
     6.2,0.000000,  0,0.000000,   5.787,   83,     0.1
     6.4,0.000000,  0,0.000000,   5.788,   83,     0.1
     6.6,0.000000,  0,0.000000,   5.786,   82,     0.1
     6.8,-0.000010,  0,0.000000,   5.787,   82,     0.1
     7.0,-0.000017,  0,0.000000,   5.787,   82,     0.1
     7.2,-0.000017,  0,0.000000,   5.785,   82,     0.1
     7.4,-0.000024,  0,0.000000,   5.785,   83,     0.1
     7.6,-0.000024,  0,0.000000,   5.785,   84,     0.1
     7.8,-0.000020,  0,0.000000,   5.787,   83,     0.1
     8.0,-0.000026,  0,0.000000,   5.788,   82,     0.1
     8.2,-0.000020,  0,0.000000,   5.786,   83,     0.1
     8.4,-0.000016,  0,0.000000,   5.788,   85,     0.1
     8.6,-0.000018,  0,0.000000,   5.785,   84,     0.1
     8.8,-0.000021,  0,0.000000,   5.786,   83,     0.1
     9.0,-0.000017,  0,0.000000,   5.785,   83,     0.2
     9.2,-0.000020,  0,0.000000,   5.784,   82,     0.2
     9.4,-0.000032,  0,0.000010,   5.789,   82,     0.2
     9.6,-0.000028,  0,0.000009,   5.785,   82,     0.2
     9.8,-0.000025,  0,0.000004,   5.786,   82,     0.2
    10.0,-0.000035,  0,-0.000012,   5.784,   81,     0.2
    10.2,-0.000028,  0,-0.000040,   5.787,   83,     0.2
    10.4,-0.000025,  0,-0.000078,   5.789,   84,     0.2
    10.6,-0.000032,  0,-0.000115,   5.789,   84,     0.2
    10.8,-0.000023,  0,-0.000138,   5.786,   84,     0.2
    11.0,-0.000020,  0,-0.000160,   5.787,   83,     0.2
    11.2,-0.000020,  0,-0.000193,   5.783,   82,     0.2
    11.4,-0.000013,  0,-0.000216,   5.781,   83,     0.2
    11.6,-0.000011,  0,-0.000265,   5.784,   83,     0.2
    11.8,-0.000008,  0,-0.000303,   5.787,   82,     0.2
    12.0,-0.000008,  0,-0.000298,   5.786,   81,     0.2
    12.2,-0.000008,  0,-0.000288,   5.786,   82,     0.2
    12.4,-0.000005,  0,-0.000266,   5.783,   84,     0.2
    12.6,-0.000009,  0,-0.000245,   5.788,   83,     0.2
    12.8,-0.000007,  0,-0.000207,   5.785,   83,     0.2
    13.0,-0.000004,  0,-0.000197,   5.784,   83,     0.2
    13.2,-0.000001,  0,-0.000180,   5.788,   82,     0.2
    13.4,0.000005,  0,-0.000164,   5.783,   82,     0.2
    13.6,0.000008,  0,-0.000147,   5.787,   83,     0.2
    13.8,0.000008,  0,-0.000147,   5.787,   83,     0.2
    14.0,0.000005,  0,-0.000174,   5.784,   83,     0.2
    14.2,0.000008,  0,-0.000196,   5.782,   83,     0.2
    14.4,0.000008,  0,-0.000217,   5.783,   82,     0.2
    14.6,0.000012,  0,-0.000255,   5.783,   84,     0.2
    14.8,0.000015,  0,-0.000293,   5.787,   86,     0.2
    15.0,0.000011,  0,-0.000276,   5.781,   85,     0.3
    15.2,0.000013,  0,-0.000239,   5.786,   83,     0.3
    15.4,0.000013,  0,-0.000168,   5.784,   83,     0.3
    15.6,0.000013,  0,-0.000141,   5.788,   83,     0.3
    15.8,0.000011,  0,-0.000125,   5.784,   83,     0.3
    16.0,0.000013,  0,-0.000112,   5.784,   84,     0.3
    16.2,0.000011,  0,-0.000085,   5.787,   83,     0.3
    16.4,0.000015,  0,-0.000053,   5.785,   81,     0.3
    16.6,0.000017,  0,-0.000009,   5.784,   82,     0.3
    16.8,0.000008,  0,0.000002,   5.786,   83,     0.3
    17.0,0.000012,  0,-0.000019,   5.784,   83,     0.3
    17.2,0.000012,  0,-0.000063,   5.782,   83,     0.3
    17.4,0.000003,  0,-0.000047,   5.786,   83,     0.3
    17.6,0.000004,  0,-0.000003,   5.782,   83,     0.3
    17.8,0.000001,  0,0.000057,   5.777,   83,     0.3
    18.0,-0.000008,  0,0.000139,   5.781,   82,     0.3
    18.2,-0.000004,  0,0.000182,   5.785,   82,     0.3
    18.4,-0.000007,  0,0.000226,   5.783,   82,     0.3
    18.6,-0.000019,  0,0.000258,   5.785,   82,     0.3
    18.8,-0.000015,  0,0.000264,   5.786,   82,     0.3
    19.0,-0.000012,  0,0.000237,   5.782,   83,     0.3
    19.2,-0.000021,  0,0.000188,   5.785,   83,     0.3
    19.4,-0.000015,  0,0.000172,   5.780,   82,     0.3
    19.6,-0.000015,  0,0.000145,   5.781,   82,     0.3
    19.8,-0.000021,  0,0.000112,   5.779,   83,     0.3
    20.0,-0.000018,  0,0.000085,   5.781,   83,     0.3
    20.2,-0.000020,  0,0.000064,   5.781,   84,     0.3
