Run Name,22%B CR Group 6 2/24
Run Date,07:20:24 PM   02-24-14
Method Name,22%B CR Group 6 2/24
Export Format Version, 1.00
Method ID, 1829
Points/Second, 5.00
Number of Records,   5451
Offset from Run Start Time,00:00:00
Run End Time,00:18:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000992,0.000000,-0.010757,0.000000,  34.337
     0.2,0.000982,0.000000,-0.010757,0.000000,  34.383
     0.4,0.000957,0.000000,-0.010757,0.000000,  34.427
     0.6,0.000942,0.000000,-0.010757,0.000000,  34.477
     0.8,0.000000,0.000000,0.000000,0.000000,  34.541
     1.0,0.000000,0.000000,0.000000,0.000000,  34.581
     1.2,0.000000,0.000000,0.000000,0.000000,  34.626
     1.4,0.000000,0.000000,0.000000,0.000000,  34.677
     1.6,0.000000,0.000000,0.000000,0.000000,  34.727
     1.8,0.000000,0.000000,0.000000,0.000000,  34.784
     2.0,0.000000,0.000000,0.000000,0.000000,  34.824
     2.2,0.000000,0.000000,0.000000,0.000000,  34.871
     2.4,0.000000,0.000000,0.000000,0.000000,  34.917
     2.6,0.000000,0.000000,0.000000,0.000000,  34.977
     2.8,0.000000,0.000000,0.000000,0.000000,  35.039
     3.0,0.000000,0.000000,0.000000,0.000000,  35.079
     3.2,0.000000,0.000000,0.000000,0.000000,  35.124
     3.4,0.000000,0.000000,0.000000,0.000000,  35.174
     3.6,0.000000,0.000000,0.000000,0.000000,  35.229
     3.8,-0.000020,0.000000,0.000000,0.000039,  35.290
     4.0,-0.000030,-0.000069,0.000205,0.000039,  35.333
     4.2,-0.000036,-0.000070,0.000220,0.000026,  35.373
     4.4,-0.000038,-0.000067,0.000232,0.000026,  35.428
     4.6,-0.000038,-0.000065,0.000248,0.000026,  35.473
     4.8,-0.000029,-0.000067,0.000275,-0.000010,  35.540
     5.0,-0.000029,-0.000061,0.000296,-0.000010,  35.583
     5.2,-0.000036,-0.000056,0.000308,-0.000010,  35.625
