Run Name,26%B R only Groups 6 and 7 02 26 2014
Run Date,03:21:04 PM   02-26-14
Method Name,26%B CR Group 6 26/2
Export Format Version, 1.00
Method ID, 1855
Points/Second, 5.00
Number of Records,   4558
Offset from Run Start Time,00:00:00
Run End Time,00:15:11
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,0.001282,0.000662,0.021926,0.000124,  27.807,   83
     0.2,0.001276,0.000664,0.021932,0.000124,  27.813,   84
     0.4,0.001273,0.000666,0.021938,0.000137,  27.816,   86
     0.6,0.001274,0.000666,0.021944,0.000124,  27.818,   85
     0.8,0.001268,0.000664,0.021982,0.000124,  27.822,   84
     1.0,0.001271,0.000665,0.022060,0.000088,  27.828,   85
     1.2,0.001274,0.000657,0.022155,0.000124,  27.832,   85
     1.4,0.001271,0.000653,0.022027,0.000124,  27.836,   84
     1.6,0.001271,0.000649,0.021800,0.000101,  27.843,   84
     1.8,0.001277,0.000648,0.021479,0.000124,  27.847,   84
     2.0,0.001273,0.000643,0.021423,0.000124,  27.850,   84
     2.2,0.001277,0.000641,0.021462,0.000124,  27.856,   84
     2.4,0.001252,0.000644,0.021585,0.000124,  27.858,   83
     2.6,0.001242,0.000641,0.021790,0.000111,  27.863,   83
     2.8,0.001251,0.000639,0.021857,0.000133,  27.865,   84
     3.0,0.001253,0.000644,0.021907,0.000133,  27.867,   86
     3.2,0.000000,0.000639,0.021952,0.000133,  27.871,   88
     3.4,0.000000,0.000637,0.022482,0.000156,  27.876,   86
     3.6,0.000000,0.000000,0.023241,0.000156,  27.881,   84
     3.8,0.000000,0.000000,0.021751,0.000133,  27.886,   85
     4.0,0.000000,0.000000,0.021751,0.000120,  27.888,   86
     4.2,0.000000,0.000000,0.021751,0.000130,  27.893,   85
