Run Name,26%B CR Group7 26/2
Run Date,02:49:54 PM   02-26-14
Method Name,26%B CR Group 6 26/2
Export Format Version, 1.00
Method ID, 1854
Points/Second, 5.00
Number of Records,   7522
Offset from Run Start Time,00:00:00
Run End Time,00:25:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,-0.000163,0.000000, 26,0.003186,-0.000228,  27.166,   76
     0.2,-0.000163,0.000000, 26,0.003300,-0.000228,  27.164,   77
     0.4,-0.000172,0.000000, 26,0.003414,-0.000228,  27.167,   79
     0.6,-0.000172,0.000000, 26,0.003538,-0.000205,  27.164,   78
     0.8,-0.000171,0.000000, 26,0.003632,-0.000205,  27.168,   78
     1.0,-0.000180,0.000000, 26,0.003704,-0.000192,  27.166,   77
     1.2,-0.000174,0.000000, 26,0.003798,-0.000205,  27.165,   76
     1.4,-0.000612,0.000000, 26,0.003798,-0.000205,  27.168,   77
     1.6,-0.000623,0.000000, 26,0.003798,-0.000205,  27.163,   78
     1.8,-0.000646,0.000000, 26,0.003798,-0.000218,  27.167,   77
     2.0,-0.000638,0.000000, 26,0.000000,-0.000218,  27.163,   77
     2.2,0.000000,0.000000, 26,0.000000,-0.000231,  27.164,   79
     2.4,0.000000,0.000000, 26,0.000000,0.000000,  27.164,   81
     2.6,0.000000,0.000000, 26,0.000000,0.000000,  27.160,   81
     2.8,0.000000,0.000000, 26,0.000000,0.000000,  27.164,   80
     3.0,0.000000,0.000000, 26,0.000000,0.000000,  27.164,   78
     3.2,0.000000,0.000000, 26,0.000000,0.000000,  27.162,   76
     3.4,0.000000,0.000000, 26,0.000000,0.000000,  27.161,   78
     3.6,0.000000,0.000000, 26,0.000000,0.000000,  27.158,   79
     3.8,0.000000,0.000000, 26,0.000000,0.000000,  27.157,   78
     4.0,0.000000,-0.000025, 26,0.000000,0.000000,  27.161,   77
     4.2,0.000000,-0.000023, 26,0.000000,0.000000,  27.160,   77
     4.4,0.000000,-0.000025, 26,0.000000,0.000000,  27.158,   78
     4.6,0.000000,-0.000026, 26,0.000000,0.000000,  27.158,   78
     4.8,0.000000,-0.000026, 26,0.000000,0.000000,  27.157,   78
     5.0,0.000000,-0.000029, 26,0.000000,0.000000,  27.161,   78
     5.2,0.000000,-0.000027, 26,0.000097,0.000000,  27.159,   78
     5.4,0.000000,-0.000025, 26,0.000135,0.000000,  27.161,   80
     5.6,0.000005,-0.000024, 26,0.000058,0.000000,  27.160,   82
     5.8,0.000005,-0.000023, 26,-0.000134,0.000000,  27.157,   84
     6.0,0.000005,-0.000019, 26,-0.000442,0.000000,  27.158,   85
     6.2,0.000009,-0.000013, 26,-0.000844,0.000000,  27.157,   84
     6.4,0.000002,-0.000012, 26,-0.001381,0.000000,  27.157,   82
     6.6,-0.000000,-0.000006, 26,-0.001423,0.000000,  27.154,   82
     6.8,-0.000003,-0.000007, 26,-0.001272,-0.000026,  27.153,   82
