Run Name,28%B CR Group 6 2_24_14
Run Date,06:48:23 PM   02-24-14
Method Name,28%B CR Group 6 2/24.1
Export Format Version, 1.00
Method ID, 1827
Points/Second, 5.00
Number of Records,   6587
Offset from Run Start Time,00:00:00
Run End Time,00:22:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.002119,-0.000795,-0.008125,-0.000260,  48.319
     0.2,-0.002121,-0.000793,-0.008094,-0.000260,  48.319
     0.4,-0.002127,-0.000795,-0.007934,-0.000296,  48.321
     0.6,-0.001648,-0.000795,-0.007670,-0.000260,  48.318
     0.8,0.000000,-0.000797,-0.007592,-0.000260,  48.321
     1.0,0.000000,-0.000796,-0.007556,-0.000296,  48.324
     1.2,0.000000,0.000000,-0.008429,-0.000260,  48.323
     1.4,0.000000,0.000000,-0.008429,-0.000250,  48.327
     1.6,0.000000,0.000000,-0.008429,-0.000253,  48.328
     1.8,0.000000,0.000000,-0.008429,-0.000234,  48.330
     2.0,0.000000,0.000000,0.000000,-0.000253,  48.330
     2.2,0.000000,0.000000,0.000000,0.000000,  48.328
     2.4,0.000000,0.000000,0.000000,0.000000,  48.333
     2.6,0.000000,0.000000,0.000000,0.000000,  48.328
     2.8,0.000000,0.000000,0.000000,0.000000,  48.329
     3.0,0.000000,0.000000,0.000000,0.000000,  48.328
     3.2,0.000000,0.000000,0.000000,0.000000,  48.333
     3.4,0.000000,0.000000,0.000000,0.000000,  48.339
     3.6,0.000000,0.000000,0.000000,0.000000,  48.334
     3.8,0.000000,0.000000,0.000000,0.000000,  48.344
     4.0,0.000000,0.000000,0.000000,0.000000,  48.343
     4.2,-0.000006,0.000000,0.000000,0.000000,  48.346
     4.4,-0.000016,0.000000,0.000000,0.000000,  48.345
     4.6,-0.000012,0.000000,0.000000,0.000000,  48.348
     4.8,-0.000017,0.000000,0.000000,0.000000,  48.346
     5.0,-0.000026,0.000000,0.000000,0.000000,  48.347
     5.2,-0.000031,-0.000015,-0.000138,0.000000,  48.349
     5.4,-0.000039,-0.000012,-0.000081,0.000000,  48.351
     5.6,-0.000039,-0.000015,-0.000051,0.000000,  48.346
     5.8,-0.000039,-0.000021,-0.000035,0.000000,  48.355
     6.0,-0.000033,-0.000028,-0.000031,0.000000,  48.356
     6.2,-0.000030,-0.000034,-0.000057,-0.000013,  48.351
     6.4,-0.000037,-0.000042,-0.000092,0.000010,  48.350
     6.6,-0.000033,-0.000044,-0.000102,-0.000003,  48.349
     6.8,-0.000030,-0.000044,-0.000102,-0.000003,  48.351
     7.0,-0.000030,-0.000042,-0.000102,-0.000026,  48.355
     7.2,-0.000026,-0.000041,-0.000113,-0.000026,  48.352
     7.4,-0.000024,-0.000040,-0.000130,-0.000049,  48.352
     7.6,-0.000024,-0.000043,-0.000130,-0.000049,  48.354
     7.8,-0.000024,-0.000042,-0.000099,-0.000049,  48.358
     8.0,-0.000021,-0.000047,-0.000069,-0.000072,  48.371
     8.2,-0.000019,-0.000044,-0.000027,-0.000036,  48.369
     8.4,-0.000012,-0.000050,-0.000012,-0.000036,  48.374
     8.6,-0.000009,-0.000052,-0.000012,-0.000059,  48.369
     8.8,-0.000016,-0.000051,-0.000038,-0.000023,  48.372
     9.0,-0.000007,-0.000046,-0.000302,-0.000036,  48.370
     9.2,-0.000009,-0.000047,-0.000691,-0.000059,  48.376
     9.4,-0.000012,-0.000047,-0.001208,-0.000023,  48.377
     9.6,-0.000015,-0.000041,-0.001208,-0.000023,  48.374
     9.8,-0.000017,-0.000044,-0.001018,-0.000046,  48.373
    10.0,-0.000020,-0.000042,-0.000631,-0.000010,  48.373
    10.2,-0.000029,-0.000039,-0.000492,-0.000010,  48.373
    10.4,-0.000025,-0.000046,-0.000389,-0.000033,  48.375
    10.6,-0.000025,-0.000045,-0.000326,-0.000033,  48.374
    10.8,-0.000034,-0.000047,-0.000285,-0.000046,  48.376
    11.0,-0.000033,-0.000051,-0.000296,-0.000068,  48.377
    11.2,-0.000036,-0.000052,-0.000331,-0.000081,  48.378
    11.4,-0.000048,-0.000046,-0.000320,-0.000059,  48.375
    11.6,-0.000046,-0.000048,-0.000337,-0.000081,  48.376
    11.8,-0.000043,-0.000057,-0.000337,-0.000094,  48.384
    12.0,-0.000045,-0.000054,-0.000332,-0.000059,  48.384
    12.2,-0.000035,-0.000054,-0.000321,-0.000081,  48.378
    12.4,-0.000039,-0.000059,-0.000306,-0.000094,  48.376
    12.6,-0.000036,-0.000054,-0.000321,-0.000059,  48.373
    12.8,-0.000043,-0.000054,-0.000363,-0.000081,  48.379
    13.0,-0.000046,-0.000059,-0.000415,-0.000094,  48.373
    13.2,-0.000046,-0.000056,-0.000419,-0.000072,  48.374
    13.4,-0.000040,-0.000058,-0.000425,-0.000085,  48.371
    13.6,-0.000035,-0.000061,-0.000410,-0.000072,  48.374
    13.8,-0.000035,-0.000059,-0.000384,-0.000085,  48.374
    14.0,-0.000032,-0.000061,-0.000530,-0.000085,  48.370
    14.2,-0.000032,-0.000064,-0.000727,-0.000085,  48.374
    14.4,-0.000035,-0.000064,-0.000975,-0.000085,  48.372
    14.6,-0.000043,-0.000064,-0.001012,-0.000085,  48.369
    14.8,-0.000045,-0.000069,-0.000975,-0.000107,  48.370
    15.0,-0.000052,-0.000066,-0.000872,-0.000107,  48.367
    15.2,-0.000054,-0.000062,-0.000789,-0.000072,  48.369
    15.4,-0.000052,-0.000068,-0.000708,-0.000094,  48.370
    15.6,-0.000058,-0.000066,-0.000579,-0.000094,  48.368
    15.8,-0.000052,-0.000068,-0.000548,-0.000072,  48.368
    16.0,-0.000052,-0.000066,-0.000564,-0.000094,  48.365
    16.2,-0.000058,-0.000073,-0.000620,-0.000094,  48.365
    16.4,-0.000054,-0.000070,-0.000606,-0.000072,  48.362
    16.6,-0.000054,-0.000068,-0.000554,-0.000094,  48.361
    16.8,-0.000061,-0.000069,-0.000509,-0.000094,  48.368
    17.0,-0.000060,-0.000070,-0.000493,-0.000072,  48.366
    17.2,-0.000062,-0.000070,-0.000493,-0.000094,  48.361
    17.4,-0.000062,-0.000072,-0.000502,-0.000072,  48.365
    17.6,-0.000058,-0.000069,-0.000483,-0.000049,  48.368
    17.8,-0.000058,-0.000069,-0.000463,-0.000072,  48.376
    18.0,-0.000056,-0.000070,-0.000432,-0.000036,  48.366
    18.2,-0.000050,-0.000075,-0.000437,-0.000036,  48.371
    18.4,-0.000050,-0.000080,-0.000457,-0.000059,  48.370
    18.6,-0.000048,-0.000082,-0.000490,-0.000023,  48.370
    18.8,-0.000048,-0.000083,-0.000510,-0.000036,  48.362
    19.0,-0.000048,-0.000083,-0.000553,-0.000072,  48.369
    19.2,-0.000054,-0.000083,-0.000611,-0.000049,  48.372
    19.4,-0.000048,-0.000081,-0.001042,-0.000088,  48.375
    19.6,-0.000053,-0.000082,-0.001668,-0.000124,  48.376
    19.8,-0.000052,-0.000078,-0.002516,-0.000075,  48.378
    20.0,-0.000044,-0.000080,-0.002563,-0.000075,  48.377
    20.2,-0.000042,-0.000083,-0.002320,-0.000111,  48.381
    20.4,-0.000042,-0.000080,-0.001788,-0.000062,  48.382
    20.6,-0.000036,-0.000082,-0.001597,-0.000062,  48.376
    20.8,-0.000035,-0.000080,-0.001442,-0.000098,  48.379
    21.0,-0.000036,-0.000076,-0.001302,-0.000049,  48.376
    21.2,-0.000043,-0.000073,-0.001168,-0.000062,  48.381
    21.4,-0.000043,-0.000069,-0.001049,-0.000098,  48.381
    21.6,-0.000047,-0.000070,-0.000952,-0.000049,  48.383
    21.8,-0.000044,-0.000069,-0.000863,-0.000062,  48.378
    22.0,-0.000047,-0.000072,-0.000807,-0.000085,  48.379
    22.2,-0.000047,-0.000076,-0.000781,-0.000049,  48.383
    22.4,-0.000044,-0.000072,-0.000729,-0.000049,  48.381
    22.6,-0.000047,-0.000070,-0.000677,-0.000049,  48.384
    22.8,-0.000051,-0.000075,-0.000647,-0.000036,  48.387
    23.0,-0.000060,-0.000068,-0.000610,-0.000085,  48.385
    23.2,-0.000064,-0.000068,-0.000569,-0.000049,  48.384
    23.4,-0.000073,-0.000073,-0.000533,-0.000085,  48.387
    23.6,-0.000077,-0.000070,-0.000507,-0.000085,  48.387
    23.8,-0.000073,-0.000073,-0.000398,-0.000036,  48.394
    24.0,-0.000077,-0.000083,-0.000259,-0.000023,  48.391
    24.2,-0.000074,-0.000092,-0.000099,-0.000036,  48.389
    24.4,-0.000069,-0.000096,-0.000114,-0.000013,  48.386
    24.6,-0.000073,-0.000093,-0.000207,0.000000,  48.387
    24.8,-0.000073,-0.000093,-0.000377,-0.000049,  48.391
    25.0,-0.000073,-0.000093,-0.000434,-0.000013,  48.392
    25.2,-0.000070,-0.000093,-0.000485,0.000000,  48.387
    25.4,-0.000068,-0.000096,-0.000527,-0.000036,  48.392
    25.6,-0.000068,-0.000096,-0.000517,0.000000,  48.399
    25.8,-0.000065,-0.000096,-0.000481,0.000013,  48.397
    26.0,-0.000065,-0.000098,-0.000435,-0.000023,  48.398
    26.2,-0.000062,-0.000093,-0.000426,0.000000,  48.398
    26.4,-0.000066,-0.000096,-0.000426,-0.000023,  48.398
    26.6,-0.000064,-0.000092,-0.000452,-0.000023,  48.399
    26.8,-0.000061,-0.000091,-0.000499,-0.000036,  48.407
    27.0,-0.000065,-0.000091,-0.000561,-0.000059,  48.403
    27.2,-0.000065,-0.000089,-0.000644,-0.000036,  48.406
    27.4,-0.000061,-0.000085,-0.000634,-0.000049,  48.406
    27.6,-0.000064,-0.000085,-0.000593,-0.000085,  48.407
    27.8,-0.000064,-0.000087,-0.000505,-0.000049,  48.407
    28.0,-0.000065,-0.000089,-0.000474,-0.000062,  48.408
    28.2,-0.000061,-0.000087,-0.000459,-0.000098,  48.411
    28.4,-0.000068,-0.000087,-0.000459,-0.000049,  48.413
    28.6,-0.000068,-0.000088,-0.001009,-0.000062,  48.414
    28.8,-0.000068,-0.000091,-0.001837,-0.000098,  48.414
    29.0,-0.000068,-0.000095,-0.002957,-0.000049,  48.410
    29.2,-0.000070,-0.000097,-0.003015,-0.000062,  48.417
    29.4,-0.000073,-0.000094,-0.002674,-0.000085,  48.419
    29.6,-0.000073,-0.000091,-0.001941,-0.000049,  48.421
    29.8,-0.000073,-0.000091,-0.001842,-0.000049,  48.425
    30.0,-0.000073,-0.000089,-0.001862,-0.000049,  48.421
    30.2,-0.000073,-0.000091,-0.002000,-0.000049,  48.422
    30.4,-0.000073,-0.000090,-0.001882,-0.000026,  48.422
    30.6,-0.000073,-0.000095,-0.001690,-0.000026,  48.420
    30.8,-0.000073,-0.000101,-0.001432,-0.000049,  48.424
