Run Name,Run 1
Run Date,04:42:58 PM   02-24-14
Method Name,30%B CRL Group 6 2/24
Export Format Version, 1.00
Method ID, 1821
Points/Second, 5.00
Number of Records,   8340
Offset from Run Start Time,00:00:00
Run End Time,00:27:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000074,0.000039,-0.000422,-0.000091,  48.612
     0.2,0.000090,0.000034,-0.000474,-0.000078,  48.610
     0.4,0.000070,0.000034,-0.000504,-0.000078,  48.614
     0.6,0.000095,0.000031,-0.000556,-0.000091,  48.613
     0.8,0.000000,0.000027,-0.000551,-0.000091,  48.615
     1.0,0.000000,0.000029,-0.000510,-0.000078,  48.619
     1.2,0.000000,0.000000,-0.000449,-0.000127,  48.619
     1.4,0.000000,0.000000,-0.001015,-0.000091,  48.617
     1.6,0.000000,0.000000,-0.001015,-0.000127,  48.619
     1.8,0.000000,0.000000,-0.001015,-0.000127,  48.617
     2.0,0.000000,0.000000,-0.001015,-0.000091,  48.620
     2.2,0.000000,0.000000,0.000000,-0.000078,  48.619
     2.4,0.000000,0.000000,0.000000,-0.000091,  48.618
     2.6,0.000000,0.000000,0.000000,0.000000,  48.620
     2.8,0.000000,0.000000,0.000000,0.000000,  48.622
     3.0,0.000000,0.000000,0.000000,0.000000,  48.619
     3.2,0.000000,0.000000,0.000000,0.000000,  48.619
     3.4,0.000000,0.000000,0.000000,0.000000,  48.619
     3.6,0.000000,0.000000,0.000000,0.000000,  48.624
     3.8,0.000000,0.000000,0.000000,0.000000,  48.622
     4.0,0.000000,0.000000,0.000000,0.000000,  48.619
     4.2,0.000000,0.000000,0.000000,0.000000,  48.623
     4.4,-0.000005,0.000000,0.000000,0.000000,  48.624
     4.6,0.000000,0.000000,0.000000,0.000000,  48.624
     4.8,0.000006,0.000000,0.000000,0.000000,  48.621
     5.0,0.000008,0.000000,0.000000,0.000000,  48.620
     5.2,0.000008,0.000000,0.000000,0.000000,  48.621
     5.4,0.000012,0.000000,0.000000,0.000000,  48.618
     5.6,0.000012,0.000000,0.000000,0.000000,  48.620
     5.8,0.000015,0.000014,0.000000,0.000000,  48.621
     6.0,0.000011,0.000009,0.000103,0.000000,  48.619
     6.2,0.000004,0.000006,0.000119,0.000000,  48.624
     6.4,0.000004,0.000006,0.000125,0.000000,  48.622
     6.6,0.000011,0.000004,0.000109,0.000000,  48.619
     6.8,0.000011,0.000001,0.000100,0.000000,  48.621
     7.0,0.000004,0.000005,0.000053,0.000039,  48.613
     7.2,0.000004,0.000007,-0.000003,0.000052,  48.619
     7.4,0.000007,0.000006,0.000018,0.000052,  48.615
     7.6,0.000000,0.000008,0.000048,0.000003,  48.611
     7.8,0.000003,0.000012,0.000100,-0.000020,  48.610
     8.0,0.000006,0.000011,0.000100,-0.000020,  48.614
     8.2,0.000003,0.000012,0.000080,-0.000020,  48.609
     8.4,0.000003,0.000009,0.000045,-0.000042,  48.606
     8.6,0.000003,0.000013,0.000067,-0.000055,  48.606
     8.8,0.000006,0.000015,0.000071,-0.000020,  48.604
     9.0,0.000006,0.000015,0.000114,-0.000007,  48.606
     9.2,0.000010,0.000015,0.000139,-0.000020,  48.609
     9.4,0.000006,0.000019,0.000150,-0.000020,  48.606
     9.6,0.000003,0.000021,0.000161,-0.000007,  48.599
     9.8,0.000010,0.000019,0.000135,-0.000007,  48.602
    10.0,0.000012,0.000015,0.000089,-0.000007,  48.598
    10.2,0.000003,0.000021,0.000012,0.000006,  48.598
    10.4,0.000003,0.000021,-0.000020,0.000006,  48.595
    10.6,0.000006,0.000020,-0.000014,-0.000007,  48.591
    10.8,0.000003,0.000019,0.000007,0.000006,  48.592
    11.0,0.000010,0.000016,-0.000040,0.000006,  48.590
    11.2,0.000010,0.000016,-0.000086,-0.000007,  48.583
    11.4,0.000003,0.000015,-0.000136,0.000006,  48.591
    11.6,0.000007,0.000015,-0.000142,0.000006,  48.589
    11.8,0.000010,0.000016,-0.000116,-0.000007,  48.588
    12.0,0.000006,0.000011,-0.000075,0.000042,  48.587
    12.2,0.000012,0.000013,-0.000086,0.000029,  48.589
    12.4,0.000015,0.000019,-0.000127,0.000016,  48.590
    12.6,0.000015,0.000015,-0.000188,0.000029,  48.586
    12.8,0.000019,0.000015,-0.000192,0.000029,  48.589
    13.0,0.000021,0.000016,-0.000192,-0.000007,  48.591
    13.2,0.000021,0.000015,-0.000192,-0.000007,  48.591
    13.4,0.000019,0.000013,-0.000218,-0.000016,  48.590
    13.6,0.000021,0.000013,-0.000248,0.000006,  48.588
    13.8,0.000024,0.000017,-0.000300,0.000006,  48.590
    14.0,0.000024,0.000021,-0.000350,-0.000029,  48.589
    14.2,0.000027,0.000020,-0.000330,0.000006,  48.593
    14.4,0.000027,0.000022,-0.000279,0.000006,  48.595
    14.6,0.000024,0.000025,-0.000191,0.000042,  48.598
    14.8,0.000027,0.000026,-0.000165,0.000029,  48.600
    15.0,0.000020,0.000029,-0.000150,0.000016,  48.601
    15.2,0.000017,0.000034,-0.000165,0.000065,  48.603
    15.4,0.000020,0.000032,-0.000135,0.000065,  48.602
    15.6,0.000011,0.000034,-0.000072,0.000029,  48.602
    15.8,0.000015,0.000029,-0.000016,0.000042,  48.601
    16.0,0.000017,0.000027,0.000025,0.000042,  48.603
    16.2,0.000008,0.000022,0.000056,0.000042,  48.606
    16.4,0.000015,0.000024,0.000071,0.000042,  48.609
    16.6,0.000020,0.000021,0.000066,0.000042,  48.608
    16.8,0.000014,0.000020,0.000036,0.000042,  48.609
    17.0,0.000023,0.000023,-0.000021,0.000042,  48.608
    17.2,0.000025,0.000021,-0.000051,0.000042,  48.605
    17.4,0.000022,0.000022,-0.000081,0.000042,  48.611
    17.6,0.000028,0.000021,-0.000123,0.000042,  48.612
    17.8,0.000028,0.000023,-0.000087,0.000042,  48.610
    18.0,0.000024,0.000025,-0.000016,0.000029,  48.607
    18.2,0.000031,0.000030,0.000103,0.000042,  48.605
    18.4,0.000037,0.000036,0.000133,0.000029,  48.609
    18.6,0.000033,0.000038,0.000139,0.000016,  48.610
    18.8,0.000040,0.000039,0.000119,0.000029,  48.610
    19.0,0.000037,0.000041,0.000119,0.000029,  48.610
    19.2,0.000037,0.000043,0.000125,0.000042,  48.609
    19.4,0.000037,0.000046,0.000110,0.000042,  48.610
    19.6,0.000032,0.000048,0.000146,0.000042,  48.612
    19.8,0.000036,0.000045,0.000188,0.000042,  48.605
    20.0,0.000036,0.000045,0.000244,0.000042,  48.605
