Run Name,36%B CRL Group 6 2/24
Run Date,03:14:46 PM   02-24-14
Method Name,36%B CRL Group 6 2/24
Export Format Version, 1.00
Method ID, 1815
Points/Second, 5.00
Number of Records,   5130
Offset from Run Start Time,00:00:00
Run End Time,00:17:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000693,0.000000,0.000000,0.000000,  49.667
     0.2,-0.000706,0.000000,0.000000,0.000000,  49.662
     0.4,-0.000700,0.000000,0.000000,0.000000,  49.662
     0.6,-0.000191,0.000000,0.000000,0.000000,  49.659
     0.8,0.000000,0.000000,0.000000,0.000000,  49.664
     1.0,0.000000,0.000000,0.000000,0.000000,  49.653
     1.2,0.000000,0.000000,0.000000,0.000000,  49.660
     1.4,0.000000,0.000000,0.000000,0.000000,  49.659
     1.6,0.000000,0.000000,0.000000,0.000000,  49.660
     1.8,0.000000,0.000000,0.000000,0.000000,  49.665
     2.0,0.000000,0.000000,0.000000,0.000000,  49.662
     2.2,0.000000,0.000000,0.000000,0.000000,  49.653
     2.4,0.000000,0.000000,0.000000,0.000000,  49.654
     2.6,0.000000,0.000000,0.000000,0.000000,  49.656
     2.8,0.000000,0.000000,0.000000,0.000000,  49.651
     3.0,0.000000,0.000000,0.000000,0.000000,  49.653
     3.2,0.000000,0.000000,0.000000,0.000000,  49.651
     3.4,0.000000,0.000000,0.000000,0.000000,  49.651
     3.6,0.000000,0.000000,0.000000,0.000000,  49.651
     3.8,0.000000,0.000000,0.000000,0.000000,  49.653
     4.0,0.000000,0.000000,0.000000,0.000000,  49.653
     4.2,-0.000097,0.000000,0.000000,0.000000,  49.653
