Run Name,20% B CR Group 7 Feb/25
Run Date,07:38:22 PM   02-25-14
Method Name,20%B CR Group 6 Feb/25
Export Format Version, 1.00
Method ID, 1852
Points/Second, 5.00
Number of Records,   7830
Offset from Run Start Time,00:00:00
Run End Time,00:26:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000677,-0.000557,-0.001534,-0.000313,  48.271
     0.2,-0.000673,-0.000559,-0.001545,-0.000348,  48.271
     0.4,-0.000673,-0.000561,-0.001530,-0.000300,  48.269
     0.6,-0.000663,-0.000553,-0.001525,-0.000313,  48.271
     0.8,0.000000,-0.000553,-0.001489,-0.000313,  48.262
     1.0,0.000000,-0.000558,-0.001525,-0.000300,  48.265
     1.2,0.000000,0.000000,-0.001575,0.000000,  48.270
     1.4,0.000000,0.000000,-0.001657,0.000000,  48.264
     1.6,0.000000,0.000000,-0.001689,0.000000,  48.268
     1.8,0.000000,0.000000,-0.001693,0.000000,  48.270
     2.0,0.000000,0.000000,-0.001677,0.000000,  48.267
     2.2,0.000000,0.000000,-0.001275,0.000000,  48.270
     2.4,0.000000,0.000000,-0.000681,0.000000,  48.272
     2.6,0.000000,0.000000,-0.001801,0.000000,  48.267
     2.8,0.000000,0.000000,-0.001801,0.000000,  48.268
     3.0,0.000000,0.000000,-0.001801,0.000000,  48.266
     3.2,0.000000,0.000000,-0.001801,0.000000,  48.268
     3.4,0.000000,0.000000,-0.001801,0.000000,  48.265
     3.6,0.000000,0.000000,0.000000,0.000000,  48.264
     3.8,0.000000,0.000000,0.000000,0.000000,  48.265
     4.0,0.000000,0.000000,0.000000,0.000000,  48.264
     4.2,0.000000,0.000000,0.000000,0.000000,  48.269
     4.4,-0.000013,0.000000,0.000000,0.000000,  48.267
     4.6,-0.000004,0.000000,0.000000,0.000000,  48.267
     4.8,-0.000010,0.000000,0.000000,0.000000,  48.267
     5.0,-0.000010,0.000000,0.000000,0.000000,  48.270
     5.2,-0.000010,0.000000,0.000000,0.000000,  48.271
     5.4,-0.000010,0.000000,0.000000,0.000000,  48.275
     5.6,-0.000004,0.000000,0.000000,0.000010,  48.276
     5.8,0.000005,0.000000,0.000000,-0.000013,  48.274
     6.0,0.000000,0.000017,0.000000,-0.000013,  48.273
     6.2,-0.000003,0.000015,0.000000,-0.000013,  48.271
     6.4,-0.000009,0.000012,0.000000,-0.000013,  48.271
     6.6,-0.000003,0.000011,0.000000,-0.000036,  48.274
     6.8,0.000001,0.000013,0.000000,0.000000,  48.277
     7.0,-0.000005,0.000012,0.000000,-0.000036,  48.276
     7.2,0.000001,0.000014,-0.000039,-0.000023,  48.276
     7.4,0.000005,0.000009,-0.000085,-0.000036,  48.274
     7.6,-0.000004,0.000002,-0.000126,-0.000072,  48.273
     7.8,-0.000013,0.000008,-0.000145,-0.000023,  48.271
     8.0,-0.000016,0.000008,-0.000151,-0.000036,  48.279
     8.2,-0.000025,0.000001,-0.000126,-0.000036,  48.273
     8.4,-0.000019,0.000008,-0.000085,-0.000059,  48.274
     8.6,-0.000012,0.000013,-0.000106,-0.000036,  48.276
     8.8,-0.000016,0.000011,-0.000126,-0.000036,  48.269
     9.0,-0.000012,0.000011,-0.000150,-0.000036,  48.273
     9.2,-0.000015,0.000011,-0.000186,-0.000036,  48.273
     9.4,-0.000019,0.000005,-0.000221,-0.000036,  48.274
     9.6,-0.000017,-0.000004,-0.000283,-0.000072,  48.276
     9.8,-0.000020,-0.000013,-0.000283,-0.000036,  48.274
    10.0,-0.000026,-0.000017,-0.000257,-0.000062,  48.274
    10.2,-0.000023,-0.000013,-0.000232,-0.000098,  48.275
    10.4,-0.000025,-0.000013,-0.000216,-0.000049,  48.273
    10.6,-0.000032,-0.000013,-0.000206,-0.000049,  48.275
    10.8,-0.000025,-0.000009,-0.000197,-0.000085,  48.275
    11.0,-0.000025,-0.000007,-0.000197,-0.000049,  48.276
    11.2,-0.000029,-0.000008,-0.000218,-0.000049,  48.274
    11.4,-0.000023,-0.000009,-0.000254,-0.000085,  48.279
    11.6,-0.000020,-0.000006,-0.000295,-0.000049,  48.272
    11.8,-0.000024,-0.000007,-0.000286,-0.000049,  48.274
    12.0,-0.000017,-0.000008,-0.000241,-0.000085,  48.273
    12.2,-0.000015,-0.000007,-0.000191,-0.000049,  48.273
