Run Name,22%B CR Group 7 Feb/25
Run Date,06:28:32 PM   02-25-14
Method Name,22%B CR Group 6 Feb/25
Export Format Version, 1.00
Method ID, 1848
Points/Second, 5.00
Number of Records,   7460
Offset from Run Start Time,00:00:00
Run End Time,00:24:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000369,-0.000245,-0.003907,-0.000078,  48.411
     0.2,-0.000367,-0.000245,-0.003969,-0.000101,  48.414
     0.4,-0.000365,-0.000318,-0.003928,-0.000101,  48.410
     0.6,-0.000301,-0.000460,-0.003803,-0.000065,  48.412
     0.8,0.000000,-0.000460,-0.003584,-0.000052,  48.417
     1.0,0.000000,0.000000,-0.003486,-0.000052,  48.415
     1.2,0.000000,0.000000,-0.003377,-0.000065,  48.416
     1.4,0.000000,0.000000,-0.003543,-0.000065,  48.417
     1.6,0.000000,0.000000,-0.003543,-0.000065,  48.420
     1.8,0.000000,0.000000,-0.003543,-0.000065,  48.418
     2.0,0.000000,0.000000,-0.003543,-0.000078,  48.420
     2.2,0.000000,0.000000,0.000000,-0.000055,  48.422
     2.4,0.000000,0.000000,0.000000,0.000000,  48.422
     2.6,0.000000,0.000000,0.000000,0.000000,  48.420
     2.8,0.000000,0.000000,0.000000,0.000000,  48.422
     3.0,0.000000,0.000000,0.000000,0.000000,  48.419
     3.2,0.000000,0.000000,0.000000,0.000000,  48.422
     3.4,0.000000,0.000000,0.000000,0.000000,  48.421
     3.6,0.000000,0.000000,0.000000,0.000000,  48.419
     3.8,0.000000,0.000000,0.000000,0.000000,  48.427
     4.0,0.000000,0.000000,0.000000,0.000000,  48.427
     4.2,0.000000,0.000000,0.000000,0.000000,  48.426
     4.4,-0.000003,0.000000,0.000000,0.000000,  48.425
     4.6,-0.000005,-0.000016,0.000000,0.000000,  48.425
     4.8,-0.000001,-0.000022,0.000000,0.000000,  48.422
     5.0,-0.000008,-0.000023,0.000000,0.000000,  48.425
     5.2,-0.000008,-0.000020,0.000000,0.000000,  48.427
     5.4,-0.000011,-0.000020,0.000000,0.000000,  48.422
     5.6,-0.000017,-0.000020,0.000000,0.000000,  48.423
     5.8,-0.000014,-0.000020,0.000000,0.000000,  48.424
     6.0,-0.000008,-0.000017,-0.000098,0.000000,  48.422
     6.2,-0.000014,-0.000023,-0.000124,0.000000,  48.425
     6.4,-0.000012,-0.000021,-0.000161,0.000000,  48.427
     6.6,-0.000014,-0.000021,-0.000209,0.000000,  48.420
     6.8,-0.000014,-0.000020,-0.000235,0.000020,  48.418
     7.0,-0.000012,-0.000021,-0.000261,0.000010,  48.417
     7.2,-0.000014,-0.000024,-0.000282,0.000010,  48.414
     7.4,-0.000014,-0.000020,-0.000283,0.000010,  48.412
     7.6,-0.000012,-0.000020,-0.000268,0.000023,  48.415
     7.8,-0.000014,-0.000024,-0.000242,-0.000049,  48.417
     8.0,-0.000014,-0.000022,-0.000268,-0.000049,  48.415
     8.2,-0.000012,-0.000026,-0.000341,-0.000036,  48.418
     8.4,-0.000008,-0.000026,-0.000434,-0.000085,  48.417
     8.6,-0.000014,-0.000030,-0.000475,-0.000049,  48.413
     8.8,-0.000014,-0.000028,-0.000506,-0.000036,  48.411
     9.0,-0.000013,-0.000025,-0.000536,-0.000085,  48.408
     9.2,-0.000020,-0.000028,-0.000567,-0.000049,  48.408
     9.4,-0.000017,-0.000026,-0.000598,-0.000036,  48.410
     9.6,-0.000011,-0.000028,-0.000645,-0.000085,  48.406
     9.8,-0.000013,-0.000030,-0.000604,-0.000049,  48.412
    10.0,-0.000017,-0.000030,-0.000538,-0.000036,  48.405
    10.2,-0.000020,-0.000028,-0.000446,-0.000085,  48.407
    10.4,-0.000016,-0.000033,-0.000458,-0.000049,  48.401
    10.6,-0.000022,-0.000033,-0.000484,-0.000036,  48.405
    10.8,-0.000016,-0.000026,-0.000545,-0.000072,  48.400
    11.0,-0.000016,-0.000027,-0.000560,-0.000036,  48.398
    11.2,-0.000022,-0.000026,-0.000565,-0.000010,  48.401
    11.4,-0.000022,-0.000022,-0.000570,-0.000046,  48.401
    11.6,-0.000016,-0.000020,-0.000533,-0.000010,  48.392
    11.8,-0.000025,-0.000022,-0.000492,0.000003,  48.396
    12.0,-0.000028,-0.000026,-0.000446,-0.000033,  48.390
    12.2,-0.000024,-0.000026,-0.000472,-0.000010,  48.390
    12.4,-0.000030,-0.000030,-0.000524,-0.000046,  48.393
    12.6,-0.000033,-0.000034,-0.000605,-0.000046,  48.393
    12.8,-0.000027,-0.000037,-0.000626,-0.000046,  48.384
    13.0,-0.000030,-0.000037,-0.000633,-0.000059,  48.385
    13.2,-0.000030,-0.000035,-0.000606,-0.000059,  48.384
    13.4,-0.000027,-0.000038,-0.000633,-0.000023,  48.381
    13.6,-0.000030,-0.000040,-0.000674,-0.000036,  48.381
    13.8,-0.000030,-0.000038,-0.000741,-0.000072,  48.385
    14.0,-0.000033,-0.000040,-0.000746,-0.000023,  48.376
    14.2,-0.000033,-0.000046,-0.000737,-0.000023,  48.378
    14.4,-0.000036,-0.000052,-0.000721,-0.000023,  48.376
    14.6,-0.000044,-0.000049,-0.000680,-0.000023,  48.378
    14.8,-0.000044,-0.000053,-0.000747,-0.000023,  48.377
    15.0,-0.000044,-0.000054,-0.000835,-0.000059,  48.369
    15.2,-0.000046,-0.000056,-0.000952,-0.000023,  48.373
    15.4,-0.000049,-0.000058,-0.001010,-0.000036,  48.369
    15.6,-0.000052,-0.000060,-0.001030,-0.000023,  48.366
    15.8,-0.000057,-0.000062,-0.001036,-0.000059,  48.367
    16.0,-0.000060,-0.000067,-0.001012,-0.000036,  48.359
    16.2,-0.000062,-0.000074,-0.000949,-0.000023,  48.340
    16.4,-0.000067,-0.000078,-0.000856,-0.000059,  48.344
    16.6,-0.000070,-0.000083,-0.000799,-0.000036,  48.336
    16.8,-0.000073,-0.000083,-0.000769,-0.000023,  48.339
    17.0,-0.000081,-0.000082,-0.000727,-0.000072,  48.330
    17.2,-0.000083,-0.000084,-0.000686,-0.000049,  48.329
    17.4,-0.000086,-0.000086,-0.000655,-0.000036,  48.325
    17.6,-0.000089,-0.000090,-0.000625,-0.000085,  48.325
    17.8,-0.000089,-0.000092,-0.000609,-0.000062,  48.319
    18.0,-0.000091,-0.000099,-0.000615,-0.000049,  48.317
    18.2,-0.000094,-0.000099,-0.000626,-0.000085,  48.313
    18.4,-0.000090,-0.000099,-0.000611,-0.000062,  48.312
