Run Name,24%B CR Group7 25/Feb
Run Date,05:50:43 PM   02-25-14
Method Name,24%B CR Group 6 2/24.1
Export Format Version, 1.00
Method ID, 1845
Points/Second, 5.00
Number of Records,   8220
Offset from Run Start Time,00:00:00
Run End Time,00:27:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000361,0.000372,0.006472,0.000143,  47.746
     0.2,0.000357,0.000372,0.006497,0.000107,  47.746
     0.4,0.000354,0.000372,0.006554,0.000156,  47.747
     0.6,0.000352,0.000368,0.006654,0.000156,  47.748
     0.8,0.000348,0.000369,0.006622,0.000120,  47.747
     1.0,0.000348,0.000364,0.006538,0.000156,  47.753
     1.2,0.000357,0.000369,0.006424,0.000143,  47.755
     1.4,0.000359,0.000371,0.006423,0.000094,  47.754
     1.6,0.000348,0.000369,0.006454,0.000130,  47.756
     1.8,0.000345,0.000367,0.006520,0.000130,  47.753
     2.0,0.000348,0.000364,0.006514,0.000081,  47.752
     2.2,0.000339,0.000360,0.006488,0.000117,  47.761
     2.4,0.000339,0.000356,0.006442,0.000130,  47.762
     2.6,0.000339,0.000357,0.005973,0.000094,  47.767
     2.8,0.000332,0.000355,0.005307,0.000130,  47.766
     3.0,0.000329,0.000351,0.004423,0.000117,  47.772
     3.2,0.000329,0.000353,0.004156,0.000094,  47.771
     3.4,0.000326,0.000349,0.004089,0.000130,  47.774
     3.6,0.000136,0.000345,0.004214,0.000117,  47.780
     3.8,0.000144,0.000000,0.004391,0.000094,  47.781
     4.0,0.000127,0.000000,0.004693,0.000117,  47.785
     4.2,0.000174,0.000000,0.005111,0.000104,  47.786
     4.4,0.000000,0.000000,0.005314,0.000081,  47.785
     4.6,0.000000,0.000000,0.005471,0.000117,  47.793
     4.8,0.000000,0.000000,0.000000,0.000117,  47.799
     5.0,0.000000,0.000000,0.000000,0.000094,  47.802
     5.2,0.000000,0.000000,0.000000,0.000104,  47.803
     5.4,0.000000,0.000000,0.000000,0.000114,  47.808
     5.6,0.000000,0.000000,0.000000,0.000091,  47.806
     5.8,0.000000,0.000000,0.000000,0.000078,  47.812
     6.0,0.000000,0.000000,0.000000,0.000000,  47.835
     6.2,0.000000,0.000000,0.000000,0.000000,  47.840
     6.4,0.000000,0.000000,0.000000,0.000000,  47.846
     6.6,0.000000,0.000000,0.000000,0.000000,  47.845
     6.8,0.000000,0.000000,0.000000,0.000000,  47.850
     7.0,0.000000,0.000000,0.000000,0.000000,  47.850
     7.2,0.000000,0.000000,0.000000,0.000000,  47.854
     7.4,0.000000,0.000000,0.000000,0.000000,  47.855
     7.6,0.000000,0.000000,0.000000,0.000000,  47.860
     7.8,-0.000012,0.000000,0.000000,0.000000,  47.865
     8.0,-0.000013,0.000000,0.000000,0.000000,  47.868
     8.2,-0.000017,0.000000,0.000000,0.000000,  47.872
     8.4,-0.000011,0.000012,0.000000,0.000000,  47.873
     8.6,-0.000017,0.000009,0.000000,0.000000,  47.871
     8.8,-0.000011,0.000007,0.000000,0.000000,  47.877
     9.0,-0.000013,0.000007,0.000000,0.000000,  47.876
     9.2,-0.000022,0.000003,0.000000,0.000000,  47.877
     9.4,-0.000019,-0.000005,-0.000119,0.000000,  47.876
     9.6,-0.000021,-0.000007,-0.000182,0.000000,  47.876
     9.8,-0.000025,-0.000004,-0.000228,0.000000,  47.884
