Run Name,28%B CR Group 7 Feb/25
Run Date,06:56:51 PM   02-25-14
Method Name,28%B CR Group 6 Feb/25.1
Export Format Version, 1.00
Method ID, 1850
Points/Second, 5.00
Number of Records,   6510
Offset from Run Start Time,00:00:00
Run End Time,00:21:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000277,0.000165,-0.002293,0.000058,  25.491
     0.2,0.000266,0.000163,-0.002318,0.000023,  25.494
     0.4,0.000270,0.000159,-0.002375,0.000058,  25.494
     0.6,0.000350,0.000157,-0.002457,0.000058,  25.496
     0.8,0.000000,0.000155,-0.002437,0.000058,  25.500
     1.0,0.000000,0.000153,-0.002376,0.000058,  25.503
     1.2,0.000000,0.000000,-0.002632,0.000000,  25.505
     1.4,0.000000,0.000000,-0.002632,0.000000,  25.507
     1.6,0.000000,0.000000,-0.002632,0.000000,  25.504
     1.8,0.000000,0.000000,-0.002632,0.000000,  25.507
     2.0,0.000000,0.000000,0.000000,0.000000,  25.511
     2.2,0.000000,0.000000,0.000000,0.000000,  25.508
     2.4,0.000000,0.000000,0.000000,0.000000,  25.515
     2.6,0.000000,0.000000,0.000000,0.000000,  25.516
     2.8,0.000000,0.000000,0.000000,0.000000,  25.522
     3.0,0.000000,0.000000,0.000000,0.000000,  25.525
     3.2,0.000000,0.000000,0.000000,0.000000,  25.527
     3.4,0.000000,0.000000,0.000000,0.000000,  25.530
     3.6,0.000000,0.000000,0.000000,0.000000,  25.528
     3.8,0.000000,0.000000,0.000000,0.000000,  25.530
     4.0,0.000000,0.000000,0.000000,0.000000,  25.531
     4.2,0.000000,0.000000,0.000000,0.000000,  25.537
     4.4,-0.000003,0.000000,0.000000,0.000000,  25.533
     4.6,-0.000005,0.000000,0.000000,0.000000,  25.541
     4.8,-0.000004,0.000000,0.000000,0.000000,  25.536
     5.0,-0.000013,0.000000,0.000000,0.000000,  25.538
     5.2,-0.000016,0.000000,0.000000,0.000000,  25.542
     5.4,-0.000025,0.000000,0.000000,0.000000,  25.541
     5.6,-0.000034,0.000000,0.000000,-0.000108,  25.546
     5.8,-0.000036,-0.000014,0.001950,-0.000130,  25.543
     6.0,-0.000046,-0.000017,0.001944,-0.000095,  25.544
     6.2,-0.000061,-0.000023,0.001923,-0.000108,  25.541
     6.4,-0.000065,-0.000027,0.001902,-0.000095,  25.543
     6.6,-0.000078,-0.000036,0.001870,-0.000130,  25.543
     6.8,-0.000095,-0.000045,0.001823,-0.000108,  25.545
     7.0,-0.000099,-0.000059,0.001781,-0.000095,  25.546
     7.2,-0.000115,-0.000066,0.001743,-0.000143,  25.547
     7.4,-0.000130,-0.000078,0.001717,-0.000134,  25.547
     7.6,-0.000140,-0.000091,0.001681,-0.000121,  25.549
     7.8,-0.000148,-0.000107,0.001664,-0.000156,  25.549
     8.0,-0.000160,-0.000121,0.001669,-0.000134,  25.550
     8.2,-0.000168,-0.000134,0.001657,-0.000121,  25.549
     8.4,-0.000170,-0.000147,0.001620,-0.000169,  25.551
     8.6,-0.000178,-0.000156,0.001562,-0.000147,  25.549
     8.8,-0.000180,-0.000166,0.001474,-0.000147,  25.553
     9.0,-0.000188,-0.000170,0.001386,-0.000182,  25.553
     9.2,-0.000191,-0.000181,0.001282,-0.000160,  25.553
     9.4,-0.000191,-0.000194,0.001165,-0.000160,  25.553
     9.6,-0.000190,-0.000202,0.001117,-0.000196,  25.556
