Run Name,20% C group8 march 3
Run Date,09:07:36 PM   03-03-14
Method Name,20% C group8 march 3.2
Export Format Version, 1.00
Method ID, 1910
Points/Second, 5.00
Number of Records,   4762
Offset from Run Start Time,00:00:00
Run End Time,00:15:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,0.000125,0.000066, 20,0.001981,-0.000115,  24.847,   91
     0.2,0.000128,0.000067, 20,0.001975,-0.000138,  24.844,   91
     0.4,0.000124,0.000064, 20,0.001958,-0.000151,  24.847,   92
     0.6,0.000127,0.000067, 20,0.001952,-0.000115,  24.852,   91
     0.8,0.000129,0.000062, 20,0.001930,-0.000138,  24.853,   90
     1.0,0.000127,0.000062, 20,0.001914,-0.000151,  24.853,   91
     1.2,0.000128,0.000062, 20,0.001875,-0.000115,  24.859,   92
     1.4,0.000128,0.000062, 20,0.001858,-0.000138,  24.857,   92
     1.6,0.000128,0.000058, 20,0.001874,-0.000151,  24.854,   92
     1.8,0.000129,0.000061, 20,0.001879,-0.000115,  24.859,   92
     2.0,0.000129,0.000064, 20,0.001825,-0.000151,  24.861,   92
     2.2,0.000125,0.000070, 20,0.001743,-0.000177,  24.861,   92
     2.4,-0.000215,0.000070, 20,0.001636,-0.000167,  24.868,   92
     2.6,-0.000199,0.000000, 20,0.001625,-0.000203,  24.865,   91
     2.8,-0.000201,0.000000, 20,0.001652,-0.000154,  24.863,   91
     3.0,-0.000238,0.000000, 20,0.001706,-0.000105,  24.865,   91
     3.2,0.000000,0.000000, 20,0.001679,-0.000118,  24.864,   92
     3.4,0.000000,0.000000, 20,0.001648,-0.000059,  24.861,   91
     3.6,0.000000,0.000000, 20,0.003522,0.000000,  24.866,   91
     3.8,0.000000,0.000000, 20,0.003522,0.000000,  24.866,   89
     4.0,0.000000,0.000000, 20,0.003522,0.000000,  24.861,   87
     4.2,0.000000,0.000000, 20,0.003522,0.000000,  24.862,   88
     4.4,0.000000,0.000000, 20,0.000000,0.000000,  24.865,   88
     4.6,0.000000,0.000000, 20,0.000000,0.000000,  24.874,   91
     4.8,0.000000,0.000000, 20,0.000000,0.000000,  24.870,   94
     5.0,0.000000,0.000000, 20,0.000000,0.000000,  24.862,   93
     5.2,0.000000,0.000000, 20,0.000000,0.000000,  24.862,   91
     5.4,0.000000,0.000000, 20,0.000000,0.000000,  24.861,   92
     5.6,0.000000,0.000000, 20,0.000000,0.000000,  24.859,   93
     5.8,0.000000,0.000000, 20,0.000000,0.000000,  24.859,   92
     6.0,0.000001,0.000000, 20,0.000000,0.000000,  24.859,   91
     6.2,-0.000003,-0.000009, 20,0.000000,0.000000,  24.857,   91
     6.4,-0.000007,-0.000009, 20,0.000000,0.000000,  24.861,   92
     6.6,0.000000,-0.000012, 20,0.000000,0.000000,  24.856,   92
     6.8,-0.000004,-0.000014, 20,0.000000,0.000000,  24.857,   92
     7.0,-0.000004,-0.000020, 20,0.000000,0.000000,  24.856,   92
     7.2,-0.000001,-0.000017, 20,0.000205,0.000000,  24.858,   92
     7.4,-0.000008,-0.000014, 20,0.000270,-0.000046,  24.856,   92
     7.6,-0.000001,-0.000013, 20,0.000226,-0.000082,  24.852,   93
     7.8,0.000003,-0.000017, 20,0.000052,-0.000082,  24.855,   92
     8.0,-0.000009,-0.000024, 20,-0.000241,-0.000046,  24.859,   92
     8.2,-0.000011,-0.000022, 20,-0.000675,-0.000082,  24.856,   92
     8.4,-0.000018,-0.000021, 20,-0.000719,-0.000082,  24.854,   92
     8.6,-0.000029,-0.000025, 20,-0.000622,-0.000046,  24.855,   91
     8.8,-0.000035,-0.000034, 20,-0.000389,-0.000082,  24.854,   91
     9.0,-0.000038,-0.000038, 20,-0.000334,-0.000082,  24.853,   91
     9.2,-0.000041,-0.000053, 20,-0.000313,-0.000046,  24.849,   92
