Run Name,24% CR group8 march 3
Run Date,07:06:41 PM   03-03-14
Method Name,24% CR group8 march 3.6
Export Format Version, 1.00
Method ID, 1902
Points/Second, 5.00
Number of Records,   9598
Offset from Run Start Time,00:00:00
Run End Time,00:32:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,-0.001087,-0.000184, 24,0.002295,-0.000134,  27.884,   91
     0.2,-0.001104,-0.000184, 24,0.002097,-0.000134,  27.880,   90
     0.4,-0.001092,-0.000295, 24,0.001742,-0.000134,  27.885,   90
     0.6,-0.000656,-0.000514, 24,0.001245,-0.000134,  27.883,   90
     0.8,0.000000,-0.000514, 24,0.001478,-0.000134,  27.885,   90
     1.0,0.000000,0.000000, 24,0.001997,-0.000121,  27.885,   90
     1.2,0.000000,0.000000, 24,0.002055,-0.000098,  27.886,   90
     1.4,0.000000,0.000000, 24,0.002055,0.000000,  27.885,   90
     1.6,0.000000,0.000000, 24,0.002055,0.000000,  27.886,   90
     1.8,0.000000,0.000000, 24,0.002055,0.000000,  27.885,   90
     2.0,0.000000,0.000000, 24,0.000000,0.000000,  27.886,   89
     2.2,0.000000,0.000000, 24,0.000000,0.000000,  27.888,   89
     2.4,0.000000,0.000000, 24,0.000000,0.000000,  27.884,   90
     2.6,0.000000,0.000000, 24,0.000000,0.000000,  27.889,   90
     2.8,0.000000,0.000000, 24,0.000000,0.000000,  27.891,   90
     3.0,0.000000,0.000000, 24,0.000000,0.000000,  27.888,   90
     3.2,0.000000,0.000000, 24,0.000000,0.000000,  27.884,   89
     3.4,0.000000,0.000000, 24,0.000000,0.000000,  27.887,   90
     3.6,0.000000,0.000000, 24,0.000000,0.000000,  27.887,   91
     3.8,0.000000,0.000000, 24,0.000000,0.000000,  27.887,   90
     4.0,0.000000,-0.000002, 24,0.000000,0.000000,  27.888,   89
     4.2,0.000012,0.000001, 24,0.000000,0.000000,  27.890,   89
     4.4,0.000005,0.000003, 24,0.000000,0.000000,  27.888,   89
     4.6,-0.000001,0.000004, 24,0.000000,0.000000,  27.891,   89
     4.8,0.000003,0.000006, 24,0.000000,0.000000,  27.890,   89
     5.0,-0.000007,0.000007, 24,0.000000,0.000000,  27.891,   90
     5.2,-0.000007,0.000003, 24,0.000000,0.000000,  27.887,   92
     5.4,0.000000,0.000003, 24,0.000048,0.000000,  27.888,   91
     5.6,-0.000001,0.000007, 24,0.000097,0.000000,  27.890,   90
     5.8,0.000001,0.000003, 24,0.000114,-0.000013,  27.888,   90
     6.0,0.000008,0.000005, 24,0.000114,0.000000,  27.889,   90
     6.2,0.000001,0.000005, 24,0.000075,-0.000023,  27.896,   90
     6.4,0.000008,0.000009, 24,0.000015,0.000000,  27.894,   90
     6.6,0.000009,0.000008, 24,-0.000035,-0.000023,  27.899,   90
     6.8,0.000003,0.000003, 24,-0.000072,-0.000023,  27.894,   91
     7.0,0.000009,0.000004, 24,-0.000138,-0.000036,  27.902,   90
     7.2,0.000012,0.000002, 24,-0.000176,-0.000059,  27.896,   90
     7.4,0.000008,-0.000003, 24,-0.000181,-0.000059,  27.902,   90
     7.6,0.000013,0.000004, 24,-0.000198,-0.000036,  27.895,   91
     7.8,0.000013,0.000006, 24,-0.000181,-0.000059,  27.898,   91
     8.0,0.000007,0.000003, 24,-0.000138,-0.000059,  27.902,   91
     8.2,0.000010,0.000012, 24,-0.000089,-0.000023,  27.901,   91
     8.4,0.000013,0.000018, 24,-0.000068,-0.000059,  27.900,   91
