Run Name,34% CRL group 8 march 3
Run Date,04:50:42 PM   03-03-14
Method Name,34% CRL group8 march 3.2
Export Format Version, 1.00
Method ID, 1893
Points/Second, 5.00
Number of Records,   4642
Offset from Run Start Time,00:00:00
Run End Time,00:15:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,0.000043,0.000016, 34,0.001706,-0.000020,  35.783,   89
     0.2,0.000043,0.000013, 34,0.001673,-0.000043,  35.777,   89
     0.4,0.000043,0.000014, 34,0.001635,-0.000043,  35.777,   88
     0.6,0.000037,0.000015, 34,0.001592,-0.000020,  35.779,   89
     0.8,0.000030,0.000017, 34,0.001564,-0.000043,  35.773,   89
     1.0,0.000033,0.000010, 34,0.001553,-0.000043,  35.774,   88
     1.2,0.000039,0.000017, 34,0.001548,-0.000020,  35.765,   87
     1.4,0.000035,0.000015, 34,0.001526,-0.000043,  35.762,   87
     1.6,0.000038,0.000015, 34,0.001493,-0.000043,  35.765,   86
     1.8,0.000038,0.000018, 34,0.001472,-0.000020,  35.759,   87
     2.0,0.000043,0.000019, 34,0.001450,-0.000043,  35.757,   87
     2.2,0.000049,0.000018, 34,0.001422,-0.000043,  35.748,   88
     2.4,-0.000917,0.000020, 34,0.001406,-0.000007,  35.752,   88
     2.6,-0.000942,0.000000, 34,0.001437,-0.000030,  35.745,   88
     2.8,-0.000943,0.000000, 34,0.001468,-0.000043,  35.741,   88
     3.0,-0.000488,0.000000, 34,0.001527,-0.000007,  35.741,   89
     3.2,0.000000,0.000000, 34,0.001580,0.000006,  35.734,   89
     3.4,0.000000,0.000000, 34,0.001655,0.000016,  35.724,   89
     3.6,0.000000,0.000000, 34,0.001029,0.000000,  35.724,   89
     3.8,0.000000,0.000000, 34,0.001029,0.000000,  35.721,   90
     4.0,0.000000,0.000000, 34,0.001029,0.000000,  35.720,   91
     4.2,0.000000,0.000000, 34,0.001029,0.000000,  35.720,   89
     4.4,0.000000,0.000000, 34,0.000000,0.000000,  35.715,   87
     4.6,0.000000,0.000000, 34,0.000000,0.000000,  35.705,   88
     4.8,0.000000,0.000000, 34,0.000000,0.000000,  35.706,   88
     5.0,0.000000,0.000000, 34,0.000000,0.000000,  35.704,   88
     5.2,0.000000,0.000000, 34,0.000000,0.000000,  35.699,   88
     5.4,0.000000,0.000000, 34,0.000000,0.000000,  35.704,   88
     5.6,0.000000,0.000000, 34,0.000000,0.000000,  35.696,   88
     5.8,0.000000,0.000000, 34,0.000000,0.000000,  35.690,   88
     6.0,0.000000,0.000000, 34,0.000000,0.000000,  35.693,   87
     6.2,0.000000,0.000000, 34,0.000000,0.000000,  35.689,   88
     6.4,0.000000,0.000000, 34,0.000000,0.000000,  35.685,   89
     6.6,0.000003,0.000000, 34,0.000000,0.000000,  35.684,   89
     6.8,0.000015,0.000014, 34,0.000000,0.000000,  35.680,   89
     7.0,0.000017,0.000022, 34,0.000000,0.000000,  35.676,   88
     7.2,0.000024,0.000025, 34,0.000000,0.000000,  35.673,   88
     7.4,0.000024,0.000021, 34,0.000000,0.000000,  35.673,   88
     7.6,0.000024,0.000020, 34,0.000000,0.000000,  35.671,   88
     7.8,0.000028,0.000016, 34,-0.000098,0.000000,  35.655,   88
     8.0,0.000030,0.000017, 34,-0.000168,-0.000033,  35.654,   88
     8.2,0.000027,0.000016, 34,-0.000243,-0.000020,  35.652,   88
     8.4,0.000036,0.000018, 34,-0.000297,-0.000069,  35.649,   88
     8.6,0.000032,0.000022, 34,-0.000349,-0.000033,  35.645,   88
     8.8,0.000029,0.000021, 34,-0.000391,-0.000069,  35.643,   88
     9.0,0.000027,0.000016, 34,-0.000396,-0.000020,  35.639,   88
     9.2,0.000023,0.000013, 34,-0.000396,-0.000033,  35.637,   87
     9.4,0.000027,0.000020, 34,-0.000385,-0.000069,  35.635,   88
     9.6,0.000027,0.000011, 34,-0.000380,-0.000020,  35.638,   88
     9.8,0.000027,0.000012, 34,-0.000380,-0.000033,  35.630,   88
    10.0,0.000024,0.000012, 34,-0.000391,-0.000069,  35.632,   88
    10.2,0.000025,0.000010, 34,-0.000386,-0.000020,  35.630,   88
    10.4,0.000022,0.000008, 34,-0.000369,-0.000033,  35.627,   88
    10.6,0.000016,0.000008, 34,-0.000369,-0.000069,  35.618,   88
    10.8,0.000020,0.000009, 34,-0.000337,-0.000020,  35.621,   88
    11.0,0.000017,0.000007, 34,-0.000310,-0.000033,  35.625,   88
    11.2,0.000010,0.000009, 34,-0.000278,-0.000069,  35.624,   87
    11.4,0.000020,0.000007, 34,-0.000278,-0.000020,  35.621,   88
    11.6,0.000020,0.000004, 34,-0.000300,-0.000033,  35.620,   88
    11.8,0.000013,0.000004, 34,-0.000343,-0.000069,  35.619,   89
    12.0,0.000020,0.000007, 34,-0.000370,-0.000020,  35.619,   89
    12.2,0.000020,0.000009, 34,-0.000397,-0.000033,  35.616,   89
    12.4,0.000013,0.000009, 34,-0.000418,-0.000069,  35.613,   89
    12.6,0.000017,0.000007, 34,-0.000559,-0.000020,  35.614,   88
    12.8,0.000017,0.000007, 34,-0.000764,-0.000033,  35.612,   88
    13.0,0.000010,0.000007, 34,-0.001011,-0.000069,  35.610,   89
    13.2,0.000013,-0.000000, 34,-0.001027,-0.000020,  35.608,   89
    13.4,0.000010,0.000001, 34,-0.000947,-0.000033,  35.609,   89
    13.6,0.000013,-0.000004, 34,-0.000762,-0.000082,  35.605,   88
    13.8,0.000013,-0.000007, 34,-0.000660,-0.000046,  35.607,   88
    14.0,0.000010,-0.000010, 34,-0.000554,-0.000023,  35.611,   88
    14.2,0.000013,-0.000012, 34,-0.000420,-0.000059,  35.606,   88
    14.4,0.000010,-0.000011, 34,-0.000357,-0.000046,  35.607,   88
    14.6,0.000012,-0.000005, 34,-0.000341,-0.000033,  35.608,   89
    14.8,0.000014,-0.000005, 34,-0.000346,-0.000056,  35.606,   90
    15.0,0.000008,-0.000008, 34,-0.000352,-0.000020,  35.601,   90
    15.2,0.000014,0.000000, 34,-0.000374,-0.000046,  35.601,   91
    15.4,0.000010,0.000004, 34,-0.000395,-0.000082,  35.599,   89
    15.6,0.000004,0.000003, 34,-0.000422,-0.000046,  35.599,   88
    15.8,0.000007,0.000007, 34,-0.000455,-0.000046,  35.599,   88
    16.0,0.000000,0.000003, 34,-0.000482,-0.000082,  35.598,   88
    16.2,0.000007,0.000005, 34,-0.000659,-0.000046,  35.595,   90
    16.4,0.000013,0.000005, 34,-0.000923,-0.000046,  35.597,   92
    16.6,0.000016,0.000009, 34,-0.001285,-0.000046,  35.595,   91
    16.8,0.000019,0.000011, 34,-0.001253,-0.000033,  35.594,   89
    17.0,0.000028,0.000018, 34,-0.001081,-0.000046,  35.597,   89
    17.2,0.000033,0.000023, 34,-0.000774,-0.000033,  35.593,   88
    17.4,0.000033,0.000023, 34,-0.000650,-0.000020,  35.594,   88
    17.6,0.000040,0.000016, 34,-0.000549,-0.000020,  35.594,   88
    17.8,0.000036,0.000012, 34,-0.000474,-0.000020,  35.599,   88
    18.0,0.000033,0.000018, 34,-0.000426,-0.000056,  35.593,   88
    18.2,0.000027,0.000017, 34,-0.000415,-0.000020,  35.600,   89
    18.4,0.000029,0.000014, 34,-0.000425,-0.000020,  35.598,   91
    18.6,0.000033,0.000018, 34,-0.000478,-0.000056,  35.599,   90
    18.8,0.000040,0.000016, 34,-0.000489,-0.000020,  35.593,   90
    19.0,0.000042,0.000020, 34,-0.000467,-0.000033,  35.598,   89
    19.2,0.000042,0.000020, 34,-0.000456,-0.000069,  35.593,   88
    19.4,0.000045,0.000022, 34,-0.000413,-0.000020,  35.596,   87
    19.6,0.000050,0.000028, 34,-0.000348,-0.000020,  35.597,   87
    19.8,0.000046,0.000026, 34,-0.000267,-0.000056,  35.597,   87
    20.0,0.000052,0.000026, 34,-0.000213,-0.000020,  35.600,   88
    20.2,0.000055,0.000021, 34,-0.000181,-0.000020,  35.600,   88
    20.4,0.000052,0.000019, 34,-0.000143,-0.000056,  35.606,   89
    20.6,0.000060,0.000017, 34,-0.000138,-0.000020,  35.613,   89
    20.8,0.000062,0.000027, 34,-0.000143,-0.000020,  35.608,   88
    21.0,0.000058,0.000029, 34,-0.000170,-0.000056,  35.611,   88
    21.2,0.000070,0.000031, 34,-0.000187,-0.000020,  35.607,   88
    21.4,0.000073,0.000030, 34,-0.000181,-0.000020,  35.611,   90
    21.6,0.000069,0.000030, 34,-0.000170,-0.000056,  35.609,   92
    21.8,0.000072,0.000031, 34,-0.000197,-0.000020,  35.610,   91
    22.0,0.000075,0.000033, 34,-0.000234,-0.000020,  35.609,   90
    22.2,0.000072,0.000035, 34,-0.000298,-0.000056,  35.610,   90
    22.4,0.000073,0.000033, 34,-0.000583,-0.000020,  35.612,   89
    22.6,0.000070,0.000038, 34,-0.000998,-0.000020,  35.611,   89
    22.8,0.000064,0.000046, 34,-0.001540,-0.000056,  35.609,   89
