Run Name,lineargradient group8_3/6
Run Date,02:31:57 PM   03-06-14
Method Name,lineargradient group8_3/6.4
Export Format Version, 1.00
Method ID, 1928
Points/Second, 5.00
Number of Records,  20280
Offset from Run Start Time,00:00:00
Run End Time,01:07:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,0.000000,0.000000,  0,0.000000,0.000000,   5.353,   80
     0.2,0.000000,0.000000,  0,0.000000,0.000000,   5.354,   80
     0.4,0.000000,0.000000,  0,0.000000,0.000000,   5.351,   79
     0.6,0.000000,0.000000,  0,0.000000,0.000000,   5.352,   81
     0.8,0.000000,0.000000,  0,0.000000,0.000000,   5.353,   83
     1.0,0.000000,0.000000,  0,0.000000,0.000000,   5.353,   81
     1.2,0.000000,0.000000,  0,0.000000,0.000000,   5.354,   79
     1.4,0.000000,0.000000,  0,0.000000,0.000000,   5.351,   79
     1.6,0.000000,0.000000,  0,0.000000,0.000000,   5.351,   80
     1.8,0.000000,0.000000,  0,0.000000,0.000000,   5.353,   80
     2.0,0.000000,0.000000,  0,0.000000,0.000000,   5.353,   79
     2.2,0.000000,0.000000,  0,0.000000,0.000000,   5.349,   80
     2.4,0.000000,0.000000,  0,0.000000,0.000000,   5.352,   80
     2.6,0.000000,0.000000,  0,0.000000,0.000000,   5.353,   79
     2.8,0.000000,0.000000,  0,0.000000,0.000000,   5.350,   78
     3.0,0.000000,0.000000,  0,0.000000,0.000000,   5.352,   79
     3.2,0.000000,0.000000,  0,0.000000,0.000000,   5.355,   80
     3.4,0.000000,0.000000,  0,0.000000,0.000000,   5.348,   81
     3.6,-0.000008,0.000001,  0,0.000001,0.000000,   5.349,   82
     3.8,-0.000005,-0.000002,  0,-0.000024,0.000000,   5.352,   81
     4.0,-0.000008,0.000001,  0,-0.000031,0.000000,   5.348,   79
     4.2,-0.000001,0.000001,  0,-0.000045,0.000000,   5.353,   82
     4.4,-0.000001,0.000002,  0,-0.000064,0.000000,   5.352,   84
     4.6,-0.000008,-0.000001,  0,-0.000097,0.000036,   5.351,   82
     4.8,-0.000008,0.000004,  0,-0.000123,0.000049,   5.351,   79
     5.0,-0.000007,0.000004,  0,-0.000130,0.000062,   5.352,   79
     5.2,-0.000013,0.000002,  0,-0.000130,0.000039,   5.351,   79
     5.4,-0.000009,0.000001,  0,-0.000150,0.000026,   5.350,   79
     5.6,-0.000005,0.000003,  0,-0.000195,0.000026,   5.351,   78
     5.8,-0.000012,-0.000000,  0,-0.000241,0.000039,   5.347,   78
     6.0,-0.000005,0.000004,  0,-0.000300,0.000026,   5.352,   78
     6.2,-0.000005,0.000001,  0,-0.000345,0.000026,   5.351,   79
     6.4,-0.000009,0.000005,  0,-0.000371,0.000039,   5.352,   81
     6.6,-0.000007,0.000003,  0,-0.000391,0.000026,   5.350,   81
     6.8,-0.000010,-0.000002,  0,-0.000423,0.000026,   5.349,   81
     7.0,-0.000014,0.000005,  0,-0.000450,0.000039,   5.349,   81
     7.2,-0.000012,0.000003,  0,-0.000476,0.000026,   5.348,   81
     7.4,-0.000012,0.000000,  0,-0.000476,0.000026,   5.351,   80
     7.6,-0.000009,0.000005,  0,-0.000450,0.000003,   5.352,   79
     7.8,-0.000009,0.000002,  0,-0.000431,-0.000010,   5.349,   78
     8.0,-0.000005,0.000001,  0,-0.000418,-0.000010,   5.349,   78
     8.2,0.000004,0.000010,  0,-0.000398,-0.000033,   5.347,   79
     8.4,0.000004,0.000012,  0,-0.000417,0.000003,   5.352,   80
     8.6,0.000001,0.000011,  0,-0.000411,-0.000010,   5.349,   80
     8.8,-0.000002,0.000015,  0,-0.000411,-0.000033,   5.349,   81
     9.0,0.000001,0.000017,  0,-0.000417,0.000003,   5.351,   80
     9.2,0.000012,0.000010,  0,-0.000424,0.000003,   5.347,   80
     9.4,0.000008,0.000011,  0,-0.000430,0.000003,   5.354,   80
     9.6,0.000012,0.000013,  0,-0.000450,-0.000033,   5.348,   81
     9.8,0.000019,0.000011,  0,-0.000469,0.000003,   5.352,   80
    10.0,0.000019,0.000013,  0,-0.000443,0.000003,   5.351,   79
    10.2,0.000016,0.000008,  0,-0.000404,-0.000033,   5.349,   80
    10.4,0.000017,0.000012,  0,-0.000339,0.000003,   5.355,   80
    10.6,0.000013,0.000011,  0,-0.000332,0.000003,   5.353,   82
    10.8,0.000016,0.000011,  0,-0.000345,-0.000033,   5.352,   85
