Run Name,23%  C 3_4
Run Date,06:10:44 PM   03-04-14
Method Name,23% C group 9 3.4
Export Format Version, 1.00
Method ID, 1924
Points/Second, 5.00
Number of Records,   3570
Offset from Run Start Time,00:00:00
Run End Time,00:11:53
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,GP Pressure
     0.0,-0.000104, 23,  27.546,   99
     0.2,-0.000103, 23,  27.546,   99
     0.4,-0.000173, 23,  27.551,   99
     0.6,-0.000066, 23,  27.547,   98
     0.8,0.000000, 23,  27.549,   97
     1.0,0.000000, 23,  27.548,   98
     1.2,0.000000, 23,  27.544,   99
     1.4,0.000000, 23,  27.545,   99
     1.6,0.000000, 23,  27.546,  100
     1.8,0.000000, 23,  27.545,   99
     2.0,0.000000, 23,  27.550,   99
     2.2,0.000000, 23,  27.543,  100
     2.4,0.000000, 23,  27.543,  101
     2.6,0.000000, 23,  27.541,  100
     2.8,0.000000, 23,  27.538,   99
     3.0,0.000000, 23,  27.536,   99
     3.2,0.000000, 23,  27.538,  100
     3.4,0.000000, 23,  27.535,   97
     3.6,0.000000, 23,  27.535,   95
     3.8,0.000000, 23,  27.537,   96
     4.0,0.000000, 23,  27.537,   98
     4.2,0.000023, 23,  27.542,   99
     4.4,0.000016, 23,  27.542,  101
     4.6,0.000016, 23,  27.540,  101
     4.8,0.000025, 23,  27.534,  100
     5.0,0.000022, 23,  27.538,  101
     5.2,0.000024, 23,  27.536,  102
     5.4,0.000031, 23,  27.531,  100
     5.6,0.000013, 23,  27.530,   99
     5.8,0.000001, 23,  27.532,   99
     6.0,-0.000016, 23,  27.535,   99
     6.2,-0.000026, 23,  27.534,   96
     6.4,-0.000014, 23,  27.530,   92
     6.6,-0.000000, 23,  27.529,   96
     6.8,0.000001, 23,  27.529,   99
     7.0,0.000004, 23,  27.539,  100
     7.2,0.000012, 23,  27.534,  100
     7.4,0.000013, 23,  27.533,  100
     7.6,0.000016, 23,  27.531,   99
     7.8,0.000025, 23,  27.529,  100
     8.0,0.000022, 23,  27.531,  101
     8.2,0.000024, 23,  27.528,  100
     8.4,0.000031, 23,  27.524,   99
     8.6,0.000022, 23,  27.524,  100
     8.8,0.000016, 23,  27.531,  101
     9.0,0.000015, 23,  27.529,   96
     9.2,0.000012, 23,  27.527,   91
     9.4,0.000017, 23,  27.525,   94
     9.6,0.000013, 23,  27.528,   97
     9.8,0.000019, 23,  27.535,   99
    10.0,0.000022, 23,  27.531,  101
    10.2,0.000024, 23,  27.526,  100
    10.4,0.000024, 23,  27.525,  100
    10.6,0.000024, 23,  27.528,  101
    10.8,0.000024, 23,  27.524,  101
    11.0,0.000024, 23,  27.525,  100
    11.2,0.000016, 23,  27.524,   99
    11.4,0.000000, 23,  27.527,   99
    11.6,-0.000019, 23,  27.529,   99
    11.8,-0.000019, 23,  27.530,   93
    12.0,-0.000016, 23,  27.531,   88
    12.2,-0.000005, 23,  27.527,   93
    12.4,0.000000, 23,  27.530,   99
    12.6,0.000003, 23,  27.535,  100
    12.8,0.000005, 23,  27.532,  100
    13.0,0.000008, 23,  27.533,   99
    13.2,0.000005, 23,  27.526,   98
    13.4,0.000005, 23,  27.532,   99
    13.6,0.000008, 23,  27.528,  101
    13.8,0.000005, 23,  27.528,  100
    14.0,0.000005, 23,  27.533,   99
    14.2,0.000003, 23,  27.531,  100
    14.4,-0.000003, 23,  27.532,  102
    14.6,-0.000004, 23,  27.530,   94
    14.8,-0.000008, 23,  27.529,   86
    15.0,-0.000008, 23,  27.526,   93
    15.2,0.000001, 23,  27.531,  101
    15.4,0.000000, 23,  27.538,  101
    15.6,0.000003, 23,  27.532,  102
    15.8,0.000012, 23,  27.526,  101
    16.0,0.000008, 23,  27.535,   99
    16.2,0.000008, 23,  27.531,   99
    16.4,0.000017, 23,  27.532,   99
    16.6,0.000005, 23,  27.534,   99
    16.8,-0.000008, 23,  27.536,   98
    17.0,-0.000020, 23,  27.538,   99
    17.2,-0.000027, 23,  27.535,  100
    17.4,-0.000021, 23,  27.531,   92
    17.6,-0.000016, 23,  27.537,   84
    17.8,-0.000013, 23,  27.536,   92
    18.0,-0.000011, 23,  27.539,  101
    18.2,-0.000008, 23,  27.542,  100
    18.4,-0.000005, 23,  27.538,   99
    18.6,-0.000003, 23,  27.536,   99
    18.8,0.000000, 23,  27.536,   98
    19.0,0.000003, 23,  27.539,  100
    19.2,-0.000001, 23,  27.535,  101
    19.4,-0.000001, 23,  27.535,  100
    19.6,0.000001, 23,  27.537,   99
    19.8,-0.000005, 23,  27.536,   99
    20.0,-0.000001, 23,  27.539,  100
    20.2,-0.000009, 23,  27.540,   90
    20.4,-0.000003, 23,  27.537,   81
    20.6,0.000000, 23,  27.540,   91
    20.8,-0.000003, 23,  27.544,  101
    21.0,0.000007, 23,  27.543,  101
    21.2,0.000012, 23,  27.543,  100
    21.4,0.000008, 23,  27.542,  100
    21.6,0.000011, 23,  27.539,  100
    21.8,0.000011, 23,  27.539,  100
    22.0,0.000008, 23,  27.539,   99
    22.2,0.000003, 23,  27.543,   99
    22.4,-0.000005, 23,  27.539,   99
    22.6,-0.000021, 23,  27.536,   99
    22.8,-0.000021, 23,  27.543,  100
    23.0,-0.000021, 23,  27.538,   91
    23.2,-0.000019, 23,  27.542,   81
    23.4,-0.000013, 23,  27.538,   92
    23.6,-0.000011, 23,  27.546,  103
