Run Name,35% CRL group 9 3.4
Run Date,03:03:13 PM   03-04-14
Method Name,35% CRL group 9 3.4
Export Format Version, 1.00
Method ID, 1914
Points/Second, 5.00
Number of Records,   4792
Offset from Run Start Time,00:00:00
Run End Time,00:16:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,0.000450,0.000372, 35,0.008454,0.000378,  37.263,   96
     0.2,0.000444,0.000367, 35,0.008519,0.000378,  37.264,   96
     0.4,0.000450,0.000367, 35,0.008721,0.000391,  37.258,   96
     0.6,0.000445,0.000365, 35,0.009035,0.000378,  37.259,   96
     0.8,0.000438,0.000363, 35,0.009136,0.000378,  37.259,   95
     1.0,0.000445,0.000369, 35,0.009207,0.000378,  37.264,   94
     1.2,0.000442,0.000368, 35,0.009220,0.000378,  37.260,   93
     1.4,0.000433,0.000368, 35,0.009255,0.000378,  37.258,   94
     1.6,0.000440,0.000369, 35,0.009261,0.000378,  37.261,   95
     1.8,0.000440,0.000372, 35,0.009262,0.000378,  37.263,   95
     2.0,0.000430,0.000370, 35,0.009238,0.000378,  37.264,   95
     2.2,0.000437,0.000368, 35,0.009244,0.000378,  37.265,   96
     2.4,0.000433,0.000369, 35,0.009256,0.000391,  37.264,   97
     2.6,0.000439,0.000369, 35,0.009292,0.000378,  37.262,   96
     2.8,0.000454,0.000364, 35,0.009333,0.000391,  37.263,   94
     3.0,0.000466,0.000364, 35,0.009398,0.000391,  37.259,   95
     3.2,0.000000,0.000366, 35,0.009481,0.000391,  37.262,   96
     3.4,0.000000,0.000362, 35,0.009481,0.000404,  37.268,   96
