Run Name,50% CRL Group 9 3.4
Run Date,02:37:58 PM   03-04-14
Method Name,50% CR group8 march 3.8
Export Format Version, 1.00
Method ID, 1906
Points/Second, 5.00
Number of Records,   2986
Offset from Run Start Time,00:00:00
Run End Time,00:10:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,0.009232,-0.371721, 50,0.279854,-0.442436,  49.215,   95
     0.2,0.009232,-0.371721, 50,0.279883,-0.442472,  49.214,   94
     0.4,0.009229,-0.371721, 50,0.280021,-0.442436,  49.212,   94
     0.6,0.009224,-0.371721, 50,0.280304,-0.442436,  49.217,   94
     0.8,0.009224,-0.371719, 50,0.280403,-0.442472,  49.217,   94
     1.0,0.009220,-0.371722, 50,0.280460,-0.442436,  49.218,   94
     1.2,0.009220,-0.371727, 50,0.280484,-0.442436,  49.233,   94
     1.4,0.009220,-0.371730, 50,0.280506,-0.442436,  49.235,   94
     1.6,0.009216,-0.371734, 50,0.280524,-0.442472,  49.237,   94
     1.8,0.009220,-0.371739, 50,0.280524,-0.442472,  49.242,   94
     2.0,0.009217,-0.371744, 50,0.280541,-0.442436,  49.235,   94
     2.2,0.009211,-0.371741, 50,0.280564,-0.442472,  49.240,   94
     2.4,0.009212,-0.371738, 50,0.280581,-0.442472,  49.239,   95
     2.6,0.009212,-0.371739, 50,0.280466,-0.442436,  49.238,   94
     2.8,0.009206,-0.371737, 50,0.280269,-0.442472,  49.237,   94
     3.0,0.009215,-0.371740, 50,0.279998,-0.442436,  49.237,   95
     3.2,0.009217,-0.371740, 50,0.279969,-0.442436,  49.235,   96
     3.4,0.009211,-0.371739, 50,0.280015,-0.442472,  49.239,   95
     3.6,0.009217,-0.371738, 50,0.280131,-0.442436,  49.239,   94
     3.8,0.009220,-0.371740, 50,0.280333,-0.442436,  49.241,   95
     4.0,0.009220,-0.371742, 50,0.280390,-0.442472,  49.242,   96
     4.2,0.009224,-0.371734, 50,0.280425,-0.442436,  49.244,   95
     4.4,0.009221,-0.371736, 50,0.280443,-0.442436,  49.236,   94
     4.6,0.009221,-0.371736, 50,0.280489,-0.442472,  49.238,   94
     4.8,0.009221,-0.371734, 50,0.280535,-0.442436,  49.241,   95
     5.0,0.009219,-0.371734, 50,0.280581,-0.442436,  49.241,   94
     5.2,0.009219,-0.371730, 50,0.280581,-0.442472,  49.242,   93
     5.4,0.009221,-0.371737, 50,0.280552,-0.442436,  49.241,   94
     5.6,0.009221,-0.371731, 50,0.280483,-0.442436,  49.238,   95
     5.8,0.009221,-0.371731, 50,0.280483,-0.442472,  49.241,   93
     6.0,0.009221,-0.371733, 50,0.280489,-0.442436,  49.239,   92
     6.2,0.009221,-0.371734, 50,0.280506,-0.442436,  49.238,   93
     6.4,0.009221,-0.371732, 50,0.280511,-0.442472,  49.237,   94
     6.6,0.009219,-0.371734, 50,0.280511,-0.442436,  49.237,   94
     6.8,0.009221,-0.371735, 50,0.280529,-0.442436,  49.240,   94
     7.0,0.009221,-0.371735, 50,0.280558,-0.442472,  49.238,   94
     7.2,0.009489,-0.371733, 50,0.280610,-0.442436,  49.235,   94
     7.4,0.009501,0.000000, 50,0.280668,-0.442436,  49.236,   95
     7.6,0.009505,0.000000, 50,0.280690,-0.442449,  49.235,   95
     7.8,0.009516,0.000000, 50,0.280702,-0.442449,  49.240,   97
     8.0,0.000000,0.000000, 50,0.280690,-0.442413,  49.235,   99
     8.2,0.000000,0.000000, 50,0.280684,-0.442426,  49.239,   97
     8.4,0.000000,0.000000, 50,0.280679,-0.442462,  49.237,   95
     8.6,0.000000,0.000000, 50,0.280560,0.000000,  49.236,   96
     8.8,0.000000,0.000000, 50,0.280560,0.000000,  49.238,   96
     9.0,0.000000,0.000000, 50,0.280560,0.000000,  49.237,   95
     9.2,0.000000,0.000000, 50,0.280560,0.000000,  49.234,   94
     9.4,0.000000,0.000000, 50,0.280560,0.000000,  49.236,   94
     9.6,0.000000,0.000000, 50,0.000000,0.000000,  49.231,   94
     9.8,0.000000,0.000000, 50,0.000000,0.000000,  49.236,   94
