Run Name,gradient_9_.07-.45_14_3
Run Date,03:17:17 PM   03-14-14
Method Name, linear gradient 1_0.07_0.45_Group_9_03 14
Export Format Version, 1.00
Method ID, 1941
Points/Second, 5.00
Number of Records,   4992
Offset from Run Start Time,00:00:00
Run End Time,00:16:42
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,GP Pressure,Volume
     0.0,0.011531,  0,   5.506,  101,     0.0
     0.2,0.011531,  0,   5.507,  100,     0.0
     0.4,0.011525,  0,   5.504,   98,     0.0
     0.6,0.011531,  0,   5.509,   98,     0.0
     0.8,0.011535,  0,   5.503,   98,     0.0
     1.0,0.011534,  0,   5.507,   97,     0.0
     1.2,0.011634,  0,   5.502,   97,     0.0
     1.4,0.011632,  0,   5.506,   98,     0.0
     1.6,0.011657,  0,   5.507,   99,     0.0
     1.8,0.011690,  0,   5.507,   99,     0.0
     2.0,0.000000,  0,   5.507,   98,     0.0
     2.2,0.000000,  0,   5.506,   98,     0.0
     2.4,0.000000,  0,   5.505,   99,     0.0
     2.6,0.000000,  0,   5.504,   99,     0.0
     2.8,0.000000,  0,   5.502,  100,     0.0
     3.0,0.000000,  0,   5.504,   98,     0.1
     3.2,0.000000,  0,   5.507,   97,     0.1
     3.4,0.000000,  0,   5.509,  100,     0.1
     3.6,0.000000,  0,   5.507,  102,     0.1
     3.8,0.000000,  0,   5.506,  100,     0.1
     4.0,0.000000,  0,   5.509,   98,     0.1
     4.2,0.000000,  0,   5.514,   98,     0.1
     4.4,0.000000,  0,   5.504,   99,     0.1
     4.6,0.000000,  0,   5.507,   98,     0.1
     4.8,0.000000,  0,   5.510,   97,     0.1
     5.0,0.000000,  0,   5.507,   97,     0.1
     5.2,0.000000,  0,   5.507,   97,     0.1
     5.4,0.000000,  0,   5.506,   97,     0.1
     5.6,0.000000,  0,   5.505,   98,     0.1
     5.8,0.000000,  0,   5.504,   99,     0.1
     6.0,0.000005,  0,   5.505,  100,     0.1
     6.2,0.000006,  0,   5.505,   99,     0.1
     6.4,-0.000000,  0,   5.507,   98,     0.1
     6.6,0.000004,  0,   5.504,   98,     0.1
     6.8,0.000001,  0,   5.507,   97,     0.1
     7.0,-0.000001,  0,   5.507,   97,     0.1
     7.2,0.000008,  0,   5.508,   96,     0.1
     7.4,0.000005,  0,   5.507,   97,     0.1
     7.6,0.000001,  0,   5.507,   98,     0.1
     7.8,0.000002,  0,   5.509,   99,     0.1
     8.0,-0.000002,  0,   5.507,  100,     0.1
     8.2,0.000001,  0,   5.506,   99,     0.1
     8.4,0.000001,  0,   5.507,   98,     0.1
     8.6,-0.000006,  0,   5.505,   99,     0.1
     8.8,-0.000003,  0,   5.503,   99,     0.1
     9.0,-0.000003,  0,   5.503,   99,     0.2
     9.2,-0.000007,  0,   5.503,   98,     0.2
     9.4,-0.000004,  0,   5.506,   98,     0.2
     9.6,-0.000002,  0,   5.505,   97,     0.2
     9.8,-0.000005,  0,   5.504,  100,     0.2
    10.0,-0.000008,  0,   5.505,  103,     0.2
    10.2,-0.000002,  0,   5.504,  101,     0.2
    10.4,-0.000005,  0,   5.502,   98,     0.2
    10.6,-0.000008,  0,   5.503,   98,     0.2
    10.8,-0.000002,  0,   5.506,   97,     0.2
    11.0,-0.000005,  0,   5.504,   98,     0.2
    11.2,-0.000008,  0,   5.506,   99,     0.2
    11.4,-0.000002,  0,   5.503,   98,     0.2
    11.6,-0.000002,  0,   5.501,   97,     0.2
    11.8,-0.000012,  0,   5.506,   97,     0.2
    12.0,-0.000003,  0,   5.500,   97,     0.2
    12.2,-0.000003,  0,   5.504,   98,     0.2
    12.4,0.000000,  0,   5.507,   99,     0.2
    12.6,0.000000,  0,   5.502,  100,     0.2
    12.8,-0.000003,  0,   5.499,  101,     0.2
    13.0,-0.000003,  0,   5.503,  100,     0.2
    13.2,-0.000003,  0,   5.504,   99,     0.2
    13.4,0.000001,  0,   5.499,   98,     0.2
