Run Name,group9_trial2_16-40_14_3
Run Date,04:04:52 PM   03-14-14
Method Name,group9_trial2_16-45_14_3
Export Format Version, 1.00
Method ID, 1943
Points/Second, 5.00
Number of Records,  11460
Offset from Run Start Time,00:00:00
Run End Time,00:38:12
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,GP Pressure,Volume
     0.0,-0.000254,  0,  21.181,   95,     0.0
     0.2,-0.000258,  0,  21.178,   95,     0.0
     0.4,-0.000267,  0,  21.181,   95,     0.0
     0.6,-0.000191,  0,  21.175,   96,     0.0
     0.8,0.000000,  0,  21.181,   97,     0.0
     1.0,0.000000,  0,  21.179,   95,     0.0
     1.2,0.000000,  0,  21.184,   94,     0.0
     1.4,0.000000,  0,  21.182,   94,     0.0
     1.6,0.000000,  0,  21.178,   94,     0.0
     1.8,0.000000,  0,  21.182,   94,     0.0
     2.0,0.000000,  0,  21.179,   94,     0.0
     2.2,0.000000,  0,  21.181,   95,     0.0
     2.4,0.000000,  0,  21.184,   96,     0.0
     2.6,0.000000,  0,  21.177,   95,     0.0
     2.8,0.000000,  0,  21.182,   93,     0.0
     3.0,0.000000,  0,  21.183,   94,     0.1
     3.2,0.000000,  0,  21.182,   94,     0.1
     3.4,0.000000,  0,  21.180,   95,     0.1
     3.6,0.000000,  0,  21.179,   96,     0.1
     3.8,0.000000,  0,  21.177,   95,     0.1
     4.0,0.000000,  0,  21.181,   93,     0.1
     4.2,0.000000,  0,  21.182,   96,     0.1
     4.4,0.000000,  0,  21.178,   99,     0.1
     4.6,0.000000,  0,  21.178,   97,     0.1
     4.8,-0.010742,  0,  21.178,   95,     0.1
     5.0,-0.010749,  0,  21.175,   95,     0.1
     5.2,-0.010742,  0,  21.179,   95,     0.1
     5.4,-0.010745,  0,  21.175,   94,     0.1
     5.6,-0.010742,  0,  21.178,   93,     0.1
     5.8,-0.010749,  0,  21.181,   93,     0.1
     6.0,-0.010742,  0,  21.181,   93,     0.1
     6.2,-0.010742,  0,  21.180,   94,     0.1
     6.4,-0.010752,  0,  21.176,   95,     0.1
     6.6,-0.010748,  0,  21.178,   95,     0.1
     6.8,-0.010745,  0,  21.177,   96,     0.1
     7.0,-0.010754,  0,  21.180,   95,     0.1
     7.2,-0.010748,  0,  21.179,   94,     0.1
     7.4,-0.010745,  0,  21.179,   94,     0.1
     7.6,-0.010752,  0,  21.181,   94,     0.1
     7.8,-0.010745,  0,  21.177,   94,     0.1
     8.0,-0.010746,  0,  21.180,   94,     0.1
     8.2,-0.010746,  0,  21.183,   94,     0.1
     8.4,-0.010746,  0,  21.183,   95,     0.1
     8.6,-0.010750,  0,  21.181,   95,     0.1
     8.8,-0.010741,  0,  21.184,   96,     0.1
     9.0,-0.010743,  0,  21.179,   95,     0.2
     9.2,-0.010750,  0,  21.180,   94,     0.2
     9.4,-0.010743,  0,  21.180,   95,     0.2
     9.6,-0.010746,  0,  21.180,   95,     0.2
     9.8,-0.010753,  0,  21.181,   95,     0.2
    10.0,-0.010743,  0,  21.187,   95,     0.2
    10.2,-0.010743,  0,  21.181,   94,     0.2
    10.4,-0.010743,  0,  21.184,   93,     0.2
    10.6,-0.010750,  0,  21.185,   96,     0.2
    10.8,-0.010743,  0,  21.184,   99,     0.2
    11.0,-0.010743,  0,  21.184,   97,     0.2
    11.2,-0.010743,  0,  21.182,   95,     0.2
    11.4,-0.010746,  0,  21.182,   95,     0.2
    11.6,-0.010749,  0,  21.182,   95,     0.2
    11.8,-0.010752,  0,  21.187,   95,     0.2
    12.0,-0.010745,  0,  21.184,   95,     0.2
    12.2,-0.010738,  0,  21.182,   94,     0.2
    12.4,-0.010736,  0,  21.182,   92,     0.2
    12.6,-0.010736,  0,  21.185,   93,     0.2
    12.8,-0.010738,  0,  21.188,   95,     0.2
    13.0,-0.010736,  0,  21.187,   95,     0.2
    13.2,-0.010742,  0,  21.187,   95,     0.2
    13.4,-0.010745,  0,  21.184,   96,     0.2
    13.6,-0.010742,  0,  21.186,   97,     0.2
    13.8,-0.010749,  0,  21.187,   96,     0.2
    14.0,-0.010745,  0,  21.182,   94,     0.2
    14.2,-0.010742,  0,  21.185,   94,     0.2
    14.4,-0.010749,  0,  21.185,   94,     0.2
