Run Name,Group 12
Run Date,04:30:41 PM   02-27-15
Method Name,25% C group 9 3.5
Export Format Version, 1.00
Method ID, 1923
Points/Second, 5.00
Number of Records,   5934
Offset from Run Start Time,00:00:00
Run End Time,00:19:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001322,0.001295, 25,-0.001345,0.000682,  49.912,  125,     0.0
     0.2,0.001322,0.001292, 25,-0.001326,0.000660,  49.913,   62,     0.0
     0.4,0.001322,0.001292, 25,-0.001288,0.000682,  49.913,   -1,     0.0
     0.6,0.001325,0.001292, 25,-0.001204,0.000682,  49.912,   12,     0.0
     0.8,0.001318,0.001294, 25,-0.001372,0.000660,  49.909,   26,     0.0
     1.0,0.001318,0.001294, 25,-0.001642,0.000647,  49.905,   22,     0.0
     1.2,0.001322,0.001292, 25,-0.002021,0.000647,  49.902,   18,     0.0
     1.4,0.001312,0.001294, 25,-0.002079,0.000625,  49.902,   20,     0.0
     1.6,0.001309,0.001292, 25,-0.002014,0.000612,  49.888,   21,     0.0
     1.8,0.001309,0.001290, 25,-0.001847,0.000647,  49.889,   21,     0.0
     2.0,0.001305,0.001290, 25,-0.001719,0.000647,  49.885,   21,     0.0
     2.2,0.001312,0.001295, 25,-0.001565,0.000625,  49.881,   23,     0.0
     2.4,0.001315,0.001297, 25,-0.001391,0.000625,  49.874,   26,     0.0
     2.6,0.001311,0.001295, 25,-0.001302,0.000660,  49.860,   27,     0.0
     2.8,0.001318,0.001302, 25,-0.001231,0.000660,  49.853,   28,     0.0
     3.0,0.001325,0.001304, 25,-0.001186,0.000660,  49.849,   28,     0.1
     3.2,0.001321,0.001302, 25,-0.001160,0.000660,  49.843,   27,     0.1
     3.4,0.001323,0.001301, 25,-0.001141,0.000638,  49.835,   27,     0.1
     3.6,0.001327,0.001305, 25,-0.001154,0.000638,  49.834,   28,     0.1
     3.8,0.001322,0.001307, 25,-0.001153,0.000660,  49.829,   27,     0.1
     4.0,0.001326,0.001301, 25,-0.001166,0.000638,  49.826,   27,     0.1
     4.2,0.001335,0.001308, 25,-0.001205,0.000638,  49.825,   27,     0.1
