Run Name,Group 12
Run Date,03:44:56 PM   02-27-15
Method Name,30% CRL group 2 April 7 2014.4
Export Format Version, 1.00
Method ID, 2112
Points/Second, 5.00
Number of Records,   5040
Offset from Run Start Time,00:00:00
Run End Time,00:16:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.000420,0.000741, 30,0.013204,0.000328,  49.441,   31,     0.0
     0.2,-0.001519,0.000743, 30,0.013243,0.000328,  49.405,   30,     0.0
     0.4,-0.002922,0.000743, 30,0.013297,0.000341,  49.392,   30,     0.0
     0.6,-0.002922,0.000737, 30,0.013357,0.000328,  49.383,   30,     0.0
     0.8,0.000000,0.000737, 30,0.013357,0.000328,  49.370,   29,     0.0
     1.0,0.000000,0.000733, 30,0.013337,0.000350,  49.362,   30,     0.0
     1.2,0.000000,0.000000, 30,0.012648,0.000000,  49.354,   31,     0.0
     1.4,0.000000,0.000000, 30,0.012648,0.000000,  49.349,   29,     0.0
     1.6,0.000000,0.000000, 30,0.012648,0.000000,  49.338,   28,     0.0
     1.8,0.000000,0.000000, 30,0.012648,0.000000,  49.332,   29,     0.0
     2.0,0.000000,0.000000, 30,0.000000,0.000000,  49.335,   29,     0.0
     2.2,0.000000,0.000000, 30,0.000000,0.000000,  49.327,   30,     0.0
     2.4,0.000000,0.000000, 30,0.000000,0.000000,  49.325,   30,     0.0
     2.6,0.000000,0.000000, 30,0.000000,0.000000,  49.320,   29,     0.0
     2.8,0.000000,0.000000, 30,0.000000,0.000000,  49.295,   28,     0.0
     3.0,0.000000,0.000000, 30,0.000000,0.000000,  49.293,   29,     0.1
     3.2,0.000000,0.000000, 30,0.000000,0.000000,  49.291,   30,     0.1
     3.4,0.000000,0.000000, 30,0.000000,0.000000,  49.297,   30,     0.1
     3.6,0.000000,0.000000, 30,0.000000,0.000000,  49.286,   30,     0.1
     3.8,0.000000,0.000000, 30,0.000000,0.000000,  49.288,   29,     0.1
     4.0,0.000000,0.000000, 30,0.000000,0.000000,  49.290,   29,     0.1
     4.2,0.000040,0.000000, 30,0.000000,0.000000,  49.277,   29,     0.1
     4.4,0.000066,0.000000, 30,0.000000,0.000000,  49.279,   29,     0.1
     4.6,0.000094,0.000000, 30,0.000000,0.000000,  49.272,   30,     0.1
     4.8,0.000127,0.000000, 30,0.000000,0.000000,  49.269,   30,     0.1
     5.0,0.000165,0.000000, 30,0.000000,0.000000,  49.276,   30,     0.1
     5.2,0.000193,0.000098, 30,0.000000,0.000000,  49.272,   31,     0.1
     5.4,0.000214,0.000126, 30,0.000278,0.000000,  49.271,   30,     0.1
     5.6,0.000234,0.000156, 30,0.000479,0.000013,  49.262,   29,     0.1
     5.8,0.000246,0.000189, 30,0.000615,0.000004,  49.257,   30,     0.1
     6.0,0.000258,0.000217, 30,0.000686,0.000017,  49.260,   30,     0.1
     6.2,0.000266,0.000240, 30,0.000699,0.000017,  49.256,   30,     0.1
     6.4,0.000283,0.000262, 30,0.000622,-0.000005,  49.254,   30,     0.1
     6.6,0.000306,0.000286, 30,0.000577,0.000044,  49.249,   29,     0.1
     6.8,0.000311,0.000303, 30,0.000519,0.000057,  49.247,   29,     0.1
     7.0,0.000317,0.000319, 30,0.000416,0.000035,  49.249,   30,     0.1
     7.2,0.000323,0.000330, 30,0.000403,0.000070,  49.243,   30,     0.1
     7.4,0.000322,0.000339, 30,0.000422,0.000083,  49.247,   30,     0.1
     7.6,0.000331,0.000338, 30,0.000448,0.000061,  49.237,   30,     0.1
     7.8,0.000343,0.000340, 30,0.000403,0.000109,  49.234,   29,     0.1
     8.0,0.000342,0.000344, 30,0.000332,0.000109,  49.233,   29,     0.1
     8.2,0.000342,0.000350, 30,0.000216,0.000087,  49.231,   31,     0.1
     8.4,0.000349,0.000366, 30,0.000171,0.000148,  49.231,   32,     0.1
     8.6,0.000345,0.000370, 30,0.000152,0.000135,  49.225,   31,     0.1
     8.8,0.000348,0.000374, 30,0.000113,0.000100,  49.223,   30,     0.1
     9.0,0.000352,0.000378, 30,-0.000409,0.000148,  49.214,   29,     0.2
     9.2,0.000361,0.000385, 30,-0.001135,0.000135,  49.202,   29,     0.2
     9.4,0.000355,0.000387, 30,-0.002121,0.000113,  49.200,   29,     0.2
     9.6,0.000361,0.000394, 30,-0.002148,0.000148,  49.199,   29,     0.2
     9.8,0.000361,0.000398, 30,-0.001796,0.000148,  49.196,   29,     0.2
    10.0,0.000361,0.000403, 30,-0.001085,0.000126,  49.190,   29,     0.2
    10.2,0.000363,0.000400, 30,-0.000873,0.000148,  49.189,   29,     0.2
