Run Name,group 12 run 1
Run Date,11:05:31 AM   03-06-15
Method Name,1-25% group 12
Export Format Version, 1.00
Method ID, 2244
Points/Second, 5.00
Number of Records,  16080
Offset from Run Start Time,00:00:00
Run End Time,00:53:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000571,0.000472,  1,-0.302369,-0.001130,   3.961,   62,     0.0
     0.2,0.000571,0.000474,  1,-0.302335,-0.001166,   3.960,   57,     0.0
     0.4,0.000568,0.000472,  1,-0.302295,-0.001166,   3.960,   51,     0.0
     0.6,0.000573,0.000464,  1,-0.302235,-0.001130,   3.959,   43,     0.0
     0.8,0.000576,0.000464,  1,-0.302270,-0.001117,   3.956,   35,     0.0
     1.0,0.000579,0.000457,  1,-0.302351,-0.001153,   3.962,   33,     0.0
     1.2,0.000589,0.000465,  1,-0.302481,-0.001166,   3.960,   32,     0.0
     1.4,0.000589,0.000460,  1,-0.302649,-0.001153,   3.961,   31,     0.0
     1.6,0.000589,0.000463,  1,-0.302732,-0.001153,   3.962,   30,     0.0
     1.8,0.000580,0.000468,  1,-0.302783,-0.001166,   3.961,   28,     0.0
     2.0,0.000580,0.000000,  1,-0.302823,-0.001153,   3.962,   27,     0.0
     2.2,0.000574,0.000000,  1,-0.302847,-0.001153,   3.962,   27,     0.0
     2.4,-0.000190,0.000000,  1,-0.302853,0.000000,   3.962,   28,     0.0
     2.6,-0.000223,0.000000,  1,-0.302835,0.000000,   3.960,   28,     0.0
     2.8,-0.000226,0.000000,  1,-0.302807,0.000000,   3.961,   28,     0.0
     3.0,0.000163,0.000000,  1,-0.302760,0.000000,   3.961,   28,     0.1
     3.2,0.000000,0.000000,  1,-0.302695,0.000000,   3.958,   28,     0.1
     3.4,0.000000,0.000000,  1,-0.302665,0.000000,   3.958,   28,     0.1
     3.6,0.000000,0.000000,  1,-0.302647,0.000000,   3.958,   28,     0.1
     3.8,0.000000,0.000000,  1,-0.302640,0.000000,   3.954,   28,     0.1
