Run Name,Run 2
Run Date,04:34:05 PM   04-06-15
Method Name,28% CRL group 12 4 2 14.2
Export Format Version, 1.00
Method ID, 2461
Points/Second, 5.00
Number of Records,   4069
Offset from Run Start Time,00:00:00
Run End Time,00:13:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001037,0.001008,0.008260,0.000780,  20.283
     0.2,0.001048,0.001010,0.008388,0.000742,  20.278
     0.4,0.001042,0.001010,0.008532,0.000780,  20.272
     0.6,0.001039,0.001010,0.008651,0.000780,  20.272
     0.8,0.001042,0.001010,0.008560,0.000742,  20.272
     1.0,0.001042,0.001010,0.008351,0.000780,  20.268
     1.2,0.001034,0.001008,0.008034,0.000780,  20.273
     1.4,0.001030,0.001011,0.007996,0.000742,  20.272
     1.6,0.001033,0.001006,0.008014,0.000780,  20.271
     1.8,0.001041,0.001009,0.008130,0.000780,  20.269
     2.0,0.001044,0.001012,0.008168,0.000742,  20.275
     2.2,0.001041,0.001006,0.008231,0.000780,  20.270
     2.4,0.001034,0.001009,0.008284,0.000780,  20.275
     2.6,0.001037,0.001009,0.008384,0.000742,  20.275
     2.8,0.001034,0.001006,0.008523,0.000780,  20.278
     3.0,0.001031,0.001008,0.008694,0.000780,  20.274
     3.2,0.001034,0.001010,0.008750,0.000742,  20.274
     3.4,0.001034,0.001007,0.008759,0.000780,  20.281
     3.6,0.001034,0.001007,0.008750,0.000780,  20.282
     3.8,0.001034,0.001013,0.008759,0.000742,  20.282
     4.0,0.001030,0.001018,0.008724,0.000780,  20.279
     4.2,0.001037,0.001015,0.008714,0.000780,  20.280
     4.4,0.001037,0.001009,0.008742,0.000742,  20.282
     4.6,0.001030,0.001012,0.008769,0.000780,  20.281
     4.8,0.001041,0.001018,0.008805,0.000780,  20.278
     5.0,0.001041,0.001015,0.008787,0.000742,  20.279
     5.2,0.001044,0.001015,0.008759,0.000780,  20.281
     5.4,0.001041,0.001020,0.008676,0.000780,  20.279
     5.6,0.001037,0.001016,0.008487,0.000742,  20.280
     5.8,0.001048,0.001015,0.008268,0.000780,  20.281
     6.0,0.001045,0.001012,0.007976,0.000780,  20.280
     6.2,0.000325,0.001015,0.007949,0.000742,  20.281
     6.4,0.000341,0.001011,0.008030,0.000780,  20.281
     6.6,0.000412,0.001006,0.008211,0.000780,  20.278
     6.8,0.000804,0.001012,0.008302,0.000780,  20.278
     7.0,0.000000,0.001010,0.008382,0.000742,  20.277
     7.2,0.000000,0.001002,0.008135,0.000742,  20.278
     7.4,0.000000,0.000000,0.008135,0.000000,  20.277
     7.6,0.000000,0.000000,0.008135,0.000000,  20.280
     7.8,0.000000,0.000000,0.008135,0.000000,  20.279
     8.0,0.000000,0.000000,0.000000,0.000000,  20.276
     8.2,0.000000,0.000000,0.000000,0.000000,  20.280
     8.4,0.000000,0.000000,0.000000,0.000000,  20.282
     8.6,0.000000,0.000000,0.000000,0.000000,  20.277
     8.8,0.000000,0.000000,0.000000,0.000000,  20.277
     9.0,0.000000,0.000000,0.000000,0.000000,  20.274
     9.2,0.000000,0.000000,0.000000,0.000000,  20.275
     9.4,0.000000,0.000000,0.000000,0.000000,  20.275
     9.6,0.000000,0.000000,0.000000,0.000000,  20.278
     9.8,0.000000,0.000000,0.000000,0.000000,  20.280
    10.0,0.000000,0.000000,0.000000,0.000000,  20.276
    10.2,0.000000,0.000000,0.000000,0.000000,  20.277
    10.4,-0.000024,0.000000,0.000000,0.000000,  20.274
    10.6,-0.000034,0.000000,0.000000,0.000000,  20.278
    10.8,-0.000045,0.000000,0.000000,0.000000,  20.276
    11.0,-0.000043,0.000000,0.000000,0.000000,  20.274
    11.2,-0.000054,0.000000,0.000000,0.000000,  20.270
    11.4,-0.000054,0.000000,0.000176,0.000000,  20.273
    11.6,-0.000050,-0.000006,0.000256,0.000000,  20.274
    11.8,-0.000054,-0.000006,0.000256,-0.000180,  20.272
    12.0,-0.000043,-0.000012,0.000204,-0.000217,  20.272
    12.2,-0.000036,-0.000015,0.000080,-0.000204,  20.270
    12.4,-0.000037,-0.000023,-0.000115,-0.000180,  20.271
    12.6,-0.000024,-0.000014,-0.000115,-0.000204,  20.273
    12.8,-0.000017,-0.000014,-0.000105,-0.000217,  20.274
    13.0,-0.000015,-0.000017,-0.000009,-0.000180,  20.269
    13.2,-0.000002,-0.000009,-0.000027,-0.000204,  20.268
