Run Name,Run 1
Run Date,03:58:48 PM   04-08-15
Method Name,4-25%.7
Export Format Version, 1.00
Method ID, 2542
Points/Second, 5.00
Number of Records,  22890
Offset from Run Start Time,00:00:00
Run End Time,01:16:18
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000831,0.000000,-0.000557,0.000407,  18.379
     0.2,0.000819,0.000000,-0.000557,0.000383,  18.367
     0.4,0.000827,0.000000,-0.000557,0.000445,  18.368
     0.6,0.000859,0.000000,-0.000557,0.000520,  18.360
     0.8,0.000000,0.000000,0.000000,0.000469,  18.358
     1.0,0.000000,0.000000,0.000000,0.000000,  18.358
     1.2,0.000000,0.000000,0.000000,0.000000,  18.352
     1.4,0.000000,0.000000,0.000000,0.000000,  18.350
     1.6,0.000000,0.000000,0.000000,0.000000,  18.350
     1.8,0.000000,0.000000,0.000000,0.000000,  18.349
     2.0,0.000000,0.000000,0.000000,0.000000,  18.350
     2.2,0.000000,0.000000,0.000000,0.000000,  18.345
     2.4,0.000000,0.000000,0.000000,0.000000,  18.347
     2.6,0.000000,0.000000,0.000000,0.000000,  18.345
     2.8,0.000000,0.000000,0.000000,0.000000,  18.347
     3.0,0.000000,0.000000,0.000000,0.000000,  18.346
     3.2,0.000000,0.000000,0.000000,0.000000,  18.343
     3.4,0.000000,0.000000,0.000000,0.000000,  18.338
     3.6,0.000000,0.000000,0.000000,0.000000,  18.340
     3.8,0.000000,0.000000,0.000000,0.000000,  18.340
     4.0,0.000000,0.000220,0.000000,0.000000,  18.339
     4.2,0.000187,0.000231,-0.000310,0.000000,  18.339
     4.4,0.000202,0.000245,-0.000552,0.000000,  18.336
     4.6,0.000210,0.000261,-0.000725,0.000000,  18.335
     4.8,0.000240,0.000278,-0.000854,0.000000,  18.340
     5.0,0.000257,0.000306,-0.000940,0.000000,  18.334
     5.2,0.000285,0.000342,-0.001001,0.000000,  18.334
     5.4,0.000316,0.000363,-0.001149,0.000118,  18.335
     5.6,0.000336,0.000389,-0.001314,0.000094,  18.329
     5.8,0.000364,0.000405,-0.001523,0.000107,  18.335
     6.0,0.000399,0.000430,-0.001590,0.000158,  18.337
     6.2,0.000423,0.000458,-0.001571,0.000147,  18.335
     6.4,0.000454,0.000496,-0.001475,0.000160,  18.332
     6.6,0.000495,0.000539,-0.001534,0.000187,  18.329
     6.8,0.000516,0.000564,-0.001620,0.000176,  18.334
     7.0,0.000537,0.000591,-0.001716,0.000203,  18.331
     7.2,0.000567,0.000615,-0.001828,0.000217,  18.328
     7.4,0.000578,0.000629,-0.001967,0.000206,  18.327
     7.6,0.000593,0.000646,-0.002141,0.000232,  18.328
     7.8,0.000613,0.000661,-0.002217,0.000283,  18.325
     8.0,0.000622,0.000664,-0.002225,0.000273,  18.323
     8.2,0.000629,0.000681,-0.002224,0.000286,  18.331
     8.4,0.000632,0.000695,-0.002222,0.000310,  18.324
     8.6,0.000639,0.000707,-0.002204,0.000286,  18.322
     8.8,0.000638,0.000719,-0.002185,0.000286,  18.319
     9.0,0.000658,0.000740,-0.002263,0.000324,  18.325
     9.2,0.000670,0.000747,-0.002410,0.000299,  18.322
     9.4,0.000675,0.000757,-0.002636,0.000286,  18.321
     9.6,0.000684,0.000762,-0.002678,0.000324,  18.325
     9.8,0.000697,0.000763,-0.002676,0.000299,  18.326
    10.0,0.000695,0.000774,-0.002606,0.000299,  18.321
    10.2,0.000702,0.000776,-0.002701,0.000337,  18.319
    10.4,0.000709,0.000780,-0.002866,0.000313,  18.324
    10.6,0.000708,0.000787,-0.003050,0.000313,  18.321
    10.8,0.000711,0.000789,-0.003101,0.000350,  18.321
    11.0,0.000715,0.000791,-0.003100,0.000313,  18.317
    11.2,0.000711,0.000789,-0.003064,0.000313,  18.318
    11.4,0.000715,0.000787,-0.003081,0.000350,  18.320
    11.6,0.000720,0.000784,-0.003098,0.000350,  18.321
    11.8,0.000715,0.000789,-0.003132,0.000313,  18.315
    12.0,0.000712,0.000794,-0.003176,0.000313,  18.323
    12.2,0.000712,0.000794,-0.003149,0.000350,  18.316
    12.4,0.000708,0.000795,-0.003097,0.000313,  18.320
    12.6,0.000705,0.000795,-0.003060,0.000350,  18.322
    12.8,0.000712,0.000792,-0.003077,0.000350,  18.317
    13.0,0.000708,0.000802,-0.003154,0.000313,  18.323
    13.2,0.000711,0.000807,-0.003258,0.000313,  18.319
    13.4,0.000725,0.000812,-0.003266,0.000350,  18.319
    13.6,0.000720,0.000811,-0.003223,0.000313,  18.322
    13.8,0.000723,0.000811,-0.003178,0.000313,  18.321
    14.0,0.000734,0.000815,-0.003160,0.000350,  18.323
    14.2,0.000733,0.000817,-0.003133,0.000326,  18.317
    14.4,0.000739,0.000816,-0.003116,0.000326,  18.318
    14.6,0.000749,0.000823,-0.003133,0.000326,  18.318
    14.8,0.000748,0.000823,-0.003160,0.000340,  18.315
    15.0,0.000748,0.000823,-0.003238,0.000340,  18.321
    15.2,0.000756,0.000829,-0.003463,0.000326,  18.315
    15.4,0.000754,0.000834,-0.003766,0.000326,  18.320
    15.6,0.000761,0.000833,-0.004165,0.000340,  18.319
    15.8,0.000764,0.000835,-0.004191,0.000377,  18.315
    16.0,0.000770,0.000840,-0.004096,0.000340,  18.311
    16.2,0.000769,0.000839,-0.003853,0.000353,  18.307
    16.4,0.000779,0.000845,-0.003749,0.000377,  18.312
    16.6,0.000782,0.000850,-0.003697,0.000340,  18.309
    16.8,0.000778,0.000849,-0.003627,0.000353,  18.311
    17.0,0.000785,0.000857,-0.003565,0.000390,  18.312
    17.2,0.000782,0.000865,-0.003513,0.000353,  18.310
    17.4,0.000778,0.000867,-0.003453,0.000353,  18.308
    17.6,0.000792,0.000868,-0.003651,0.000390,  18.310
    17.8,0.000805,0.000873,-0.003954,0.000353,  18.308
    18.0,0.000801,0.000874,-0.004369,0.000353,  18.308
    18.2,0.000801,0.000876,-0.004396,0.000390,  18.309
    18.4,0.000805,0.000875,-0.004309,0.000353,  18.307
    18.6,0.000804,0.000872,-0.004085,0.000353,  18.307
    18.8,0.000810,0.000886,-0.003972,0.000390,  18.301
    19.0,0.000821,0.000891,-0.003842,0.000353,  18.299
    19.2,0.000819,0.000892,-0.003730,0.000366,  18.299
    19.4,0.000823,0.000898,-0.003677,0.000404,  18.302
    19.6,0.000830,0.000898,-0.003626,0.000404,  18.297
    19.8,0.000829,0.000908,-0.003626,0.000393,  18.300
    20.0,0.000829,0.000905,-0.003661,0.000366,  18.301
    20.2,0.000832,0.000902,-0.003671,0.000417,  18.300
    20.4,0.000831,0.000910,-0.003723,0.000393,  18.300
    20.6,0.000841,0.000918,-0.003793,0.000417,  18.301
    20.8,0.000844,0.000920,-0.004130,0.000417,  18.300
    21.0,0.000840,0.000921,-0.004605,0.000393,  18.300
    21.2,0.000844,0.000931,-0.005243,0.000380,  18.301
    21.4,0.000844,0.000936,-0.005243,0.000417,  18.304
    21.6,0.000840,0.000936,-0.004985,0.000393,  18.302
    21.8,0.000850,0.000936,-0.004493,0.000380,  18.306
    22.0,0.000864,0.000936,-0.004337,0.000417,  18.301
    22.2,0.000860,0.000933,-0.004216,0.000393,  18.306
    22.4,0.000863,0.000932,-0.004148,0.000380,  18.300
    22.6,0.000870,0.000940,-0.004062,0.000417,  18.304
    22.8,0.000866,0.000941,-0.003984,0.000380,  18.304
    23.0,0.000869,0.000938,-0.003941,0.000417,  18.309
    23.2,0.000873,0.000941,-0.003828,0.000441,  18.302
    23.4,0.000866,0.000937,-0.003698,0.000417,  18.305
    23.6,0.000869,0.000942,-0.003550,0.000431,  18.308
    23.8,0.000877,0.000953,-0.003471,0.000431,  18.305
    24.0,0.000877,0.000956,-0.003401,0.000406,  18.309
    24.2,0.000880,0.000958,-0.003392,0.000406,  18.311
    24.4,0.000869,0.000958,-0.003339,0.000444,  18.311
    24.6,0.000877,0.000965,-0.003287,0.000420,  18.314
    24.8,0.000869,0.000964,-0.003219,0.000406,  18.314
    25.0,0.000872,0.000968,-0.003400,0.000444,  18.315
    25.2,0.000883,0.000975,-0.003695,0.000420,  18.314
    25.4,0.000878,0.000972,-0.004111,0.000406,  18.316
    25.6,0.000881,0.000975,-0.004138,0.000444,  18.316
    25.8,0.000892,0.000980,-0.004077,0.000420,  18.315
    26.0,0.000885,0.000979,-0.003879,0.000420,  18.321
    26.2,0.000885,0.000984,-0.003810,0.000457,  18.322
    26.4,0.000892,0.000984,-0.003783,0.000433,  18.321
    26.6,0.000891,0.000982,-0.003749,0.000433,  18.327
    26.8,0.000894,0.000988,-0.003654,0.000457,  18.325
    27.0,0.000908,0.000991,-0.003548,0.000433,  18.325
    27.2,0.000903,0.000990,-0.003411,0.000433,  18.329
    27.4,0.000903,0.000995,-0.003480,0.000471,  18.330
    27.6,0.000904,0.001000,-0.003636,0.000471,  18.329
    27.8,0.000900,0.001001,-0.003923,0.000447,  18.333
    28.0,0.000911,0.001005,-0.003966,0.000447,  18.333
    28.2,0.000918,0.001002,-0.003923,0.000471,  18.333
    28.4,0.000921,0.001007,-0.003827,0.000433,  18.333
    28.6,0.000918,0.001008,-0.003646,0.000471,  18.338
    28.8,0.000922,0.001005,-0.003585,0.000471,  18.340
    29.0,0.000926,0.001002,-0.003551,0.000433,  18.342
    29.2,0.000921,0.001007,-0.003526,0.000433,  18.343
    29.4,0.000932,0.001002,-0.003500,0.000471,  18.345
    29.6,0.000938,0.001004,-0.003464,0.000433,  18.344
    29.8,0.000934,0.001004,-0.003421,0.000433,  18.347
    30.0,0.000941,0.001007,-0.003482,0.000471,  18.349
    30.2,0.000937,0.001007,-0.003587,0.000447,  18.348
    30.4,0.000940,0.001014,-0.003718,0.000447,  18.350
    30.6,0.000934,0.001012,-0.004072,0.000484,  18.348
    30.8,0.000926,0.001011,-0.004565,0.000447,  18.350
    31.0,0.000932,0.001013,-0.005186,0.000447,  18.353
    31.2,0.000932,0.001012,-0.005625,0.000471,  18.352
    31.4,0.000925,0.001012,-0.006037,0.000433,  18.354
    31.6,0.000925,0.001015,-0.006406,0.000433,  18.357
    31.8,0.000926,0.001020,-0.006261,0.000484,  18.359
    32.0,0.000919,0.001019,-0.005848,0.000460,  18.357
    32.2,0.000922,0.001016,-0.005134,0.000460,  18.358
    32.4,0.000929,0.001015,-0.004771,0.000484,  18.362
    32.6,0.000929,0.001014,-0.004503,0.000433,  18.365
    32.8,0.000932,0.001008,-0.004253,0.000471,  18.363
    33.0,0.000922,0.001017,-0.004080,0.000508,  18.362
    33.2,0.000929,0.001022,-0.004010,0.000471,  18.364
    33.4,0.000922,0.001021,-0.003993,0.000508,  18.369
    33.6,0.000922,0.001024,-0.003871,0.000522,  18.366
    33.8,0.000929,0.001024,-0.003759,0.000484,  18.368
    34.0,0.000922,0.001024,-0.003619,0.000522,  18.368
    34.2,0.000932,0.001019,-0.003550,0.000495,  18.368
    34.4,0.000940,0.001019,-0.003524,0.000457,  18.370
    34.6,0.000932,0.001013,-0.003524,0.000495,  18.368
    34.8,0.000943,0.001016,-0.003548,0.000508,  18.366
    35.0,0.000940,0.001018,-0.003601,0.000471,  18.369
    35.2,0.000935,0.001015,-0.003688,0.000508,  18.365
    35.4,0.000946,0.001020,-0.003886,0.000508,  18.366
    35.6,0.000946,0.001020,-0.004145,0.000471,  18.370
    35.8,0.000942,0.001020,-0.004474,0.000508,  18.370
    36.0,0.000949,0.001024,-0.004561,0.000508,  18.372
    36.2,0.000946,0.001021,-0.004570,0.000522,  18.372
    36.4,0.000942,0.001019,-0.004483,0.000484,  18.372
    36.6,0.000942,0.001019,-0.004321,0.000535,  18.376
    36.8,0.000939,0.001019,-0.004208,0.000522,  18.377
    37.0,0.000934,0.001017,-0.004096,0.000498,  18.372
    37.2,0.000937,0.001025,-0.003957,0.000522,  18.377
    37.4,0.000948,0.001032,-0.003912,0.000522,  18.377
