Run Name,Run 1
Run Date,02:03:18 PM   04-08-15
Method Name,4-25%.6
Export Format Version, 1.00
Method ID, 2539
Points/Second, 5.00
Number of Records,  22946
Offset from Run Start Time,00:00:00
Run End Time,01:16:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.004114,0.003600,-0.009952,0.003000,  21.178
     0.2,0.004125,0.003606,-0.010249,0.003000,  21.183
     0.4,0.004122,0.003603,-0.010654,0.003000,  21.178
     0.6,0.004129,0.003606,-0.011228,0.003000,  21.181
     0.8,0.004140,0.003599,-0.011894,0.003014,  21.179
     1.0,0.004137,0.003602,-0.011885,0.003014,  21.178
     1.2,0.004129,0.003607,-0.011642,0.003000,  21.176
     1.4,0.004132,0.003609,-0.011214,0.003014,  21.177
     1.6,0.004137,0.003609,-0.011028,0.003014,  21.171
     1.8,0.004141,0.003612,-0.010876,0.003000,  21.174
     2.0,0.004137,0.003615,-0.010741,0.003014,  21.175
     2.2,0.004144,0.003619,-0.010555,0.003014,  21.170
     2.4,0.003354,0.000000,-0.010401,0.003014,  21.169
     2.6,0.003360,0.000000,0.000000,0.003027,  21.167
     2.8,0.003362,0.000000,0.000000,0.003027,  21.172
     3.0,0.004001,0.000000,0.000000,0.003064,  21.168
     3.2,0.000000,0.000000,0.000000,0.003051,  21.164
     3.4,0.000000,0.000000,0.000000,0.000000,  21.168
     3.6,0.000000,0.000000,0.000000,0.000000,  21.171
     3.8,0.000000,0.000000,0.000000,0.000000,  21.169
     4.0,0.000000,0.000000,0.000000,0.000000,  21.167
     4.2,0.000000,0.000000,0.000000,0.000000,  21.169
     4.4,0.000000,0.000000,0.000000,0.000000,  21.166
     4.6,0.000000,0.000000,0.000000,0.000000,  21.168
     4.8,0.000000,0.000000,0.000000,0.000000,  21.168
     5.0,0.000000,0.000000,0.000000,0.000000,  21.166
     5.2,0.000000,0.000000,0.000000,0.000000,  21.167
     5.4,0.000000,0.000000,0.000000,0.000000,  21.164
     5.6,0.000000,0.000000,0.000000,0.000000,  21.165
     5.8,0.000000,0.000000,0.000000,0.000000,  21.161
     6.0,0.000000,0.000000,0.000000,0.000000,  21.165
     6.2,0.000000,0.000000,0.000000,0.000000,  21.160
     6.4,0.000000,0.000000,0.000000,0.000000,  21.166
     6.6,0.000026,0.000000,0.000000,0.000000,  21.160
     6.8,0.000039,0.000000,0.000000,0.000000,  21.162
     7.0,0.000051,0.000026,0.000000,0.000000,  21.159
     7.2,0.000050,0.000025,0.000466,0.000000,  21.160
     7.4,0.000051,0.000026,-0.000938,0.000000,  21.155
     7.6,0.000051,0.000031,-0.001904,0.000000,  21.158
     7.8,0.000056,0.000036,-0.002453,0.000077,  21.159
     8.0,0.000062,0.000035,-0.002528,0.000090,  21.158
     8.2,0.000068,0.000043,-0.002179,0.000090,  21.156
     8.4,0.000071,0.000051,-0.001398,0.000090,  21.156
     8.6,0.000082,0.000053,-0.001140,0.000090,  21.157
     8.8,0.000089,0.000062,-0.000956,0.000066,  21.158
     9.0,0.000094,0.000065,-0.000848,0.000066,  21.155
     9.2,0.000097,0.000065,-0.000681,0.000066,  21.155
     9.4,0.000105,0.000079,-0.000522,0.000042,  21.156
     9.6,0.000094,0.000077,-0.000421,0.000079,  21.156
     9.8,0.000089,0.000071,-0.000354,0.000079,  21.147
    10.0,0.000097,0.000079,-0.000329,0.000055,  21.155
    10.2,0.000105,0.000077,-0.000354,0.000079,  21.152
    10.4,0.000100,0.000073,-0.000320,0.000055,  21.153
    10.6,0.000097,0.000076,-0.000277,0.000055,  21.151
    10.8,0.000105,0.000078,-0.000235,0.000055,  21.154
    11.0,0.000100,0.000075,-0.000343,0.000031,  21.147
    11.2,0.000105,0.000073,-0.000494,0.000055,  21.151
    11.4,0.000112,0.000078,-0.000728,0.000055,  21.151
    11.6,0.000109,0.000075,-0.000711,0.000031,  21.153
    11.8,0.000101,0.000075,-0.000585,0.000068,  21.148
    12.0,0.000109,0.000080,-0.000393,0.000068,  21.148
    12.2,0.000113,0.000077,-0.000333,0.000044,  21.148
    12.4,0.000106,0.000080,-0.000275,0.000082,  21.142
    12.6,0.000113,0.000085,-0.000283,0.000082,  21.146
    12.8,0.000121,0.000088,-0.000299,0.000058,  21.145
    13.0,0.000124,0.000083,-0.000325,0.000082,  21.149
    13.2,0.000121,0.000089,-0.000392,0.000082,  21.147
    13.4,0.000128,0.000089,-0.000383,0.000058,  21.147
    13.6,0.000132,0.000084,-0.000349,0.000082,  21.146
    13.8,0.000121,0.000091,-0.000290,0.000082,  21.145
    14.0,0.000128,0.000094,-0.000247,0.000058,  21.143
    14.2,0.000132,0.000092,-0.000187,0.000082,  21.147
    14.4,0.000121,0.000100,-0.000096,0.000082,  21.151
    14.6,0.000128,0.000100,-0.000271,0.000082,  21.147
    14.8,0.000132,0.000100,-0.000564,0.000082,  21.149
    15.0,0.000132,0.000097,-0.000957,0.000119,  21.142
    15.2,0.000139,0.000100,-0.001049,0.000106,  21.148
    15.4,0.000142,0.000103,-0.001041,0.000119,  21.146
    15.6,0.000142,0.000103,-0.000924,0.000082,  21.148
    15.8,0.000139,0.000103,-0.000732,0.000119,  21.149
    16.0,0.000150,0.000107,-0.000623,0.000095,  21.146
    16.2,0.000150,0.000104,-0.000505,0.000095,  21.142
    16.4,0.000150,0.000106,-0.000362,0.000108,  21.145
    16.6,0.000160,0.000108,-0.000362,0.000084,  21.145
    16.8,0.000157,0.000112,-0.000430,0.000121,  21.145
    17.0,0.000150,0.000115,-0.000556,0.000121,  21.149
    17.2,0.000153,0.000115,-0.000556,0.000097,  21.149
    17.4,0.000160,0.000123,-0.000538,0.000148,  21.150
    17.6,0.000168,0.000126,-0.000489,0.000135,  21.151
    17.8,0.000167,0.000134,-0.000447,0.000097,  21.150
    18.0,0.000174,0.000131,-0.000438,0.000148,  21.150
    18.2,0.000182,0.000133,-0.000405,0.000135,  21.146
    18.4,0.000177,0.000141,-0.000380,0.000097,  21.150
    18.6,0.000180,0.000144,-0.000363,0.000148,  21.148
    18.8,0.000188,0.000147,-0.000363,0.000135,  21.153
    19.0,0.000188,0.000144,-0.000338,0.000097,  21.152
    19.2,0.000191,0.000149,-0.000322,0.000148,  21.155
    19.4,0.000206,0.000157,-0.000322,0.000148,  21.157
    19.6,0.000209,0.000154,-0.000346,0.000111,  21.153
    19.8,0.000202,0.000159,-0.000363,0.000124,  21.155
    20.0,0.000209,0.000162,-0.000431,0.000124,  21.154
    20.2,0.000212,0.000164,-0.000472,0.000086,  21.152
    20.4,0.000212,0.000169,-0.000506,0.000100,  21.155
    20.6,0.000227,0.000170,-0.000557,0.000124,  21.155
    20.8,0.000227,0.000170,-0.000641,0.000086,  21.157
    21.0,0.000226,0.000175,-0.000741,0.000100,  21.153
    21.2,0.000233,0.000175,-0.000890,0.000124,  21.156
    21.4,0.000237,0.000170,-0.000881,0.000100,  21.158
    21.6,0.000240,0.000181,-0.000798,0.000100,  21.159
    21.8,0.000243,0.000184,-0.000665,0.000137,  21.158
    22.0,0.000246,0.000186,-0.000623,0.000113,  21.161
    22.2,0.000249,0.000189,-0.000607,0.000100,  21.162
    22.4,0.000241,0.000193,-0.000640,0.000137,  21.164
    22.6,0.000246,0.000197,-0.000614,0.000113,  21.161
    22.8,0.000250,0.000200,-0.000581,0.000113,  21.170
    23.0,0.000255,0.000205,-0.000565,0.000150,  21.168
    23.2,0.000267,0.000205,-0.000489,0.000126,  21.170
    23.4,0.000267,0.000205,-0.000371,0.000126,  21.169
    23.6,0.000270,0.000201,-0.000229,0.000163,  21.173
    23.8,0.000268,0.000207,-0.000187,0.000139,  21.170
    24.0,0.000264,0.000207,-0.000178,0.000139,  21.173
    24.2,0.000264,0.000209,-0.000204,0.000190,  21.174
    24.4,0.000268,0.000214,-0.000220,0.000190,  21.176
    24.6,0.000264,0.000214,-0.000229,0.000190,  21.177
    24.8,0.000264,0.000211,-0.000288,0.000153,  21.175
    25.0,0.000275,0.000208,-0.000322,0.000190,  21.179
    25.2,0.000270,0.000205,-0.000447,0.000153,  21.180
    25.4,0.000275,0.000210,-0.000640,0.000166,  21.182
    25.6,0.000282,0.000216,-0.000865,0.000203,  21.178
    25.8,0.000278,0.000213,-0.000847,0.000179,  21.184
    26.0,0.000285,0.000217,-0.000730,0.000179,  21.182
    26.2,0.000293,0.000219,-0.000488,0.000203,  21.183
    26.4,0.000288,0.000218,-0.000454,0.000166,  21.187
    26.6,0.000288,0.000217,-0.000446,0.000166,  21.187
    26.8,0.000293,0.000217,-0.000480,0.000203,  21.188
    27.0,0.000288,0.000217,-0.000480,0.000166,  21.192
    27.2,0.000288,0.000217,-0.000480,0.000166,  21.190
    27.4,0.000293,0.000226,-0.000472,0.000203,  21.193
    27.6,0.000288,0.000232,-0.000431,0.000166,  21.194
    27.8,0.000288,0.000229,-0.000396,0.000179,  21.194
    28.0,0.000293,0.000232,-0.000338,0.000217,  21.199
    28.2,0.000296,0.000227,-0.000304,0.000179,  21.197
    28.4,0.000296,0.000235,-0.000279,0.000192,  21.200
    28.6,0.000311,0.000240,-0.000279,0.000217,  21.202
    28.8,0.000314,0.000237,-0.000253,0.000179,  21.202
    29.0,0.000307,0.000242,-0.000236,0.000206,  21.201
    29.2,0.000314,0.000244,-0.000212,0.000243,  21.200
    29.4,0.000317,0.000241,-0.000212,0.000206,  21.198
    29.6,0.000307,0.000247,-0.000212,0.000206,  21.203
    29.8,0.000311,0.000244,-0.000237,0.000230,  21.205
    30.0,0.000314,0.000244,-0.000203,0.000192,  21.201
    30.2,0.000311,0.000249,-0.000119,0.000192,  21.203
    30.4,0.000318,0.000249,-0.000010,0.000230,  21.208
    30.6,0.000326,0.000244,0.000040,0.000192,  21.206
    30.8,0.000318,0.000252,0.000014,0.000192,  21.208
    31.0,0.000322,0.000251,-0.000036,0.000230,  21.204
    31.2,0.000318,0.000245,-0.000045,0.000206,  21.208
    31.4,0.000318,0.000248,-0.000087,0.000206,  21.212
    31.6,0.000322,0.000252,-0.000145,0.000256,  21.204
    31.8,0.000329,0.000249,-0.000187,0.000232,  21.212
    32.0,0.000332,0.000249,-0.000254,0.000219,  21.213
    32.2,0.000332,0.000255,-0.000330,0.000256,  21.215
    32.4,0.000337,0.000252,-0.000363,0.000232,  21.213
    32.6,0.000347,0.000256,-0.000356,0.000219,  21.219
    32.8,0.000347,0.000262,-0.000363,0.000256,  21.216
    33.0,0.000344,0.000256,-0.000288,0.000256,  21.215
    33.2,0.000355,0.000264,-0.000195,0.000270,  21.219
    33.4,0.000355,0.000267,-0.000052,0.000219,  21.217
    33.6,0.000347,0.000267,-0.000010,0.000256,  21.222
    33.8,0.000347,0.000270,-0.000001,0.000232,  21.221
    34.0,0.000347,0.000273,-0.000027,0.000232,  21.220
    34.2,0.000355,0.000276,-0.000077,0.000270,  21.221
    34.4,0.000347,0.000277,-0.000176,0.000245,  21.225
    34.6,0.000347,0.000281,-0.000284,0.000245,  21.223
    34.8,0.000355,0.000286,-0.000393,0.000283,  21.225
    35.0,0.000347,0.000286,-0.000393,0.000259,  21.222
    35.2,0.000355,0.000286,-0.000335,0.000245,  21.224
    35.4,0.000362,0.000291,-0.000212,0.000283,  21.224
    35.6,0.000355,0.000294,-0.000153,0.000259,  21.225
