Run Name,Run 1
Run Date,08:31:53 PM   03-20-15
Method Name,18% C group 2 April 7 2014.12
Export Format Version, 1.00
Method ID, 2391
Points/Second, 5.00
Number of Records,   8183
Offset from Run Start Time,00:00:00
Run End Time,00:27:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000071,0.000404,-0.002025,0.000409,  24.651
     0.2,-0.000076,0.000404,-0.002036,0.000385,  24.652
     0.4,-0.000076,0.000399,-0.002064,0.000409,  24.650
     0.6,-0.000076,0.000400,-0.002025,0.000396,  24.649
     0.8,-0.000080,0.000405,-0.002013,0.000372,  24.648
     1.0,-0.000083,0.000403,-0.002001,0.000396,  24.650
     1.2,-0.000076,0.000393,-0.001962,0.000396,  24.650
     1.4,-0.000073,0.000390,-0.001919,0.000372,  24.645
     1.6,-0.000073,0.000389,-0.001856,0.000396,  24.649
     1.8,-0.000073,0.000386,-0.001786,0.000396,  24.647
     2.0,-0.000073,0.000383,-0.001766,0.000372,  24.648
     2.2,-0.000070,0.000380,-0.001786,0.000396,  24.646
     2.4,-0.000073,0.000000,-0.001860,0.000396,  24.644
     2.6,-0.002383,0.000000,-0.001860,0.000372,  24.646
     2.8,-0.002286,0.000000,-0.001860,0.000396,  24.645
     3.0,-0.001868,0.000000,-0.001841,0.000396,  24.645
     3.2,-0.001563,0.000000,-0.001817,0.000372,  24.649
     3.4,0.000000,0.000000,-0.001797,0.000409,  24.645
     3.6,0.000000,0.000000,0.000000,0.000409,  24.649
     3.8,0.000000,0.000000,0.000000,0.000385,  24.653
     4.0,0.000000,0.000000,0.000000,0.000423,  24.657
     4.2,0.000000,0.000000,0.000000,0.000409,  24.656
     4.4,0.000000,0.000000,0.000000,0.000385,  24.655
     4.6,0.000000,0.000000,0.000000,0.000460,  24.660
