Run Name,Run 1
Run Date,04:11:36 PM   03-20-15
Method Name,32% CRL group 3 April 8 2014.4
Export Format Version, 1.00
Method ID, 2364
Points/Second, 5.00
Number of Records,   4155
Offset from Run Start Time,00:00:00
Run End Time,00:13:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.002736,-0.001649,0.024156,0.000661,  25.375
     0.2,-0.002663,-0.001646,0.023942,0.000661,  25.374
     0.4,-0.002513,-0.001649,0.023528,0.000623,  25.374
     0.6,-0.003394,-0.001642,0.022893,0.000661,  25.372
     0.8,0.000000,-0.001642,0.022893,0.000661,  25.371
     1.0,0.000000,-0.001649,0.023100,0.000661,  25.375
     1.2,0.000000,0.000000,0.023441,0.000000,  25.380
     1.4,0.000000,0.000000,0.023537,0.000000,  25.375
     1.6,0.000000,0.000000,0.023648,0.000000,  25.320
     1.8,0.000000,0.000000,0.023671,0.000000,  25.240
     2.0,0.000000,0.000000,0.023831,0.000000,  25.213
     2.2,0.000000,0.000000,0.024030,0.000000,  25.199
     2.4,0.000000,0.000000,0.022594,0.000000,  25.192
     2.6,0.000000,0.000000,0.022594,0.000000,  25.181
     2.8,0.000000,0.000000,0.022594,0.000000,  25.196
     3.0,0.000000,0.000000,0.022594,0.000000,  25.207
     3.2,0.000000,0.000000,0.000000,0.000000,  25.200
     3.4,0.000000,0.000000,0.000000,0.000000,  25.184
     3.6,0.000000,0.000000,0.000000,0.000000,  25.180
     3.8,0.000000,0.000000,0.000000,0.000000,  25.171
     4.0,0.000000,0.000000,0.000000,0.000000,  25.173
     4.2,0.000000,0.000000,0.000000,0.000000,  25.172
     4.4,0.000082,0.000000,0.000000,0.000000,  25.182
     4.6,0.000154,0.000000,0.000000,0.000000,  25.165
     4.8,0.000203,0.000000,0.000000,0.000000,  25.149
     5.0,0.000230,0.000000,0.000000,0.000000,  25.143
     5.2,0.000256,0.000000,0.000000,0.000000,  25.148
     5.4,0.000253,0.000000,0.000000,0.000000,  25.143
     5.6,0.000255,0.000000,0.000000,-0.000016,  25.144
     5.8,0.000265,0.000083,0.000000,-0.000027,  25.144
     6.0,0.000259,0.000094,0.000000,-0.000013,  25.152
     6.2,0.000261,0.000109,0.000000,0.000000,  25.157
     6.4,0.000274,0.000115,0.000000,0.000027,  25.146
     6.6,0.000284,0.000126,0.000000,0.000029,  25.144
     6.8,0.000298,0.000130,0.000000,0.000056,  25.140
     7.0,0.000327,0.000137,-0.000321,0.000069,  25.140
     7.2,0.000355,0.000148,-0.000603,0.000069,  25.137
