Run Name,Run 2
Run Date,03:53:43 PM   03-20-15
Method Name,33% RL group 5 03 18 14.3
Export Format Version, 1.00
Method ID, 2362
Points/Second, 5.00
Number of Records,   4004
Offset from Run Start Time,00:00:00
Run End Time,00:13:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.011036,0.007176,0.095585,0.000460,  33.167
     0.2,0.011119,0.007176,0.095297,0.000460,  33.167
     0.4,0.011280,0.007151,0.094794,0.000473,  33.166
     0.6,0.010729,0.007098,0.094131,0.000460,  33.164
     0.8,0.000000,0.007098,0.094147,0.000460,  33.163
     1.0,0.000000,0.000000,0.094418,0.000473,  33.160
     1.2,0.000000,0.000000,0.094921,0.000460,  33.155
     1.4,0.000000,0.000000,0.095089,0.000460,  33.141
     1.6,0.000000,0.000000,0.095217,0.000473,  33.073
     1.8,0.000000,0.000000,0.095305,0.000460,  32.930
     2.0,0.000000,0.000000,0.095569,0.000460,  32.847
     2.2,0.000000,0.000000,0.095922,0.000497,  32.784
     2.4,0.000000,0.000000,0.095277,0.000000,  32.720
     2.6,0.000000,0.000000,0.095277,0.000000,  32.679
     2.8,0.000000,0.000000,0.095277,0.000000,  32.637
     3.0,0.000000,0.000000,0.095277,0.000000,  32.624
     3.2,0.000000,0.000000,0.000000,0.000000,  32.574
     3.4,0.000000,0.000000,0.000000,0.000000,  32.481
     3.6,0.000000,0.000000,0.000000,0.000000,  32.425
     3.8,0.000000,0.000000,0.000000,0.000000,  32.358
     4.0,0.000000,0.000000,0.000000,0.000000,  32.308
     4.2,0.000000,0.000000,0.000000,0.000000,  32.268
     4.4,-0.000091,0.000000,0.000000,0.000000,  32.228
     4.6,-0.000172,-0.000167,0.000000,0.000000,  32.200
     4.8,-0.000230,-0.000203,0.000000,0.000000,  32.160
     5.0,-0.000294,-0.000240,0.000000,0.000000,  32.115
     5.2,-0.000333,-0.000261,0.000000,0.000000,  32.070
     5.4,-0.000367,-0.000290,0.000000,0.000000,  32.013
     5.6,-0.000409,-0.000312,0.000000,0.000000,  31.983
     5.8,-0.000433,-0.000334,0.000000,0.000000,  31.947
     6.0,-0.000461,-0.000351,0.000000,0.000000,  31.916
     6.2,-0.000500,-0.000376,0.000000,0.000000,  31.910
     6.4,-0.000527,-0.000390,0.000000,0.000000,  31.890
     6.6,-0.000561,-0.000404,0.000000,0.000000,  31.846
     6.8,-0.000603,-0.000431,0.000000,-0.000003,  31.793
     7.0,-0.000634,-0.000452,-0.001050,-0.000027,  31.750
     7.2,-0.000674,-0.000484,-0.001676,-0.000013,  31.711
     7.4,-0.000722,-0.000508,-0.002183,-0.000040,  31.669
     7.6,-0.000769,-0.000525,-0.002577,-0.000053,  31.648
     7.8,-0.000812,-0.000549,-0.002815,-0.000118,  31.617
     8.0,-0.000866,-0.000572,-0.002949,-0.000107,  31.562
     8.2,-0.000919,-0.000585,-0.002964,-0.000107,  31.496
     8.4,-0.000964,-0.000604,-0.003313,-0.000131,  31.441
     8.6,-0.001019,-0.000631,-0.003781,-0.000080,  31.414
     8.8,-0.001065,-0.000649,-0.004366,-0.000067,  31.377
     9.0,-0.001105,-0.000678,-0.004766,-0.000091,  31.334
     9.2,-0.001145,-0.000712,-0.005152,-0.000067,  31.307
     9.4,-0.001187,-0.000737,-0.005537,-0.000067,  31.293
     9.6,-0.001217,-0.000773,-0.006063,-0.000080,  31.261
     9.8,-0.001248,-0.000797,-0.006691,-0.000056,  31.187
    10.0,-0.001295,-0.000816,-0.007384,-0.000056,  31.123
    10.2,-0.001345,-0.000832,-0.007974,-0.000067,  31.066
    10.4,-0.001398,-0.000865,-0.008591,-0.000053,  31.022
    10.6,-0.001455,-0.000906,-0.009186,-0.000040,  30.993
    10.8,-0.001503,-0.000944,-0.009736,-0.000051,  30.967
    11.0,-0.001555,-0.000986,-0.010278,0.000013,  30.943
    11.2,-0.001619,-0.001034,-0.010811,0.000013,  30.913
    11.4,-0.001674,-0.001071,-0.011439,-0.000024,  30.860
    11.6,-0.001736,-0.001116,-0.012117,-0.000024,  30.831
    11.8,-0.001793,-0.001171,-0.012844,-0.000011,  30.788
    12.0,-0.001832,-0.001216,-0.013332,0.000003,  30.747
    12.2,-0.001876,-0.001239,-0.013696,0.000003,  30.711
    12.4,-0.001924,-0.001262,-0.013972,0.000016,  30.693
    12.6,-0.001954,-0.001266,-0.014386,0.000043,  30.688
    12.8,-0.001991,-0.001283,-0.014835,0.000029,  30.677
    13.0,-0.002036,-0.001307,-0.015354,0.000029,  30.630
    13.2,-0.002062,-0.001333,-0.015745,0.000043,  30.586
    13.4,-0.002103,-0.001347,-0.016099,0.000029,  30.539
    13.6,-0.002144,-0.001364,-0.016453,0.000029,  30.512
    13.8,-0.002165,-0.001370,-0.016786,-0.000008,  30.479
    14.0,-0.002193,-0.001377,-0.017104,-0.000022,  30.462
    14.2,-0.002231,-0.001384,-0.017377,-0.000022,  30.432
    14.4,-0.002252,-0.001381,-0.017729,-0.000035,  30.374
    14.6,-0.002277,-0.001388,-0.018145,-0.000035,  30.334
    14.8,-0.002315,-0.001408,-0.018559,-0.000011,  30.302
    15.0,-0.002345,-0.001428,-0.018866,0.000003,  30.274
    15.2,-0.002386,-0.001447,-0.019154,0.000003,  30.257
    15.4,-0.002433,-0.001456,-0.019361,0.000003,  30.215
    15.6,-0.002473,-0.001476,-0.019570,0.000003,  30.201
    15.8,-0.002526,-0.001487,-0.019921,0.000029,  30.201
    16.0,-0.002570,-0.001504,-0.020321,0.000029,  30.168
    16.2,-0.002591,-0.001515,-0.020793,0.000029,  30.112
    16.4,-0.002613,-0.001532,-0.021202,0.000043,  30.055
    16.6,-0.002660,-0.001558,-0.021588,0.000029,  30.024
    16.8,-0.002693,-0.001592,-0.021983,0.000043,  29.998
    17.0,-0.002740,-0.001617,-0.022383,0.000056,  29.978
    17.2,-0.002788,-0.001643,-0.022775,0.000056,  29.959
    17.4,-0.002821,-0.001675,-0.023209,0.000069,  29.934
    17.6,-0.002867,-0.001703,-0.023740,0.000083,  29.912
    17.8,-0.002921,-0.001736,-0.024297,0.000096,  29.885
    18.0,-0.002966,-0.001774,-0.024915,0.000096,  29.851
    18.2,-0.003025,-0.001820,-0.025289,0.000096,  29.823
    18.4,-0.003060,-0.001843,-0.025593,0.000096,  29.788
    18.6,-0.003081,-0.001870,-0.025826,0.000110,  29.764
    18.8,-0.003096,-0.001882,-0.026046,0.000123,  29.746
    19.0,-0.003114,-0.001896,-0.026238,0.000123,  29.743
    19.2,-0.003133,-0.001916,-0.026409,0.000136,  29.732
    19.4,-0.003148,-0.001925,-0.026586,0.000150,  29.688
    19.6,-0.003164,-0.001938,-0.026784,0.000123,  29.661
    19.8,-0.003182,-0.001954,-0.027003,0.000123,  29.633
    20.0,-0.003207,-0.001961,-0.027334,0.000136,  29.618
    20.2,-0.003232,-0.001979,-0.027767,0.000123,  29.593
    20.4,-0.003251,-0.001987,-0.028290,0.000110,  29.578
    20.6,-0.003283,-0.001992,-0.028437,0.000110,  29.556
