Run Name,Run 1
Run Date,02:33:09 PM   03-31-15
Method Name,4-25%.2
Export Format Version, 1.00
Method ID, 2431
Points/Second, 5.00
Number of Records,  20070
Offset from Run Start Time,00:00:00
Run End Time,01:06:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000630,0.000803,0.074913,0.000000,  66.179
     0.2,-0.000730,0.000803,0.074913,0.000000,  65.951
     0.4,-0.000757,0.000302,0.074913,0.000000,  65.725
     0.6,-0.000755,-0.000686,0.074913,0.000000,  65.446
     0.8,0.000000,-0.000686,0.000000,0.000000,  65.256
     1.0,0.000000,0.000000,0.000000,0.000000,  65.024
     1.2,0.000000,0.000000,0.000000,0.000000,  64.818
     1.4,0.000000,0.000000,0.000000,0.000000,  64.586
     1.6,0.000000,0.000000,0.000000,0.000000,  64.313
     1.8,0.000000,0.000000,0.000000,0.000000,  64.139
     2.0,0.000000,0.000000,0.000000,0.000000,  63.925
     2.2,0.000000,0.000000,0.000000,0.000000,  63.718
     2.4,0.000000,0.000000,0.000000,0.000000,  63.500
     2.6,0.000000,0.000000,0.000000,0.000000,  63.256
     2.8,0.000000,0.000000,0.000000,0.000000,  63.095
     3.0,0.000000,0.000000,0.000000,0.000000,  62.877
     3.2,0.000000,0.000000,0.000000,0.000000,  62.663
     3.4,0.000000,0.000000,0.000000,0.000000,  62.462
     3.6,0.000000,0.000000,0.000000,0.000000,  62.240
     3.8,0.000000,0.000000,0.000000,0.000000,  62.068
     4.0,0.000000,0.000121,0.000000,0.000000,  61.879
     4.2,0.000055,0.000094,0.001544,0.000000,  61.684
     4.4,0.000047,0.000068,0.002705,-0.000113,  61.480
     4.6,0.000041,0.000050,0.003447,-0.000124,  61.237
     4.8,0.000029,0.000038,0.003821,-0.000099,  61.090
     5.0,0.000014,0.000033,0.003742,-0.000113,  60.887
