Run Name,Run 4
Run Date,05:16:14 PM   03-06-15
Method Name,25%B-Isocratic.8
Export Format Version, 1.00
Method ID, 1783
Points/Second, 5.00
Number of Records,   7334
Offset from Run Start Time,00:00:00
Run End Time,00:24:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001133,0.000000,0.000000,0.000000,  48.755
     0.2,0.000978,0.000000,0.000000,0.000000,  48.743
     0.4,0.000106,0.000000,0.000000,0.000000,  48.739
     0.6,-0.000887,0.000000,0.000000,0.000000,  48.734
     0.8,0.000000,0.000000,0.000000,0.000000,  48.727
     1.0,0.000000,0.000000,0.000000,0.000000,  48.716
     1.2,0.000000,0.000000,0.000000,0.000000,  48.712
     1.4,0.000000,0.000000,0.000000,0.000000,  48.710
     1.6,0.000000,0.000000,0.000000,0.000000,  48.704
     1.8,0.000000,0.000000,0.000000,0.000000,  48.704
     2.0,0.000000,0.000000,0.000000,0.000000,  48.707
     2.2,0.000000,0.000000,0.000000,0.000000,  48.706
     2.4,0.000000,0.000000,0.000000,0.000000,  48.707
     2.6,0.000000,0.000000,0.000000,0.000000,  48.699
     2.8,0.000000,0.000000,0.000000,0.000000,  48.702
     3.0,0.000000,0.000000,0.000000,0.000000,  48.706
     3.2,0.000000,0.000000,0.000000,0.000000,  48.701
     3.4,0.000000,0.000000,0.000000,0.000000,  48.700
     3.6,0.000087,0.000022,-0.000036,0.000000,  48.698
     3.8,0.000086,0.000046,-0.000066,0.000066,  48.694
     4.0,0.000098,0.000073,-0.000081,0.000044,  48.701
     4.2,0.000118,0.000097,-0.000089,0.000079,  48.698
     4.4,0.000147,0.000125,-0.000111,0.000093,  48.702
     4.6,0.000182,0.000155,-0.000134,0.000119,  48.700
     4.8,0.000220,0.000196,-0.000068,0.000110,  48.694
     5.0,0.000261,0.000251,0.000050,0.000136,  48.699
     5.2,0.000308,0.000311,0.000198,0.000176,  48.702
     5.4,0.000358,0.000351,0.000242,0.000203,  48.695
     5.6,0.000399,0.000378,0.000263,0.000242,  48.695
     5.8,0.000432,0.000403,0.000226,0.000282,  48.699
     6.0,0.000473,0.000420,0.000003,0.000295,  48.697
     6.2,0.000493,0.000447,-0.000346,0.000295,  48.697
     6.4,0.000510,0.000469,-0.000834,0.000309,  48.692
     6.6,0.000522,0.000493,-0.000885,0.000322,  48.694
     6.8,0.000527,0.000506,-0.000782,0.000322,  48.696
     7.0,0.000540,0.000512,-0.000531,0.000322,  48.696
     7.2,0.000537,0.000521,-0.000967,0.000335,  48.700
