Run Name,Run 3
Run Date,03:46:48 PM   03-06-15
Method Name,50% CRL group 3 April 8 2014.1
Export Format Version, 1.00
Method ID, 2196
Points/Second, 5.00
Number of Records,   2387
Offset from Run Start Time,00:00:00
Run End Time,00:08:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.002854,0.002391,0.687976,0.014027,  23.870
     0.2,0.002857,0.002394,0.687920,0.014027,  23.840
     0.4,0.002857,0.002392,0.687877,0.014040,  23.821
     0.6,0.002857,0.002392,0.687786,0.014027,  23.814
     0.8,0.002853,0.002386,0.687810,0.014027,  23.816
     1.0,0.002857,0.002383,0.687876,0.014027,  23.820
     1.2,0.002861,0.002388,0.687988,0.014040,  23.831
     1.4,0.002857,0.002385,0.688038,0.014027,  23.838
     1.6,0.002861,0.002383,0.688103,0.013991,  23.850
     1.8,0.002858,0.002389,0.688151,0.014027,  23.854
     2.0,0.002854,0.002391,0.688182,0.014027,  23.860
     2.2,0.002861,0.002387,0.688166,0.014027,  23.863
     2.4,0.002861,0.002388,0.688180,0.014040,  23.868
     2.6,0.002857,0.002388,0.688138,0.014027,  23.861
     2.8,0.002861,0.002385,0.688138,0.014027,  23.846
     3.0,0.002858,0.002388,0.688136,0.014040,  23.828
     3.2,0.002854,0.002385,0.688143,0.014027,  23.809
     3.4,0.002864,0.002391,0.688143,0.014027,  23.783
     3.6,0.002864,0.002388,0.688166,0.014040,  23.767
     3.8,0.002860,0.002390,0.688175,0.014027,  23.756
     4.0,0.002867,0.002395,0.688231,0.014027,  23.750
     4.2,0.002864,0.002393,0.688310,0.014040,  23.747
     4.4,0.002860,0.002389,0.688383,0.014027,  23.747
     4.6,0.002860,0.002389,0.688471,0.014027,  23.750
     4.8,0.002857,0.002390,0.688536,0.014040,  23.749
     5.0,0.002853,0.002386,0.688624,0.014027,  23.758
     5.2,0.002857,0.002384,0.688665,0.014027,  23.752
     5.4,0.002861,0.002387,0.688674,0.014040,  23.743
     5.6,0.002861,0.002389,0.688656,0.014027,  23.738
     5.8,0.002864,0.002394,0.688713,0.014027,  23.731
     6.0,0.002857,0.002397,0.688778,0.014040,  23.725
     6.2,0.002994,0.002499,0.688843,0.000000,  23.722
     6.4,0.003018,0.002499,0.688891,0.000000,  23.724
     6.6,0.003079,0.002484,0.688891,0.000000,  23.716
     6.8,0.003180,0.002454,0.688859,0.000000,  23.719
     7.0,0.000000,0.002454,0.688925,0.000000,  23.713
     7.2,0.000000,0.000000,0.688999,0.000000,  23.709
     7.4,0.000000,0.000000,0.688011,0.000000,  23.714
     7.6,0.000000,0.000000,0.688011,0.000000,  23.712
     7.8,0.000000,0.000000,0.688011,0.000000,  23.711
     8.0,0.000000,0.000000,0.688011,0.000000,  23.709
     8.2,0.000000,0.000000,0.688011,0.000000,  23.715
     8.4,0.000000,0.000000,0.000000,0.000000,  23.717
     8.6,0.000000,0.000000,0.000000,0.000000,  23.725
     8.8,0.000000,0.000000,0.000000,0.000000,  23.732
     9.0,0.000000,0.000000,0.000000,0.000000,  23.743
     9.2,0.000000,0.000000,0.000000,0.000000,  23.753
     9.4,0.000000,0.000000,0.000000,0.000000,  23.755
     9.6,0.000000,0.000000,0.000000,0.000000,  23.759
     9.8,0.000000,0.000015,0.000000,0.000000,  23.752
    10.0,-0.000093,0.000010,0.000000,0.000175,  23.747
    10.2,-0.000184,-0.000012,0.000000,0.000061,  23.743
    10.4,-0.000258,-0.000063,0.000000,0.000017,  23.735
    10.6,-0.000341,-0.000126,0.000000,-0.000049,  23.737
    10.8,-0.000408,-0.000218,0.000000,-0.000088,  23.735
    11.0,-0.000465,-0.000328,0.000000,-0.000115,  23.730
    11.2,-0.000466,-0.000353,0.000000,-0.000106,  23.732
    11.4,-0.000420,-0.000345,0.000404,-0.000066,  23.732
    11.6,-0.000331,-0.000307,0.000223,0.000000,  23.732
    11.8,-0.000277,-0.000269,-0.000005,0.000079,  23.730
    12.0,-0.000210,-0.000214,-0.000280,0.000145,  23.727
    12.2,-0.000130,-0.000135,-0.000600,0.000162,  23.736
    12.4,-0.000083,-0.000091,-0.000943,0.000202,  23.738
    12.6,-0.000061,-0.000051,-0.001325,0.000241,  23.740
    12.8,-0.000035,-0.000015,-0.001669,0.000232,  23.743
    13.0,-0.000022,0.000025,-0.002028,0.000294,  23.749
    13.2,0.000017,0.000066,-0.002373,0.000347,  23.755
    13.4,0.000070,0.000109,-0.002591,0.000351,  23.771
    13.6,0.000135,0.000152,-0.002754,0.000440,  23.772
    13.8,0.000184,0.000198,-0.002856,0.000492,  23.771
    14.0,0.000245,0.000256,-0.002934,0.000509,  23.763
    14.2,0.000313,0.000312,-0.003019,0.000598,  23.759
    14.4,0.000368,0.000365,-0.003043,0.000638,  23.753
    14.6,0.000432,0.000434,-0.003097,0.000655,  23.745
    14.8,0.000503,0.000482,-0.003166,0.000717,  23.747
    15.0,0.000546,0.000528,-0.003244,0.000743,  23.739
    15.2,0.000589,0.000572,-0.003346,0.000747,  23.748
    15.4,0.000625,0.000598,-0.003442,0.000761,  23.742
    15.6,0.000651,0.000617,-0.003594,0.000823,  23.742
    15.8,0.000674,0.000635,-0.003641,0.000836,  23.743
    16.0,0.000694,0.000650,-0.003609,0.000800,  23.740
    16.2,0.000712,0.000664,-0.003577,0.000849,  23.744
    16.4,0.000721,0.000673,-0.003885,0.000849,  23.748
    16.6,0.000724,0.000677,-0.004352,0.000800,  23.746
    16.8,0.000712,0.000674,-0.004983,0.000809,  23.750
    17.0,0.000683,0.000675,-0.005756,0.000796,  23.752
    17.2,0.000642,0.000661,-0.005654,0.000734,  23.765
    17.4,0.000633,0.000654,-0.005314,0.000730,  23.778
    17.6,0.000637,0.000645,-0.004713,0.000730,  23.780
    17.8,0.000647,0.000635,-0.004492,0.000694,  23.787
    18.0,0.000649,0.000636,-0.004318,0.000743,  23.785
    18.2,0.000663,0.000640,-0.004201,0.000757,  23.775
    18.4,0.000678,0.000658,-0.004099,0.000747,  23.773
    18.6,0.000686,0.000664,-0.004052,0.000783,  23.767
    18.8,0.000697,0.000671,-0.004030,0.000796,  23.769
    19.0,0.000706,0.000677,-0.003934,0.000787,  23.761
    19.2,0.000715,0.000682,-0.003813,0.000800,  23.760
    19.4,0.000724,0.000687,-0.003675,0.000827,  23.757
    19.6,0.000724,0.000697,-0.003746,0.000827,  23.760
    19.8,0.000727,0.000697,-0.003951,0.000827,  23.757
    20.0,0.000735,0.000699,-0.004260,0.000827,  23.758
    20.2,0.000735,0.000703,-0.004353,0.000827,  23.764
    20.4,0.000741,0.000703,-0.004375,0.000813,  23.761
    20.6,0.000738,0.000705,-0.004381,0.000787,  23.764
    20.8,0.000727,0.000700,-0.004395,0.000774,  23.764
    21.0,0.000719,0.000684,-0.004400,0.000747,  23.770
    21.2,0.000689,0.000658,-0.004383,0.000721,  23.775
    21.4,0.000659,0.000623,-0.004381,0.000708,  23.791
    21.6,0.000625,0.000604,-0.004388,0.000694,  23.794
    21.8,0.000607,0.000595,-0.004402,0.000668,  23.809
    22.0,0.000604,0.000593,-0.004662,0.000668,  23.809
    22.2,0.000607,0.000589,-0.005051,0.000668,  23.807
    22.4,0.000616,0.000587,-0.005581,0.000681,  23.800
    22.6,0.000627,0.000598,-0.005620,0.000708,  23.798
    22.8,0.000649,0.000602,-0.005502,0.000734,  23.794
    23.0,0.000657,0.000609,-0.005210,0.000747,  23.793
