Run Name,Run 4
Run Date,08:07:49 PM   03-06-15
Method Name,8%
Export Format Version, 1.00
Method ID, 2243
Points/Second, 5.00
Number of Records,   2983
Offset from Run Start Time,00:00:00
Run End Time,00:10:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000000,0.000000,0.000000,0.000000,  49.426
     0.2,0.000000,0.000000,0.000000,0.000000,  49.427
     0.4,0.000000,0.000000,0.000000,0.000000,  49.427
     0.6,0.000000,0.000000,0.000000,0.000000,  49.426
     0.8,0.000000,0.000000,0.000000,0.000000,  49.428
     1.0,0.000000,0.000000,0.000000,0.000000,  49.422
     1.2,0.000000,0.000000,0.000000,0.000000,  49.424
     1.4,0.000000,0.000000,0.000000,0.000000,  49.422
     1.6,0.000000,0.000000,0.000000,0.000000,  49.420
     1.8,0.000000,0.000000,0.000000,0.000000,  49.421
     2.0,0.000000,0.000000,0.000000,0.000000,  49.417
     2.2,0.000000,0.000000,0.000000,0.000000,  49.412
     2.4,0.000000,0.000000,0.000000,0.000040,  49.400
     2.6,0.000000,0.000000,0.000000,0.000004,  49.395
     2.8,0.000000,0.000000,0.000000,0.000017,  49.394
     3.0,0.000027,0.000062,0.000000,0.000030,  49.386
     3.2,0.000045,0.000058,-0.000030,0.000008,  49.385
     3.4,0.000069,0.000070,-0.000029,0.000021,  49.387
     3.6,0.000080,0.000097,0.000000,0.000034,  49.383
     3.8,0.000105,0.000130,0.000029,0.000025,  49.382
     4.0,0.000119,0.000170,0.000066,0.000052,  49.373
     4.2,0.000139,0.000216,0.000103,0.000101,  49.374
     4.4,0.000174,0.000244,0.000139,0.000091,  49.376
     4.6,0.000212,0.000271,0.000131,0.000118,  49.378
     4.8,0.000231,0.000294,0.000108,0.000167,  49.375
     5.0,0.000255,0.000313,0.000056,0.000158,  49.370
     5.2,0.000285,0.000336,0.000019,0.000158,  49.371
     5.4,0.000301,0.000367,0.000018,0.000180,  49.370
     5.6,0.000316,0.000397,0.000003,0.000158,  49.370
     5.8,0.000331,0.000405,0.000033,0.000158,  49.367
     6.0,0.000342,0.000408,0.000100,0.000207,  49.364
     6.2,0.000348,0.000405,0.000182,0.000184,  49.360
     6.4,0.000348,0.000412,0.000204,0.000207,  49.364
     6.6,0.000357,0.000421,0.000219,0.000242,  49.362
     6.8,0.000369,0.000436,0.000182,0.000220,  49.360
     7.0,0.000381,0.000443,0.000145,0.000220,  49.361
     7.2,0.000380,0.000450,0.000101,0.000220,  49.350
     7.4,0.000383,0.000451,0.000034,0.000197,  49.362
     7.6,0.000387,0.000451,-0.000024,0.000220,  49.353
     7.8,0.000390,0.000451,-0.000076,0.000242,  49.353
     8.0,0.000383,0.000448,-0.000113,0.000220,  49.352
     8.2,0.000390,0.000448,-0.000120,0.000193,  49.352
     8.4,0.000387,0.000446,-0.000127,0.000180,  49.355
     8.6,0.000383,0.000449,-0.000112,0.000144,  49.347
     8.8,0.000390,0.000452,-0.000097,0.000180,  49.344
     9.0,0.000390,0.000445,-0.000075,0.000203,  49.341
     9.2,0.000386,0.000438,-0.000060,0.000180,  49.345
     9.4,0.000383,0.000432,-0.000089,0.000193,  49.345
     9.6,0.000390,0.000426,-0.000148,0.000193,  49.340
     9.8,0.000389,0.000430,-0.000244,0.000171,  49.337
    10.0,0.000396,0.000422,-0.000296,0.000193,  49.336
    10.2,0.000406,0.000418,-0.000362,0.000171,  49.331
    10.4,0.000399,0.000417,-0.000436,0.000193,  49.333
