Run Name,group 3
Run Date,06:42:37 PM   03-16-15
Method Name,16% C group 2 April 7 2014.12
Export Format Version, 1.00
Method ID, 2317
Points/Second, 5.00
Number of Records,  13339
Offset from Run Start Time,00:00:00
Run End Time,00:44:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000402,0.000000,0.017378,0.000000,  23.814
     0.2,-0.001155,0.000000,0.017396,0.000000,  23.812
     0.4,-0.003644,0.000000,0.017426,0.000000,  23.808
     0.6,-0.003644,0.000000,0.017426,0.000000,  23.806
     0.8,0.000000,0.000000,0.017949,0.000000,  23.804
     1.0,0.000000,0.000000,0.018747,0.000000,  23.799
     1.2,0.000000,0.000000,0.016606,0.000000,  23.796
     1.4,0.000000,0.000000,0.016606,0.000000,  23.801
     1.6,0.000000,0.000000,0.016606,0.000000,  23.788
     1.8,0.000000,0.000000,0.016606,0.000000,  23.779
     2.0,0.000000,0.000000,0.000000,0.000000,  23.781
     2.2,0.000000,0.000000,0.000000,0.000000,  23.776
     2.4,0.000000,0.000000,0.000000,0.000000,  23.774
     2.6,0.000000,0.000000,0.000000,0.000000,  23.762
     2.8,0.000000,0.000000,0.000000,0.000000,  23.767
     3.0,0.000000,0.000000,0.000000,0.000000,  23.757
     3.2,0.000000,0.000000,0.000000,0.000000,  23.756
     3.4,0.000000,0.000000,0.000000,0.000000,  23.756
     3.6,0.000000,0.000000,0.000000,0.000000,  23.750
     3.8,0.000000,0.000000,0.000000,0.000000,  23.742
     4.0,0.000000,0.000000,0.000000,0.000000,  23.742
     4.2,0.000102,0.000000,0.000000,0.000000,  23.729
     4.4,0.000094,0.000000,0.000000,0.000004,  23.724
     4.6,0.000083,0.000018,0.000000,0.000004,  23.721
     4.8,0.000093,0.000029,0.000000,0.000004,  23.719
     5.0,0.000092,0.000044,0.000000,0.000004,  23.712
     5.2,0.000106,0.000049,0.000000,0.000004,  23.704
     5.4,0.000122,0.000048,0.000000,0.000004,  23.700
     5.6,0.000115,0.000040,0.000000,0.000004,  23.697
     5.8,0.000102,0.000030,-0.000139,0.000040,  23.699
     6.0,0.000094,0.000028,-0.000103,0.000040,  23.700
     6.2,0.000093,0.000033,-0.000103,0.000040,  23.697
     6.4,0.000107,0.000034,-0.000149,0.000054,  23.706
     6.6,0.000129,0.000042,-0.000202,0.000067,  23.700
     6.8,0.000131,0.000037,-0.000283,0.000031,  23.698
