Run Name,Run 1
Run Date,06:01:37 PM   03-16-15
Method Name,18% C group 2 April 7 2014.11
Export Format Version, 1.00
Method ID, 2315
Points/Second, 5.00
Number of Records,  11062
Offset from Run Start Time,00:00:00
Run End Time,00:36:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001092,0.001070,-0.006128,0.000403,  25.656
     0.2,0.001095,0.001070,-0.006109,0.000417,  25.661
     0.4,0.001095,0.001069,-0.006158,0.000403,  25.639
     0.6,0.001102,0.001066,-0.006258,0.000390,  25.627
     0.8,0.001098,0.001064,-0.006277,0.000390,  25.609
     1.0,0.001101,0.001070,-0.006270,0.000417,  25.593
     1.2,0.001106,0.001071,-0.006247,0.000417,  25.587
     1.4,0.001098,0.001066,-0.006236,0.000417,  25.572
     1.6,0.001098,0.001071,-0.006326,0.000430,  25.559
     1.8,0.001102,0.001073,-0.006467,0.000417,  25.552
     2.0,0.001095,0.001072,-0.006676,0.000417,  25.540
     2.2,0.001098,0.001069,-0.007285,0.000430,  25.530
     2.4,0.001161,0.001068,-0.008150,0.000417,  25.519
     2.6,0.001192,0.001068,-0.009244,0.000417,  25.518
     2.8,0.000861,0.001065,-0.009137,0.000417,  25.538
     3.0,-0.003010,0.001065,-0.008587,0.000403,  25.506
     3.2,0.000000,0.001071,-0.007564,0.000403,  25.494
     3.4,0.000000,0.001070,-0.007226,0.000403,  25.478
     3.6,0.000000,0.001070,-0.007014,0.000403,  25.471
     3.8,0.000000,0.000000,0.000000,0.000403,  25.470
     4.0,0.000000,0.000000,0.000000,0.000403,  25.456
     4.2,0.000000,0.000000,0.000000,0.000403,  25.448
     4.4,0.000000,0.000000,0.000000,-0.002633,  25.438
     4.6,0.000000,0.000000,0.000000,0.000000,  25.429
     4.8,0.000000,0.000000,0.000000,0.000000,  25.427
     5.0,0.000000,0.000000,0.000000,0.000000,  25.424
     5.2,0.000000,0.000000,0.000000,0.000000,  25.433
