Run Name,Group 3
Run Date,04:32:17 PM   03-16-15
Method Name,24%B CR Group 6 2/24
Export Format Version, 1.00
Method ID, 1824
Points/Second, 5.00
Number of Records,  11719
Offset from Run Start Time,00:00:00
Run End Time,00:39:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.005034,0.004427,0.075002,0.004174,  34.483
     0.2,0.005163,0.004427,0.075020,0.004174,  34.483
     0.4,0.004495,0.004426,0.075013,0.004188,  34.481
     0.6,0.004141,0.004433,0.075020,0.004174,  34.479
     0.8,0.000000,0.004428,0.075103,0.004161,  34.478
     1.0,0.000000,0.004428,0.075160,0.004197,  34.467
     1.2,0.000000,0.000000,0.000000,0.000000,  34.460
     1.4,0.000000,0.000000,0.000000,0.000000,  34.424
     1.6,0.000000,0.000000,0.000000,0.000000,  34.388
     1.8,0.000000,0.000000,0.000000,0.000000,  34.356
     2.0,0.000000,0.000000,0.000000,0.000000,  34.341
     2.2,0.000000,0.000000,0.000000,0.000000,  34.343
     2.4,0.000000,0.000000,0.000000,0.000000,  34.353
     2.6,0.000000,0.000000,0.000000,0.000000,  34.358
     2.8,0.000000,0.000000,0.000000,0.000000,  34.367
     3.0,0.000000,0.000000,0.000000,0.000000,  34.353
     3.2,0.000000,0.000000,0.000000,0.000000,  34.326
     3.4,0.000000,0.000000,0.000000,0.000000,  34.308
     3.6,0.000000,0.000000,0.000000,0.000000,  34.298
     3.8,0.000075,0.000000,0.000000,0.000000,  34.283
     4.0,0.000134,0.000000,0.000000,0.000000,  34.277
     4.2,0.000185,0.000000,0.000000,0.000000,  34.269
     4.4,0.000223,0.000000,0.000000,0.000000,  34.269
     4.6,0.000234,0.000000,0.000000,0.000000,  34.262
     4.8,0.000237,0.000000,0.000000,0.000000,  34.263
     5.0,0.000220,0.000071,0.000000,0.000148,  34.259
     5.2,0.000248,0.000130,-0.000316,0.000125,  34.259
     5.4,0.000279,0.000173,-0.000361,0.000102,  34.255
     5.6,0.000308,0.000206,-0.000423,0.000151,  34.255
     5.8,0.000329,0.000217,-0.000485,0.000142,  34.250
     6.0,0.000353,0.000219,-0.000554,0.000178,  34.249
     6.2,0.000372,0.000246,-0.000606,0.000192,  34.250
     6.4,0.000380,0.000274,-0.000626,0.000182,  34.248
     6.6,0.000397,0.000310,-0.000654,0.000245,  34.241
     6.8,0.000400,0.000338,-0.000664,0.000259,  34.243
     7.0,0.000365,0.000368,-0.000676,0.000236,  34.240
     7.2,0.000323,0.000395,-0.000676,0.000286,  34.240
     7.4,0.000259,0.000413,-0.000676,0.000299,  34.245
     7.6,0.000203,0.000431,-0.000711,0.000299,  34.251
