Run Name,Group 3
Run Date,02:45:58 PM   03-16-15
Method Name,30% CRL group8 march 3.4
Export Format Version, 1.00
Method ID, 2302
Points/Second, 5.00
Number of Records,   4096
Offset from Run Start Time,00:00:00
Run End Time,00:13:41
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000142,0.000000,0.088186,0.000000,   9.558
     0.2,-0.000107,0.000000,0.088186,0.000000,   9.554
     0.4,-0.000126,0.000000,0.088186,0.000000,   9.551
     0.6,-0.000126,0.000000,0.088186,0.000000,   9.551
     0.8,0.000000,0.000000,0.000000,0.000000,   9.555
     1.0,0.000000,0.000000,0.000000,0.000000,   9.551
     1.2,0.000000,0.000000,0.000000,0.000000,   9.544
     1.4,0.000000,0.000000,0.000000,0.000000,   9.541
     1.6,0.000000,0.000000,0.000000,0.000000,   9.537
     1.8,0.000000,0.000000,0.000000,0.000000,   9.533
     2.0,0.000000,0.000000,0.000000,0.000000,   9.524
     2.2,0.000000,0.000000,0.000000,0.000000,   9.518
     2.4,0.000000,0.000000,0.000000,0.000000,   9.512
     2.6,0.000000,0.000000,0.000000,0.000000,   9.507
     2.8,0.000000,0.000000,0.000000,0.000000,   9.502
     3.0,0.000000,0.000000,0.000000,0.000000,   9.492
     3.2,0.000000,0.000000,0.000000,0.000000,   9.492
     3.4,0.000000,0.000000,0.000000,0.000000,   9.487
     3.6,0.000000,0.000000,0.000000,0.000000,   9.482
     3.8,0.000000,0.000000,0.000000,0.000000,   9.480
     4.0,0.000000,0.000169,0.000000,0.000000,   9.481
     4.2,0.000181,0.000185,0.000158,0.000000,   9.476
     4.4,0.000183,0.000185,0.000235,0.000144,   9.472
     4.6,0.000190,0.000190,0.000235,0.000121,   9.470
     4.8,0.000196,0.000183,0.000166,0.000121,   9.467
     5.0,0.000184,0.000171,0.000034,0.000094,   9.464
     5.2,0.000167,0.000153,-0.000179,0.000080,   9.463
     5.4,0.000148,0.000122,-0.000256,0.000054,   9.461
     5.6,0.000111,0.000090,-0.000321,0.000013,   9.457
     5.8,0.000071,0.000053,-0.000343,0.000000,   9.452
     6.0,0.000018,0.000037,-0.000536,-0.000063,   9.450
     6.2,0.000007,0.000032,-0.000797,-0.000077,   9.447
     6.4,0.000009,0.000026,-0.001128,-0.000050,   9.448
     6.6,0.000044,0.000042,-0.001428,-0.000033,   9.442
     6.8,0.000084,0.000066,-0.001765,0.000057,   9.440
     7.0,0.000129,0.000105,-0.002107,0.000125,   9.433
     7.2,0.000201,0.000158,-0.002325,0.000155,   9.418
     7.4,0.000256,0.000205,-0.002513,0.000259,   9.416
     7.6,0.000298,0.000257,-0.002642,0.000312,   9.412
     7.8,0.000361,0.000306,-0.002784,0.000330,   9.408
     8.0,0.000397,0.000339,-0.002937,0.000393,   9.399
     8.2,0.000412,0.000364,-0.003075,0.000406,   9.392
     8.4,0.000431,0.000393,-0.003312,0.000397,   9.388
     8.6,0.000437,0.000403,-0.003600,0.000420,   9.379
     8.8,0.000431,0.000397,-0.003929,0.000406,   9.373
     9.0,0.000423,0.000393,-0.003921,0.000357,   9.370
     9.2,0.000411,0.000386,-0.003822,0.000366,   9.360
     9.4,0.000392,0.000374,-0.003585,0.000339,   9.356
     9.6,0.000371,0.000363,-0.003746,0.000289,   9.354
     9.8,0.000359,0.000351,-0.004029,0.000299,   9.353
    10.0,0.000349,0.000337,-0.004462,0.000286,   9.353
    10.2,0.000333,0.000320,-0.004343,0.000236,   9.352
    10.4,0.000324,0.000311,-0.004026,0.000232,   9.349
    10.6,0.000307,0.000301,-0.003464,0.000218,   9.352
    10.8,0.000305,0.000296,-0.003418,0.000169,   9.346
    11.0,0.000296,0.000291,-0.003560,0.000178,   9.341
    11.2,0.000287,0.000276,-0.003863,0.000178,   9.340
    11.4,0.000277,0.000271,-0.003771,0.000192,   9.345
    11.6,0.000275,0.000283,-0.003586,0.000215,   9.329
    11.8,0.000290,0.000292,-0.003298,0.000228,   9.328
    12.0,0.000314,0.000321,-0.003271,0.000268,   9.333
    12.2,0.000356,0.000347,-0.003336,0.000309,   9.332
    12.4,0.000400,0.000378,-0.003481,0.000362,   9.333
    12.6,0.000443,0.000414,-0.003527,0.000416,   9.332
    12.8,0.000492,0.000447,-0.003599,0.000470,   9.327
    13.0,0.000532,0.000479,-0.003625,0.000523,   9.320
    13.2,0.000569,0.000515,-0.003690,0.000564,   9.315
    13.4,0.000598,0.000543,-0.003755,0.000568,   9.313
    13.6,0.000625,0.000562,-0.003843,0.000608,   9.307
    13.8,0.000650,0.000586,-0.003957,0.000635,   9.303
    14.0,0.000678,0.000598,-0.004003,0.000612,   9.297
    14.2,0.000688,0.000597,-0.004022,0.000648,   9.295
    14.4,0.000681,0.000603,-0.004014,0.000648,   9.294
    14.6,0.000666,0.000594,-0.004003,0.000598,   9.289
    14.8,0.000651,0.000573,-0.003965,0.000594,   9.281
