Run Name,Run 2
Run Date,02:09:01 PM   04-02-15
Method Name,4-25%.2
Export Format Version, 1.00
Method ID, 2432
Points/Second, 5.00
Number of Records,  22920
Offset from Run Start Time,00:00:00
Run End Time,01:16:24
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000063,0.000741,-0.027992,0.000649,  89.058
     0.2,0.000071,0.000738,-0.027992,0.000625,  89.055
     0.4,0.000167,0.000736,-0.027992,0.000663,  89.055
     0.6,0.000167,0.000742,-0.027992,0.000663,  89.059
     0.8,0.000000,0.000739,0.000000,0.000639,  89.051
     1.0,0.000000,0.000741,0.000000,0.000676,  89.059
     1.2,0.000000,0.000000,0.000000,0.000000,  89.047
     1.4,0.000000,0.000000,0.000000,0.000000,  89.016
     1.6,0.000000,0.000000,0.000000,0.000000,  88.934
     1.8,0.000000,0.000000,0.000000,0.000000,  88.899
     2.0,0.000000,0.000000,0.000000,0.000000,  88.880
     2.2,0.000000,0.000000,0.000000,0.000000,  88.873
     2.4,0.000000,0.000000,0.000000,0.000000,  88.868
     2.6,0.000000,0.000000,0.000000,0.000000,  88.825
     2.8,0.000000,0.000000,0.000000,0.000000,  88.798
     3.0,0.000000,0.000000,0.000000,0.000000,  88.774
     3.2,0.000000,0.000000,0.000000,0.000000,  88.746
     3.4,0.000000,0.000000,0.000000,0.000000,  88.733
     3.6,0.000000,0.000000,0.000000,0.000000,  88.709
     3.8,0.000000,0.000000,0.000000,0.000000,  88.691
     4.0,0.000000,0.000000,0.000000,0.000000,  88.666
     4.2,0.000000,0.000000,0.000000,0.000000,  88.667
     4.4,-0.000617,0.000000,0.000000,0.000000,  88.676
     4.6,-0.001071,0.000000,0.000332,0.000000,  88.693
     4.8,-0.001375,0.000000,0.000007,0.000000,  88.699
     5.0,-0.001523,0.000000,-0.000196,0.000000,  88.654
     5.2,-0.001523,0.000000,-0.000326,0.000000,  88.548
     5.4,-0.001369,0.000000,-0.000343,0.000000,  88.526
     5.6,-0.001308,0.000000,-0.000253,0.000111,  88.492
     5.8,-0.001219,-0.000779,-0.000075,0.000045,  88.469
     6.0,-0.001105,-0.000843,0.000161,-0.000059,  88.431
     6.2,-0.001062,-0.000879,0.000468,-0.000088,  88.396
     6.4,-0.001041,-0.000909,0.000849,-0.000166,  88.389
     6.6,-0.001044,-0.000925,0.001011,-0.000192,  88.392
     6.8,-0.001047,-0.000932,0.001084,-0.000206,  88.408
