Run Name,Run 6
Run Date,12:55:00 PM   04-13-15
Method Name,26% CRL group 12 4 2 14
Export Format Version, 1.00
Method ID, 2515
Points/Second, 5.00
Number of Records,   4974
Offset from Run Start Time,00:00:00
Run End Time,00:16:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000176,0.000000,0.000731,0.000614,  28.041
     0.2,-0.000737,0.000000,0.000731,0.000590,  28.042
     0.4,-0.001541,0.000000,0.000731,0.000652,  28.042
     0.6,-0.001505,0.000000,0.000731,0.000676,  28.041
     0.8,0.000000,0.000000,0.000000,-0.000968,  28.044
     1.0,0.000000,0.000000,0.000000,-0.003792,  28.039
     1.2,0.000000,0.000000,0.000000,0.000000,  28.039
     1.4,0.000000,0.000000,0.000000,0.000000,  28.043
     1.6,0.000000,0.000000,0.000000,0.000000,  28.043
     1.8,0.000000,0.000000,0.000000,0.000000,  28.043
     2.0,0.000000,0.000000,0.000000,0.000000,  28.045
     2.2,0.000000,0.000000,0.000000,0.000000,  28.045
     2.4,0.000000,0.000000,0.000000,0.000000,  28.047
     2.6,0.000000,0.000000,0.000000,0.000000,  28.054
     2.8,0.000000,0.000000,0.000000,0.000000,  28.047
     3.0,0.000000,0.000000,0.000000,0.000000,  28.049
     3.2,0.000000,0.000000,0.000000,0.000000,  28.048
     3.4,0.000000,0.000000,0.000000,0.000000,  28.046
     3.6,0.000000,0.000000,0.000000,0.000000,  28.047
     3.8,0.000000,0.000000,0.000000,0.000000,  28.048
     4.0,0.000000,0.000000,0.000000,0.000000,  28.042
     4.2,0.000000,0.000000,0.000000,0.000000,  28.047
     4.4,0.000033,0.000000,0.000000,0.000000,  28.048
     4.6,0.000061,0.000133,0.000142,0.000000,  28.046
     4.8,0.000080,0.000129,0.000031,0.000000,  28.041
     5.0,0.000089,0.000120,-0.000072,0.000000,  28.041
     5.2,0.000086,0.000112,-0.000159,0.000000,  28.037
     5.4,0.000067,0.000099,-0.000228,0.000000,  28.030
     5.6,0.000049,0.000091,-0.000279,0.000040,  28.033
     5.8,0.000024,0.000087,-0.000314,0.000016,  28.036
     6.0,-0.000008,0.000075,-0.000263,-0.000022,  28.031
     6.2,-0.000034,0.000066,-0.000135,0.000029,  28.029
     6.4,-0.000046,0.000054,0.000044,0.000005,  28.028
     6.6,-0.000059,0.000043,0.000061,0.000043,  28.029
     6.8,-0.000068,0.000036,0.000009,0.000016,  28.031
     7.0,-0.000070,0.000026,-0.000119,-0.000062,  28.028
     7.2,-0.000071,0.000016,-0.000145,-0.000102,  28.033
     7.4,-0.000077,0.000009,-0.000162,-0.000156,  28.029
     7.6,-0.000083,-0.000001,-0.000162,-0.000220,  28.033
     7.8,-0.000097,-0.000000,-0.000204,-0.000220,  28.028
     8.0,-0.000098,-0.000001,-0.000247,-0.000169,  28.029
     8.2,-0.000086,0.000001,-0.000273,-0.000193,  28.031
     8.4,-0.000056,0.000008,-0.000339,-0.000207,  28.032
     8.6,-0.000045,0.000014,-0.000432,-0.000182,  28.037
     8.8,-0.000023,0.000023,-0.000532,-0.000207,  28.032
     9.0,-0.000001,0.000040,-0.000582,-0.000220,  28.027
     9.2,0.000014,0.000047,-0.000657,-0.000196,  28.027
     9.4,0.000033,0.000061,-0.000716,-0.000207,  28.031
     9.6,0.000039,0.000081,-0.001228,-0.000166,  28.029
     9.8,0.000049,0.000085,-0.001995,-0.000102,  28.027
    10.0,0.000061,0.000095,-0.002981,-0.000113,  28.025
    10.2,0.000071,0.000104,-0.003091,-0.000086,  28.030
    10.4,0.000072,0.000114,-0.002853,-0.000035,  28.024
    10.6,0.000074,0.000121,-0.002309,-0.000059,  28.026
    10.8,0.000081,0.000124,-0.002172,-0.000046,  28.025
    11.0,0.000088,0.000129,-0.002078,0.000005,  28.022
    11.2,0.000094,0.000133,-0.002043,-0.000006,  28.021
    11.4,0.000097,0.000133,-0.001932,-0.000006,  28.023
    11.6,0.000101,0.000136,-0.001812,0.000032,  28.027
    11.8,0.000104,0.000136,-0.001701,0.000008,  28.025
    12.0,0.000104,0.000136,-0.001633,0.000008,  28.025
    12.2,0.000101,0.000138,-0.001615,0.000045,  28.023
    12.4,0.000101,0.000136,-0.001598,0.000045,  28.023
    12.6,0.000104,0.000133,-0.001648,0.000045,  28.025
    12.8,0.000104,0.000133,-0.001638,0.000008,  28.023
    13.0,0.000107,0.000140,-0.001613,0.000045,  28.020
    13.2,0.000110,0.000145,-0.001587,0.000008,  28.021
    13.4,0.000113,0.000147,-0.001552,0.000008,  28.021
    13.6,0.000116,0.000150,-0.001534,0.000045,  28.023
    13.8,0.000119,0.000154,-0.001517,0.000021,  28.023
    14.0,0.000125,0.000157,-0.001824,0.000021,  28.027
    14.2,0.000129,0.000158,-0.002293,0.000059,  28.028
    14.4,0.000132,0.000165,-0.002948,0.000034,  28.021
    14.6,0.000132,0.000169,-0.003040,0.000021,  28.022
    14.8,0.000138,0.000174,-0.002913,0.000059,  28.020
    15.0,0.000144,0.000177,-0.002607,0.000034,  28.022
    15.2,0.000144,0.000177,-0.002471,0.000021,  28.024
    15.4,0.000147,0.000179,-0.002342,0.000059,  28.024
    15.6,0.000147,0.000179,-0.002189,0.000034,  28.023
    15.8,0.000144,0.000177,-0.002137,0.000034,  28.027
    16.0,0.000150,0.000179,-0.002129,0.000072,  28.021
    16.2,0.000154,0.000182,-0.002198,0.000048,  28.026
    16.4,0.000157,0.000182,-0.002172,0.000048,  28.023
    16.6,0.000157,0.000186,-0.002112,0.000072,  28.024
    16.8,0.000157,0.000186,-0.002053,0.000048,  28.024
    17.0,0.000154,0.000192,-0.002018,0.000048,  28.025
    17.2,0.000145,0.000186,-0.001976,0.000072,  28.028
    17.4,0.000127,0.000182,-0.001933,0.000048,  28.027
    17.6,0.000105,0.000174,-0.001984,0.000086,  28.028
    17.8,0.000099,0.000172,-0.002088,0.000110,  28.031
    18.0,0.000102,0.000167,-0.002242,0.000086,  28.032
    18.2,0.000111,0.000170,-0.002701,0.000123,  28.031
    18.4,0.000124,0.000165,-0.003338,0.000110,  28.030
    18.6,0.000133,0.000175,-0.004150,0.000086,  28.035
    18.8,0.000139,0.000183,-0.004200,0.000123,  28.039
    19.0,0.000145,0.000180,-0.003955,0.000123,  28.037
    19.2,0.000152,0.000190,-0.003414,0.000086,  28.041
