Run Name,Run 3
Run Date,12:23:58 PM   04-13-15
Method Name,28% CRL group 3 April 8 2014.5
Export Format Version, 1.00
Method ID, 2124
Points/Second, 5.00
Number of Records,   4470
Offset from Run Start Time,00:00:00
Run End Time,00:14:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000070,0.000443,0.007801,0.000541,  28.495
     0.2,-0.000067,0.000451,0.007899,0.000541,  28.491
     0.4,-0.000078,0.000451,0.008025,0.000504,  28.485
     0.6,-0.000073,0.000445,0.008188,0.000541,  28.482
     0.8,-0.000070,0.000443,0.008232,0.000541,  28.478
     1.0,-0.000081,0.000441,0.008223,0.000517,  28.475
     1.2,-0.000073,0.000443,0.008149,0.000555,  28.475
     1.4,-0.000081,0.000435,0.008159,0.000555,  28.475
     1.6,-0.000081,0.000435,0.008204,0.000531,  28.474
     1.8,-0.000081,0.000443,0.008231,0.000555,  28.468
     2.0,-0.000081,0.000440,0.008267,0.000555,  28.472
     2.2,-0.000085,0.000438,0.008304,0.000531,  28.468
     2.4,-0.000088,0.000442,0.008374,0.000555,  28.472
     2.6,-0.000081,0.000438,0.008347,0.000568,  28.474
     2.8,-0.000081,0.000438,0.008283,0.000531,  28.474
     3.0,-0.000081,0.000443,0.008157,0.000568,  28.468
     3.2,-0.000084,0.000437,0.008167,0.000568,  28.470
     3.4,-0.000084,0.000437,0.008229,0.000582,  28.467
     3.6,-0.000081,0.000437,0.008275,0.000544,  28.472
     3.8,-0.000019,0.000431,0.007990,0.000568,  28.466
     4.0,0.000079,0.000440,0.007562,0.000582,  28.470
     4.2,-0.000999,0.000441,0.006940,0.000568,  28.471
     4.4,-0.002412,0.000443,0.006923,0.000568,  28.471
     4.6,0.000000,0.000441,0.007153,0.000582,  28.472
     4.8,0.000000,0.000000,0.007875,0.000531,  28.473
     5.0,0.000000,0.000000,0.007875,0.000568,  28.469
     5.2,0.000000,0.000000,0.007875,0.000568,  28.473
     5.4,0.000000,0.000000,0.007875,0.000541,  28.473
     5.6,0.000000,0.000000,0.000000,0.000590,  28.473
     5.8,0.000000,0.000000,0.000000,-0.003804,  28.469
     6.0,0.000000,0.000000,0.000000,0.000000,  28.474
     6.2,0.000000,0.000000,0.000000,0.000000,  28.472
     6.4,0.000000,0.000000,0.000000,0.000000,  28.471
     6.6,0.000000,0.000000,0.000000,0.000000,  28.473
     6.8,0.000000,0.000000,0.000000,0.000000,  28.475
     7.0,0.000000,0.000000,0.000000,0.000000,  28.475
