Run Name,Run 7
Run Date,10:59:34 AM   04-13-15
Method Name,36% CRL group 12 4 2 14
Export Format Version, 1.00
Method ID, 2553
Points/Second, 5.00
Number of Records,   6780
Offset from Run Start Time,00:00:00
Run End Time,00:22:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000006,0.000392,-0.000455,0.000734,  31.678
     0.2,0.000057,0.000392,-0.000981,0.000710,  31.681
     0.4,0.000223,0.000284,-0.001859,0.000710,  31.683
     0.6,-0.000482,0.000079,-0.003078,0.000748,  31.680
     0.8,0.000000,0.000079,-0.002230,0.000799,  31.678
     1.0,0.000000,0.000000,-0.000510,0.000799,  31.673
     1.2,0.000000,0.000000,-0.000237,0.000000,  31.667
     1.4,0.000000,0.000000,-0.000237,0.000000,  31.663
     1.6,0.000000,0.000000,-0.000237,0.000000,  31.639
     1.8,0.000000,0.000000,-0.000237,0.000000,  31.627
     2.0,0.000000,0.000000,-0.000237,0.000000,  31.619
     2.2,0.000000,0.000000,0.000000,0.000000,  31.612
     2.4,0.000000,0.000000,0.000000,0.000000,  31.605
     2.6,0.000000,0.000000,0.000000,0.000000,  31.607
     2.8,0.000000,0.000000,0.000000,0.000000,  31.609
     3.0,0.000000,0.000000,0.000000,0.000000,  31.605
     3.2,0.000000,0.000000,0.000000,0.000000,  31.601
     3.4,0.000000,0.000000,0.000000,0.000000,  31.600
     3.6,0.000000,0.000000,0.000000,0.000000,  31.600
     3.8,0.000000,0.000000,0.000000,0.000000,  31.599
     4.0,0.000000,0.000000,0.000000,0.000000,  31.600
     4.2,0.000000,0.000000,0.000000,0.000000,  31.596
     4.4,-0.000020,0.000000,0.000000,0.000000,  31.598
     4.6,-0.000032,0.000005,0.000000,0.000000,  31.595
     4.8,-0.000054,-0.000008,0.000000,0.000000,  31.595
     5.0,-0.000070,-0.000019,0.000000,0.000000,  31.597
     5.2,-0.000096,-0.000035,0.000000,0.000000,  31.598
     5.4,-0.000110,-0.000045,0.000000,0.000000,  31.598
     5.6,-0.000123,-0.000053,0.000000,0.000038,  31.601
     5.8,-0.000146,-0.000060,-0.000670,0.000000,  31.603
     6.0,-0.000154,-0.000071,-0.000189,-0.000013,  31.603
     6.2,-0.000168,-0.000081,-0.000004,-0.000016,  31.607
     6.4,-0.000177,-0.000083,-0.000130,-0.000080,  31.604
     6.6,-0.000183,-0.000087,-0.000568,-0.000120,  31.607
     6.8,-0.000194,-0.000098,-0.001309,-0.000147,  31.602
     7.0,-0.000197,-0.000101,-0.002358,-0.000161,  31.600
     7.2,-0.000197,-0.000102,-0.002334,-0.000174,  31.606
     7.4,-0.000178,-0.000093,-0.001915,-0.000187,  31.602
     7.6,-0.000150,-0.000074,-0.001102,-0.000187,  31.602
     7.8,-0.000101,-0.000046,-0.000858,-0.000187,  31.602
     8.0,-0.000064,-0.000020,-0.000682,-0.000214,  31.600
     8.2,-0.000027,0.000012,-0.000598,-0.000214,  31.595
     8.4,0.000027,0.000040,-0.000421,-0.000214,  31.590
     8.6,0.000061,0.000069,-0.000286,-0.000228,  31.589
     8.8,0.000082,0.000101,-0.000150,-0.000201,  31.584
     9.0,0.000117,0.000127,-0.000621,-0.000147,  31.579
     9.2,0.000139,0.000150,-0.001410,-0.000094,  31.573
     9.4,0.000161,0.000175,-0.002540,-0.000054,  31.576
     9.6,0.000163,0.000194,-0.002631,0.000000,  31.573
     9.8,0.000180,0.000206,-0.002371,0.000027,  31.574
    10.0,0.000192,0.000220,-0.001775,0.000054,  31.569
    10.2,0.000198,0.000223,-0.001606,0.000080,  31.570
    10.4,0.000202,0.000230,-0.001480,0.000094,  31.565
    10.6,0.000197,0.000232,-0.001370,0.000107,  31.570
    10.8,0.000200,0.000232,-0.001269,0.000134,  31.565
    11.0,0.000203,0.000235,-0.001193,0.000147,  31.567
    11.2,0.000202,0.000230,-0.001125,0.000161,  31.568
    11.4,0.000213,0.000234,-0.001083,0.000174,  31.568
    11.6,0.000216,0.000234,-0.001066,0.000147,  31.563
    11.8,0.000212,0.000239,-0.001076,0.000161,  31.562
    12.0,0.000219,0.000241,-0.001058,0.000174,  31.561
    12.2,0.000222,0.000237,-0.001032,0.000174,  31.561
    12.4,0.000218,0.000241,-0.000998,0.000174,  31.562
    12.6,0.000232,0.000248,-0.001292,0.000187,  31.558
    12.8,0.000235,0.000250,-0.001720,0.000174,  31.559
    13.0,0.000238,0.000251,-0.002323,0.000174,  31.560
    13.2,0.000238,0.000258,-0.002365,0.000187,  31.559
    13.4,0.000236,0.000256,-0.002214,0.000187,  31.556
    13.6,0.000236,0.000261,-0.001871,0.000201,  31.556
    13.8,0.000236,0.000259,-0.001762,0.000214,  31.553
    14.0,0.000240,0.000250,-0.001643,0.000201,  31.557
    14.2,0.000237,0.000252,-0.001559,0.000187,  31.559
    14.4,0.000237,0.000254,-0.001483,0.000201,  31.558
    14.6,0.000234,0.000254,-0.001416,0.000187,  31.561
    14.8,0.000237,0.000254,-0.001357,0.000187,  31.558
    15.0,0.000240,0.000257,-0.001332,0.000187,  31.558
    15.2,0.000243,0.000264,-0.001231,0.000174,  31.556
    15.4,0.000243,0.000264,-0.001138,0.000185,  31.555
    15.6,0.000243,0.000266,-0.001053,0.000161,  31.551
    15.8,0.000237,0.000268,-0.001683,0.000198,  31.549
    16.0,0.000220,0.000257,-0.002655,0.000236,  31.551
    16.2,0.000211,0.000255,-0.004000,0.000212,  31.550
    16.4,0.000191,0.000244,-0.004107,0.000212,  31.550
    16.6,0.000162,0.000225,-0.003733,0.000212,  31.554
    16.8,0.000138,0.000199,-0.002916,0.000187,  31.555
    17.0,0.000094,0.000168,-0.002590,0.000174,  31.555
    17.2,0.000066,0.000142,-0.002288,0.000161,  31.562
    17.4,0.000035,0.000109,-0.002036,0.000161,  31.563
    17.6,0.000008,0.000080,-0.001978,0.000134,  31.566
    17.8,-0.000017,0.000056,-0.002037,0.000107,  31.570
    18.0,-0.000046,0.000029,-0.002222,0.000080,  31.574
    18.2,-0.000061,0.000016,-0.002080,0.000054,  31.568
    18.4,-0.000076,0.000005,-0.001829,0.000000,  31.570
    18.6,-0.000089,-0.000012,-0.001485,-0.000040,  31.569
    18.8,-0.000098,-0.000026,-0.001334,-0.000054,  31.570
    19.0,-0.000097,-0.000035,-0.001234,-0.000094,  31.573
    19.2,-0.000084,-0.000029,-0.001209,-0.000120,  31.570
    19.4,-0.000069,-0.000007,-0.001201,-0.000134,  31.567
    19.6,-0.000051,0.000012,-0.001211,-0.000147,  31.566
    19.8,-0.000031,0.000033,-0.001296,-0.000161,  31.566
    20.0,-0.000004,0.000074,-0.001228,-0.000174,  31.563
    20.2,0.000040,0.000101,-0.001119,-0.000174,  31.553
    20.4,0.000075,0.000122,-0.000975,-0.000134,  31.555
    20.6,0.000109,0.000142,-0.000991,-0.000107,  31.548
    20.8,0.000144,0.000162,-0.001058,-0.000054,  31.548
    21.0,0.000169,0.000178,-0.001200,0.000000,  31.548
    21.2,0.000184,0.000193,-0.001265,0.000027,  31.550
    21.4,0.000187,0.000199,-0.001315,0.000067,  31.545
    21.6,0.000195,0.000212,-0.001356,0.000094,  31.541
    21.8,0.000208,0.000224,-0.001406,0.000145,  31.541
    22.0,0.000218,0.000228,-0.001490,0.000134,  31.538
    22.2,0.000225,0.000228,-0.001557,0.000172,  31.536
    22.4,0.000231,0.000239,-0.001590,0.000147,  31.541
    22.6,0.000242,0.000244,-0.001615,0.000174,  31.543
    22.8,0.000251,0.000242,-0.001607,0.000187,  31.547
    23.0,0.000247,0.000248,-0.001590,0.000201,  31.546
    23.2,0.000253,0.000248,-0.001598,0.000187,  31.545
    23.4,0.000252,0.000249,-0.001598,0.000174,  31.543
    23.6,0.000255,0.000256,-0.001590,0.000187,  31.538
    23.8,0.000250,0.000255,-0.001666,0.000187,  31.544
    24.0,0.000246,0.000254,-0.001758,0.000212,  31.546
    24.2,0.000257,0.000262,-0.001876,0.000150,  31.540
    24.4,0.000257,0.000268,-0.001893,0.000163,  31.545
    24.6,0.000252,0.000265,-0.001901,0.000177,  31.539
    24.8,0.000255,0.000275,-0.001850,0.000177,  31.543
    25.0,0.000249,0.000277,-0.001816,0.000177,  31.544
    25.2,0.000242,0.000282,-0.001765,0.000201,  31.545
    25.4,0.000242,0.000274,-0.001723,0.000252,  31.546
    25.6,0.000246,0.000274,-0.001673,0.000252,  31.548
    25.8,0.000238,0.000274,-0.001597,0.000201,  31.547
    26.0,0.000242,0.000279,-0.001522,0.000228,  31.545
    26.2,0.000252,0.000285,-0.001513,0.000228,  31.547
    26.4,0.000248,0.000288,-0.001547,0.000228,  31.549
    26.6,0.000251,0.000287,-0.001589,0.000241,  31.549
    26.8,0.000262,0.000289,-0.002184,0.000241,  31.546
    27.0,0.000262,0.000294,-0.003055,0.000228,  31.551
    27.2,0.000254,0.000295,-0.004239,0.000214,  31.552
    27.4,0.000262,0.000291,-0.004239,0.000214,  31.551
    27.6,0.000266,0.000286,-0.003798,0.000252,  31.555
    27.8,0.000260,0.000278,-0.002938,0.000201,  31.561
