Run Name,Run 1
Run Date,10:26:10 AM   04-13-15
Method Name,36%B CRL Group 6 2/24.1
Export Format Version, 1.00
Method ID, 2582
Points/Second, 5.00
Number of Records,   5550
Offset from Run Start Time,00:00:00
Run End Time,00:18:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000083,0.000640,0.000578,0.000864,  31.204
     0.2,0.000097,0.000643,0.000099,0.000840,  31.203
     0.4,0.000293,0.000641,-0.000684,0.000840,  31.203
     0.6,0.000125,0.000642,-0.001737,0.000864,  31.203
     0.8,0.000000,0.000646,-0.001475,0.000840,  31.201
     1.0,0.000000,0.000650,-0.000728,0.000827,  31.204
     1.2,0.000000,0.000000,0.001220,0.000000,  31.215
     1.4,0.000000,0.000000,0.001220,0.000000,  31.209
     1.6,0.000000,0.000000,0.001220,0.000000,  31.199
     1.8,0.000000,0.000000,0.001220,0.000000,  31.192
     2.0,0.000000,0.000000,0.000000,0.000000,  31.182
     2.2,0.000000,0.000000,0.000000,0.000000,  31.169
     2.4,0.000000,0.000000,0.000000,0.000000,  31.157
     2.6,0.000000,0.000000,0.000000,0.000000,  31.153
     2.8,0.000000,0.000000,0.000000,0.000000,  31.150
     3.0,0.000000,0.000000,0.000000,0.000000,  31.147
     3.2,0.000000,0.000000,0.000000,0.000000,  31.145
     3.4,0.000000,0.000000,0.000000,0.000000,  31.143
     3.6,0.000000,0.000000,0.000000,0.000000,  31.134
     3.8,0.000000,0.000000,0.000000,0.000000,  31.127
     4.0,0.000000,0.000000,0.000000,0.000000,  31.116
     4.2,0.000000,0.000000,0.000000,0.000000,  31.112
     4.4,0.000026,0.000000,0.000000,0.000000,  31.109
     4.6,0.000057,0.000000,0.000000,0.000000,  31.106
     4.8,0.000082,0.000000,0.000000,0.000000,  31.111
     5.0,0.000096,0.000000,0.000000,0.000000,  31.108
     5.2,0.000112,0.000000,0.000000,0.000000,  31.107
     5.4,0.000125,0.000000,0.000000,0.000000,  31.106
     5.6,0.000140,0.000000,0.000000,0.000083,  31.104
     5.8,0.000162,0.000111,-0.000215,0.000134,  31.106
     6.0,0.000194,0.000124,-0.000515,0.000147,  31.105
     6.2,0.000208,0.000138,-0.000774,0.000110,  31.105
