Run Name,Run 6
Run Date,10:00:37 AM   04-13-15
Method Name,50% CRL group 3 April 8 2014.1
Export Format Version, 1.00
Method ID, 2499
Points/Second, 5.00
Number of Records,   2820
Offset from Run Start Time,00:00:00
Run End Time,00:09:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.006104,0.004494,-0.006497,0.003200,  38.260
     0.2,0.006119,0.004494,-0.006497,0.003176,  38.250
     0.4,0.006212,0.004494,-0.006497,0.003162,  38.244
     0.6,0.006410,0.004497,-0.006497,0.003200,  38.247
     0.8,0.000000,0.004500,-0.006497,0.003176,  38.241
     1.0,0.000000,0.004499,0.000000,0.003176,  38.238
     1.2,0.000000,0.004459,0.000000,0.003213,  38.238
     1.4,0.000000,0.004459,0.000000,0.003226,  38.235
     1.6,0.000000,0.004472,0.000000,0.003237,  38.230
     1.8,0.000000,0.004506,0.000000,0.003286,  38.233
     2.0,0.000000,0.004506,0.000000,0.002274,  38.232
     2.2,0.000000,0.000000,0.000000,0.000000,  38.228
     2.4,0.000000,0.000000,0.000000,0.000000,  38.230
     2.6,0.000000,0.000000,0.000000,0.000000,  38.234
     2.8,0.000000,0.000000,0.000000,0.000000,  38.232
     3.0,0.000000,0.000000,0.000000,0.000000,  38.232
     3.2,0.000000,0.000000,0.000000,0.000000,  38.231
     3.4,0.000000,0.000000,0.000000,0.000000,  38.228
     3.6,0.000000,0.000000,0.000000,0.000000,  38.228
     3.8,0.000000,0.000000,0.000000,0.000000,  38.229
     4.0,0.000000,0.000000,0.000000,0.000000,  38.228
     4.2,0.000000,0.000000,0.000000,0.000000,  38.231
     4.4,0.000000,0.000000,0.000000,0.000000,  38.227
     4.6,0.000000,0.000000,0.000000,0.000000,  38.229
     4.8,0.000029,0.000000,-0.003674,0.000000,  38.233
     5.0,0.000064,0.000000,-0.006140,0.000000,  38.233
     5.2,0.000094,0.000000,-0.007465,0.000000,  38.233
     5.4,0.000135,0.000000,-0.007624,0.000000,  38.233
     5.6,0.000168,0.000000,-0.006625,0.000000,  38.234
     5.8,0.000210,-0.000003,-0.004482,0.000000,  38.234
     6.0,0.000245,0.000077,-0.003769,0.000000,  38.238
     6.2,0.000275,0.000136,-0.003200,0.000000,  38.236
     6.4,0.000316,0.000187,-0.002798,0.000000,  38.234
     6.6,0.000355,0.000220,-0.002428,0.000000,  38.233
     6.8,0.000388,0.000242,-0.002139,0.000000,  38.236
     7.0,0.000432,0.000248,-0.001962,0.000000,  38.233
     7.2,0.000486,0.000243,-0.001672,0.000082,  38.230
     7.4,0.000510,0.000256,-0.001422,0.000122,  38.229
     7.6,0.000535,0.000280,-0.001148,0.000148,  38.230
     7.8,0.000561,0.000307,-0.001010,0.000175,  38.230
     8.0,0.000576,0.000337,-0.000970,0.000201,  38.227
     8.2,0.000602,0.000381,-0.000994,0.000190,  38.231
     8.4,0.000619,0.000426,-0.000986,0.000204,  38.224
     8.6,0.000624,0.000452,-0.001002,0.000244,  38.230
     8.8,0.000641,0.000490,-0.001043,0.000233,  38.228
     9.0,0.000641,0.000517,-0.001010,0.000310,  38.228
     9.2,0.000644,0.000536,-0.000946,0.000350,  38.230
     9.4,0.000642,0.000558,-0.000856,0.000339,  38.226
     9.6,0.000650,0.000570,-0.000848,0.000390,  38.226
     9.8,0.000647,0.000577,-0.000872,0.000416,  38.226
    10.0,0.000641,0.000594,-0.000905,0.000405,  38.227
    10.2,0.000639,0.000599,-0.000873,0.000456,  38.225
    10.4,0.000634,0.000598,-0.000849,0.000469,  38.228
    10.6,0.000615,0.000609,-0.000808,0.000432,  38.222
    10.8,0.000590,0.000611,-0.000727,0.000483,  38.221
    11.0,0.000563,0.000609,-0.000638,0.000496,  38.222
    11.2,0.000538,0.000610,-0.000517,0.000458,  38.221
    11.4,0.000503,0.000605,-0.000501,0.000496,  38.222
    11.6,0.000482,0.000588,-0.000541,0.000509,  38.221
    11.8,0.000460,0.000573,-0.000598,0.000472,  38.226
    12.0,0.000439,0.000546,-0.000614,0.000458,  38.221
    12.2,0.000424,0.000519,-0.000606,0.000445,  38.221
    12.4,0.000416,0.000498,-0.000622,0.000432,  38.217
    12.6,0.000398,0.000471,-0.000615,0.000405,  38.213
    12.8,0.000379,0.000452,-0.000606,0.000392,  38.211
    13.0,0.000383,0.000436,-0.000574,0.000365,  38.212
    13.2,0.000380,0.000425,-0.000542,0.000339,  38.205
    13.4,0.000379,0.000411,-0.000825,0.000326,  38.203
    13.6,0.000394,0.000391,-0.001245,0.000275,  38.204
    13.8,0.000413,0.000382,-0.001834,0.000261,  38.206
    14.0,0.000438,0.000378,-0.002317,0.000286,  38.204
    14.2,0.000457,0.000371,-0.002839,0.000272,  38.203
    14.4,0.000476,0.000367,-0.003409,0.000246,  38.201
    14.6,0.000496,0.000376,-0.003393,0.000233,  38.198
    14.8,0.000504,0.000396,-0.003136,0.000219,  38.201
    15.0,0.000519,0.000417,-0.002630,0.000219,  38.200
    15.2,0.000539,0.000426,-0.002428,0.000206,  38.198
    15.4,0.000544,0.000442,-0.002235,0.000206,  38.194
    15.6,0.000564,0.000459,-0.002074,0.000219,  38.193
    15.8,0.000592,0.000466,-0.001888,0.000246,  38.198
    16.0,0.000597,0.000476,-0.001663,0.000272,  38.194
    16.2,0.000609,0.000488,-0.001469,0.000299,  38.190
    16.4,0.000623,0.000494,-0.001355,0.000326,  38.190
    16.6,0.000622,0.000506,-0.001275,0.000339,  38.196
    16.8,0.000628,0.000515,-0.001258,0.000352,  38.191
    17.0,0.000636,0.000528,-0.001234,0.000365,  38.188
    17.2,0.000634,0.000537,-0.001210,0.000392,  38.191
    17.4,0.000642,0.000544,-0.001234,0.000405,  38.193
    17.6,0.000649,0.000549,-0.001250,0.000419,  38.193
    17.8,0.000657,0.000556,-0.001266,0.000445,  38.195
    18.0,0.000660,0.000559,-0.001291,0.000445,  38.192
    18.2,0.000665,0.000570,-0.001331,0.000458,  38.196
    18.4,0.000669,0.000575,-0.001396,0.000472,  38.197
    18.6,0.000666,0.000577,-0.001453,0.000485,  38.198
    18.8,0.000657,0.000576,-0.001388,0.000472,  38.197
    19.0,0.000633,0.000576,-0.001299,0.000472,  38.195
    19.2,0.000615,0.000585,-0.001153,0.000461,  38.195
    19.4,0.000593,0.000592,-0.001089,0.000461,  38.197
    19.6,0.000562,0.000586,-0.001008,0.000461,  38.200
    19.8,0.000540,0.000584,-0.000968,0.000436,  38.200
    20.0,0.000518,0.000578,-0.000928,0.000461,  38.196
    20.2,0.000490,0.000560,-0.000888,0.000461,  38.197
    20.4,0.000474,0.000548,-0.000872,0.000474,  38.188
    20.6,0.000459,0.000525,-0.000864,0.000498,  38.192
    20.8,0.000443,0.000506,-0.000848,0.000498,  38.189
    21.0,0.000430,0.000485,-0.000888,0.000485,  38.189
    21.2,0.000421,0.000473,-0.000912,0.000458,  38.178
    21.4,0.000405,0.000458,-0.000904,0.000445,  38.177
    21.6,0.000405,0.000441,-0.000872,0.000432,  38.180
    21.8,0.000412,0.000429,-0.000839,0.000405,  38.183
    22.0,0.000429,0.000417,-0.000863,0.000392,  38.176
    22.2,0.000447,0.000400,-0.000904,0.000354,  38.176
    22.4,0.000469,0.000397,-0.000984,0.000328,  38.174
    22.6,0.000502,0.000395,-0.001008,0.000352,  38.175
    22.8,0.000528,0.000389,-0.001016,0.000352,  38.174
    23.0,0.000544,0.000400,-0.001016,0.000326,  38.174
    23.2,0.000556,0.000412,-0.001218,0.000299,  38.176
    23.4,0.000582,0.000421,-0.001485,0.000299,  38.172
    23.6,0.000598,0.000443,-0.001856,0.000272,  38.174
    23.8,0.000611,0.000457,-0.001847,0.000272,  38.170
