Run Name,group 1
Run Date,01:39:20 PM   03-05-15
Method Name,10% isocratic
Export Format Version, 1.00
Method ID, 2233
Points/Second, 5.00
Number of Records,   1980
Offset from Run Start Time,00:00:00
Run End Time,00:06:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000000,0.000000,0.000000,0.000000,  40.951
     0.2,0.000000,0.000000,0.000000,0.000000,  40.946
     0.4,0.000000,0.000000,0.000000,0.000000,  40.942
     0.6,0.000000,0.000000,0.000000,0.000000,  40.946
     0.8,0.000000,0.000000,0.000000,0.000000,  40.940
     1.0,0.000000,0.000000,0.000000,0.000000,  40.941
     1.2,0.000000,0.000000,0.000000,0.000000,  40.939
     1.4,0.000000,0.000000,0.000000,0.000000,  40.939
     1.6,0.000000,0.000000,0.000000,0.000000,  40.941
     1.8,0.000000,0.000000,0.000000,0.000000,  40.942
     2.0,0.000000,0.000000,0.000000,0.000000,  40.938
     2.2,0.000000,0.000000,0.000000,0.000000,  40.939
     2.4,0.000000,0.000000,0.000000,0.000000,  40.937
     2.6,0.000000,0.000000,0.000000,0.000000,  40.937
     2.8,0.000000,0.000000,0.000000,0.000000,  40.929
     3.0,0.000000,0.000000,0.000000,0.000000,  40.926
     3.2,0.000000,0.000000,0.000000,0.000000,  40.932
     3.4,0.000110,0.000000,0.000000,0.000000,  40.929
     3.6,0.000188,0.000000,0.000000,0.000000,  40.930
     3.8,0.000261,0.000000,0.000000,0.000000,  40.925
     4.0,0.000332,0.000000,0.000000,0.000000,  40.925
     4.2,0.000392,0.000193,0.000240,0.000000,  40.924
     4.4,0.000459,0.000344,0.000400,0.000044,  40.920
     4.6,0.000515,0.000458,0.000495,0.000083,  40.912
     4.8,0.000564,0.000524,0.000528,0.000087,  40.916
     5.0,0.000605,0.000543,0.000489,0.000149,  40.910
     5.2,0.000640,0.000521,0.000395,0.000153,  40.906
     5.4,0.000669,0.000554,0.000474,0.000228,  40.900
     5.6,0.000686,0.000599,0.000608,0.000255,  40.903
     5.8,0.000707,0.000651,0.000808,0.000281,  40.904
     6.0,0.000712,0.000673,0.000869,0.000307,  40.904
     6.2,0.000715,0.000686,0.000886,0.000343,  40.902
     6.4,0.000715,0.000691,0.000881,0.000334,  40.901
     6.6,0.000711,0.000682,0.000904,0.000334,  40.907
     6.8,0.000711,0.000690,0.000929,0.000334,  40.904
     7.0,0.000705,0.000696,0.000941,0.000298,  40.899
     7.2,0.000695,0.000702,0.000947,0.000334,  40.900
     7.4,0.000692,0.000708,0.000934,0.000321,  40.904
     7.6,0.000691,0.000708,0.000904,0.000272,  40.901
     7.8,0.000678,0.000707,0.000844,0.000307,  40.900
     8.0,0.000673,0.000703,0.000771,0.000321,  40.900
     8.2,0.000665,0.000692,0.000663,0.000285,  40.899
     8.4,0.000657,0.000682,0.000621,0.000321,  40.899
     8.6,0.000648,0.000669,0.000577,0.000321,  40.901
     8.8,0.000642,0.000658,0.000558,0.000285,  40.904
     9.0,0.000634,0.000651,0.000515,0.000307,  40.905
     9.2,0.000618,0.000639,0.000448,0.000294,  40.900
     9.4,0.000606,0.000630,0.000375,0.000294,  40.900
     9.6,0.000595,0.000620,0.000356,0.000281,  40.908
     9.8,0.000576,0.000608,0.000362,0.000290,  40.896
    10.0,0.000571,0.000592,0.000372,0.000290,  40.896
    10.2,0.000561,0.000574,0.000323,0.000255,  40.899
    10.4,0.000545,0.000560,0.000251,0.000264,  40.896
    10.6,0.000544,0.000550,0.000143,0.000228,  40.894
    10.8,0.000535,0.000537,0.000100,0.000228,  40.897
    11.0,0.000522,0.000517,0.000063,0.000215,  40.894
    11.2,0.000517,0.000506,0.000021,0.000202,  40.900
    11.4,0.000506,0.000491,0.000019,0.000202,  40.892
    11.6,0.000497,0.000479,0.000060,0.000224,  40.897
