Run Name,Run 2 day 2
Run Date,05:17:37 PM   03-09-15
Method Name,2-35%
Export Format Version, 1.00
Method ID, 2274
Points/Second, 5.00
Number of Records,  16916
Offset from Run Start Time,00:00:00
Run End Time,00:56:24
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001508,0.001319,-0.001269,0.000693,  49.701
     0.2,0.001508,0.001316,-0.001314,0.000707,  49.697
     0.4,0.001505,0.001316,-0.001314,0.000657,  49.690
     0.6,0.001499,0.001323,-0.001261,0.000693,  49.689
     0.8,0.001493,0.001323,-0.001155,0.000707,  49.688
     1.0,0.001484,0.001323,-0.000988,0.000657,  49.684
     1.2,0.001479,0.001324,-0.000760,0.000693,  49.685
     1.4,0.001476,0.001323,-0.000472,0.000707,  49.679
     1.6,0.001476,0.001323,-0.000411,0.000657,  49.680
     1.8,0.001486,0.001315,-0.000449,0.000693,  49.675
     2.0,0.001486,0.001311,-0.000578,0.000707,  49.670
     2.2,0.001476,0.001308,-0.000532,0.000671,  49.671
     2.4,0.001473,0.001310,-0.000449,0.000720,  49.667
     2.6,0.001476,0.001303,-0.000342,0.000733,  49.662
     2.8,0.001478,0.001300,-0.000387,0.000697,  49.661
     3.0,0.001494,0.001298,-0.000509,0.000733,  49.659
     3.2,0.001494,0.001308,-0.000706,0.000747,  49.657
     3.4,0.001488,0.001305,-0.000820,0.000711,  49.652
     3.6,0.001259,0.001304,-0.000949,0.000733,  49.637
     3.8,0.001012,0.000000,-0.001086,0.000783,  49.629
     4.0,0.001279,0.000000,-0.001017,0.000783,  49.627
     4.2,0.001175,0.000000,-0.000850,0.000841,  49.627
     4.4,0.000000,0.000000,-0.000577,0.000855,  49.621
     4.6,0.000000,0.000000,-0.000570,0.000891,  49.625
     4.8,0.000000,0.000000,-0.000669,0.000000,  49.616
     5.0,0.000000,0.000000,-0.000851,0.000000,  49.620
     5.2,0.000000,0.000000,-0.001086,0.000000,  49.612
     5.4,0.000000,0.000000,-0.001382,0.000000,  49.612
     5.6,0.000000,0.000000,-0.001798,0.000000,  49.607
     5.8,0.000000,0.000000,-0.001669,0.000000,  49.604
     6.0,0.000000,0.000000,-0.001306,0.000000,  49.603
     6.2,0.000000,0.000000,0.000675,0.000000,  49.600
     6.4,0.000000,0.000000,0.000675,0.000000,  49.598
     6.6,0.000000,0.000000,0.000675,0.000000,  49.596
     6.8,0.000000,0.000000,0.000675,0.000000,  49.592
     7.0,0.000000,0.000000,0.000000,0.000000,  49.592
     7.2,0.000000,0.000000,0.000000,0.000000,  49.591
     7.4,0.000000,0.000000,0.000000,0.000000,  49.590
     7.6,0.000000,0.000000,0.000000,0.000000,  49.587
     7.8,0.000002,-0.000033,0.000000,0.000000,  49.583
     8.0,-0.000002,-0.000042,0.000000,0.000000,  49.583
     8.2,0.000001,-0.000041,0.000000,0.000000,  49.581
     8.4,0.000014,-0.000035,0.000000,0.000000,  49.574
     8.6,0.000016,-0.000017,0.000000,0.000000,  49.578
     8.8,0.000031,-0.000003,0.000000,0.000000,  49.574
     9.0,0.000050,0.000022,0.000000,0.000000,  49.564
     9.2,0.000054,0.000033,0.000000,0.000000,  49.564
     9.4,0.000066,0.000047,0.000000,0.000027,  49.564
     9.6,0.000085,0.000051,0.000000,0.000027,  49.559
     9.8,0.000084,0.000060,0.000000,0.000027,  49.559
    10.0,0.000081,0.000066,0.000000,0.000040,  49.552
    10.2,0.000085,0.000073,0.000000,0.000040,  49.554
    10.4,0.000081,0.000078,-0.000136,0.000027,  49.550
    10.6,0.000081,0.000080,-0.000288,0.000040,  49.547
    10.8,0.000091,0.000078,-0.000448,0.000004,  49.546
    11.0,0.000084,0.000078,-0.000607,0.000004,  49.540
    11.2,0.000084,0.000078,-0.000776,0.000017,  49.522
    11.4,0.000091,0.000073,-0.000929,-0.000032,  49.517
    11.6,0.000084,0.000068,-0.000847,0.000004,  49.517
    11.8,0.000081,0.000067,-0.000649,0.000017,  49.513
    12.0,0.000078,0.000069,-0.000330,-0.000032,  49.506
    12.2,0.000081,0.000068,-0.000186,-0.000032,  49.506
    12.4,0.000078,0.000061,-0.000110,-0.000019,  49.501
    12.6,0.000078,0.000060,-0.000072,-0.000019,  49.499
    12.8,0.000078,0.000056,-0.000307,-0.000019,  49.491
    13.0,0.000068,0.000053,-0.000716,-0.000006,  49.485
    13.2,0.000072,0.000050,-0.001284,-0.000006,  49.486
    13.4,0.000059,0.000052,-0.001489,-0.000006,  49.475
    13.6,0.000055,0.000050,-0.001617,0.000008,  49.477
    13.8,0.000055,0.000047,-0.001625,0.000008,  49.470
    14.0,0.000055,0.000043,-0.001633,0.000008,  49.467
    14.2,0.000062,0.000035,-0.001618,0.000021,  49.463
    14.4,0.000062,0.000032,-0.001550,0.000021,  49.455
    14.6,0.000063,0.000028,-0.001459,0.000008,  49.455
    14.8,0.000067,0.000026,-0.001346,0.000008,  49.450
    15.0,0.000064,0.000029,-0.001209,0.000008,  49.449
    15.2,0.000058,0.000029,-0.001149,0.000008,  49.449
    15.4,0.000048,0.000024,-0.001089,-0.000006,  49.438
    15.6,0.000045,0.000026,-0.001074,-0.000006,  49.437
    15.8,0.000050,0.000024,-0.001051,-0.000006,  49.437
    16.0,0.000042,0.000019,-0.001006,-0.000019,  49.431
    16.2,0.000052,0.000022,-0.000983,-0.000019,  49.427
    16.4,0.000057,0.000029,-0.001073,-0.000006,  49.429
    16.6,0.000050,0.000026,-0.001187,-0.000006,  49.420
    16.8,0.000060,0.000020,-0.001345,0.000008,  49.409
    17.0,0.000057,0.000016,-0.001262,-0.000028,  49.396
    17.2,0.000050,0.000012,-0.001079,0.000008,  49.396
    17.4,0.000054,0.000015,-0.000784,-0.000015,  49.390
    17.6,0.000048,0.000012,-0.000671,-0.000028,  49.386
    17.8,0.000038,0.000004,-0.000625,0.000008,  49.390
    18.0,0.000042,0.000000,-0.000610,-0.000006,  49.378
