Run Name,Run 1 day 2
Run Date,04:14:17 PM   03-09-15
Method Name,4-25% group 1
Export Format Version, 1.00
Method ID, 2271
Points/Second, 5.00
Number of Records,  17280
Offset from Run Start Time,00:00:00
Run End Time,00:57:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000060,-0.000078,0.667496,0.010892,  52.393
     0.2,-0.000053,-0.000078,0.667598,0.010856,  52.386
     0.4,-0.000053,-0.000080,0.667747,0.010869,  52.388
     0.6,-0.000063,-0.000073,0.667959,0.010869,  52.390
     0.8,-0.000063,-0.000070,0.667896,0.010869,  52.388
     1.0,-0.000063,-0.000078,0.667677,0.010882,  52.386
     1.2,-0.000066,-0.000071,0.667378,0.010869,  52.366
     1.4,-0.000073,-0.000075,0.667402,0.010869,  52.363
     1.6,-0.000070,-0.000078,0.667504,0.010882,  52.358
     1.8,-0.000070,-0.000079,0.667716,0.010869,  52.352
     2.0,-0.000077,-0.000079,0.667701,0.010869,  52.335
     2.2,-0.000081,-0.000085,0.667622,0.010882,  52.283
     2.4,-0.000034,-0.000086,0.666964,0.010905,  52.234
     2.6,0.000040,0.000000,0.666964,0.010869,  52.155
     2.8,0.000310,0.000000,0.666964,0.010882,  52.125
     3.0,-0.000130,0.000000,0.666964,0.010905,  52.091
     3.2,0.000000,0.000000,0.000000,0.010869,  52.074
     3.4,0.000000,0.000000,0.000000,0.010892,  52.065
     3.6,0.000000,0.000000,0.000000,0.000000,  52.066
     3.8,0.000000,0.000000,0.000000,0.000000,  52.076
     4.0,0.000000,0.000000,0.000000,0.000000,  52.075
     4.2,0.000000,0.000000,0.000000,0.000000,  52.058
     4.4,0.000000,0.000000,0.000000,0.000000,  52.045
     4.6,0.000000,0.000000,0.000000,0.000000,  52.033
     4.8,0.000000,0.000000,0.000000,0.000000,  52.030
     5.0,0.000000,0.000000,0.000000,0.000000,  52.025
     5.2,0.000000,0.000000,0.000000,0.000000,  52.021
     5.4,0.000000,0.000000,0.000000,0.000000,  52.014
     5.6,0.000000,0.000000,0.000000,0.000000,  52.015
     5.8,0.000000,0.000000,0.000000,0.000000,  52.022
     6.0,0.000000,0.000000,0.000000,0.000000,  52.047
     6.2,0.000000,0.000000,0.000000,0.000000,  52.074
     6.4,0.000000,0.000000,0.000000,0.000000,  52.088
     6.6,0.000227,0.000000,0.000230,0.000000,  52.071
     6.8,0.000261,0.000074,0.000367,0.000000,  52.043
     7.0,0.000287,0.000128,0.000398,0.000000,  52.024
     7.2,0.000301,0.000167,0.000307,0.000000,  52.008
     7.4,0.000299,0.000185,0.000087,0.000000,  52.004
     7.6,0.000276,0.000178,-0.000234,0.000000,  51.991
     7.8,0.000247,0.000151,-0.000258,0.000000,  51.967
     8.0,0.000245,0.000137,-0.000185,0.000084,  51.973
     8.2,0.000246,0.000130,-0.000043,0.000087,  51.987
     8.4,0.000246,0.000118,0.000184,0.000114,  51.995
     8.6,0.000292,0.000108,0.000487,0.000087,  51.972
     8.8,0.000374,0.000146,0.000890,0.000061,  51.958
     9.0,0.000475,0.000202,0.000989,0.000008,  51.953
     9.2,0.000540,0.000286,0.000981,-0.000085,  51.944
     9.4,0.000612,0.000354,0.000867,-0.000085,  51.939
     9.6,0.000683,0.000435,0.000783,-0.000059,  51.935
     9.8,0.000731,0.000528,0.000630,-0.000019,  51.931
    10.0,0.000758,0.000576,0.000432,0.000021,  51.929
    10.2,0.000776,0.000608,0.000433,0.000074,  51.934
    10.4,0.000804,0.000631,0.000509,0.000177,  51.946
    10.6,0.000829,0.000653,0.000655,0.000194,  51.976
    10.8,0.000840,0.000675,0.000550,0.000220,  52.006
