Run Name,fadhli - run 3
Run Date,03:45:57 PM   02-23-15
Method Name,34% CRL group 12 4 2 14
Export Format Version, 1.00
Method ID, 2137
Points/Second, 5.00
Number of Records,   6080
Offset from Run Start Time,00:00:00
Run End Time,00:20:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000068,0.000005,-0.289798,-0.000127,   4.650
     0.2,0.000125,0.000005,-0.289790,-0.000114,   4.648
     0.4,0.000154,0.000034,-0.289797,-0.000149,   4.647
     0.6,0.000204,0.000088,-0.289833,-0.000127,   4.643
     0.8,0.000000,0.000088,-0.289804,-0.000114,   4.650
     1.0,0.000000,0.000000,-0.289761,-0.000149,   4.647
     1.2,0.000000,0.000000,-0.289696,-0.000114,   4.646
     1.4,0.000000,0.000000,-0.289774,-0.000101,   4.649
     1.6,0.000000,0.000000,-0.289910,-0.000136,   4.649
     1.8,0.000000,0.000000,-0.289916,0.000000,   4.642
     2.0,0.000000,0.000000,-0.289916,0.000000,   4.644
     2.2,0.000000,0.000000,-0.289916,0.000000,   4.647
     2.4,0.000000,0.000000,-0.289916,0.000000,   4.644
     2.6,0.000000,0.000000,0.000000,0.000000,   4.646
     2.8,0.000000,0.000000,0.000000,0.000000,   4.647
     3.0,0.000000,0.000000,0.000000,0.000000,   4.647
     3.2,0.000000,0.000000,0.000000,0.000000,   4.645
     3.4,0.000000,0.000000,0.000000,0.000000,   4.647
     3.6,0.000000,0.000000,0.000000,0.000000,   4.646
     3.8,0.000000,0.000000,0.000000,0.000000,   4.647
     4.0,0.000000,0.000000,0.000000,0.000000,   4.647
     4.2,0.000000,0.000000,0.000000,0.000000,   4.648
     4.4,0.000017,0.000000,0.000000,0.000000,   4.646
     4.6,0.000034,0.000013,0.000000,0.000000,   4.647
     4.8,0.000052,0.000023,0.000000,0.000000,   4.647
     5.0,0.000060,0.000033,0.000000,0.000000,   4.648
     5.2,0.000074,0.000046,0.000000,0.000000,   4.644
     5.4,0.000088,0.000059,0.000000,0.000000,   4.643
     5.6,0.000096,0.000067,0.000000,0.000000,   4.640
     5.8,0.000107,0.000080,0.000000,0.000000,   4.643
     6.0,0.000121,0.000094,0.000000,0.000000,   4.641
     6.2,0.000131,0.000100,0.000000,-0.000105,   4.642
     6.4,0.000150,0.000115,0.000033,-0.000101,   4.643
     6.6,0.000161,0.000124,-0.000087,-0.000087,   4.644
     6.8,0.000166,0.000133,-0.000187,-0.000074,   4.642
     7.0,0.000184,0.000144,-0.000258,-0.000048,   4.643
     7.2,0.000189,0.000155,-0.000314,-0.000057,   4.636
     7.4,0.000188,0.000162,-0.000328,-0.000009,   4.638
     7.6,0.000198,0.000164,-0.000328,0.000004,   4.637
     7.8,0.000205,0.000164,-0.000363,-0.000017,   4.641
     8.0,0.000198,0.000166,-0.000398,0.000031,   4.644
     8.2,0.000198,0.000164,-0.000441,0.000057,   4.639
     8.4,0.000195,0.000164,-0.000468,0.000035,   4.638
     8.6,0.000188,0.000164,-0.000489,0.000083,   4.640
     8.8,0.000195,0.000164,-0.000503,0.000096,   4.636
     9.0,0.000192,0.000167,-0.000539,0.000061,   4.640
     9.2,0.000189,0.000167,-0.000595,0.000096,   4.639
     9.4,0.000183,0.000164,-0.000659,0.000109,   4.638
     9.6,0.000187,0.000162,-0.000702,0.000074,   4.638
     9.8,0.000184,0.000149,-0.000737,0.000096,   4.637
    10.0,0.000164,0.000127,-0.000780,0.000109,   4.638
    10.2,0.000138,0.000102,-0.000829,0.000074,   4.639
    10.4,0.000104,0.000083,-0.000858,0.000096,   4.638
    10.6,0.000077,0.000062,-0.000893,0.000109,   4.642
    10.8,0.000061,0.000045,-0.000914,0.000074,   4.642
    11.0,0.000039,0.000034,-0.000928,0.000096,   4.637
    11.2,0.000026,0.000030,-0.000921,0.000109,   4.638
    11.4,0.000029,0.000031,-0.000921,0.000061,   4.633
    11.6,0.000035,0.000034,-0.000948,0.000083,   4.636
    11.8,0.000037,0.000037,-0.000970,0.000083,   4.632
    12.0,0.000048,0.000052,-0.000948,0.000009,   4.637
    12.2,0.000069,0.000058,-0.000905,0.000004,   4.635
    12.4,0.000073,0.000067,-0.000841,-0.000009,   4.636
    12.6,0.000086,0.000076,-0.000863,-0.000057,   4.638
    12.8,0.000101,0.000080,-0.000926,-0.000048,   4.635
    13.0,0.000106,0.000089,-0.001012,-0.000048,   4.637
    13.2,0.000121,0.000097,-0.001040,-0.000048,   4.635
    13.4,0.000130,0.000101,-0.001054,-0.000070,   4.633
    13.6,0.000131,0.000108,-0.001060,-0.000035,   4.630
    13.8,0.000144,0.000114,-0.001067,-0.000009,   4.633
    14.0,0.000144,0.000118,-0.001081,-0.000044,   4.634
    14.2,0.000140,0.000123,-0.001080,0.000004,   4.633
    14.4,0.000150,0.000118,-0.001094,0.000017,   4.635
