Run Name,Run 5
Run Date,03:30:14 PM   04-03-15
Method Name,10% isocratic
Export Format Version, 1.00
Method ID, 2266
Points/Second, 5.00
Number of Records,   1860
Offset from Run Start Time,00:00:00
Run End Time,00:06:11
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000804,0.000000,0.000662,0.000000,   8.488
     0.2,-0.000810,0.000000,0.000662,0.000000,   8.486
     0.4,-0.000804,0.000000,0.000662,0.000000,   8.479
     0.6,-0.000386,0.000000,0.000662,0.000000,   8.474
     0.8,0.000000,0.000000,0.000000,0.000000,   8.475
     1.0,0.000000,0.000000,0.000000,0.000000,   8.476
     1.2,0.000000,0.000000,0.000000,0.000000,   8.470
     1.4,0.000000,0.000000,0.000000,0.000000,   8.472
     1.6,0.000000,0.000000,0.000000,0.000000,   8.470
     1.8,0.000000,0.000000,0.000000,0.000000,   8.472
     2.0,0.000000,0.000000,0.000000,0.000000,   8.472
     2.2,0.000000,0.000000,0.000000,0.000000,   8.470
     2.4,0.000000,0.000000,0.000000,0.000000,   8.470
     2.6,0.000000,0.000000,0.000000,0.000000,   8.467
     2.8,0.000000,0.000000,0.000000,0.000000,   8.472
     3.0,0.000000,0.000000,0.000000,0.000000,   8.469
     3.2,0.000000,0.000000,0.000000,0.000000,   8.470
     3.4,0.000000,0.000000,0.000000,0.000000,   8.467
     3.6,0.000000,0.000000,0.000000,0.000000,   8.464
     3.8,0.000000,0.000000,0.000000,0.000000,   8.467
     4.0,0.000000,0.000000,0.000000,0.000000,   8.468
     4.2,0.000000,0.000000,0.000000,0.000000,   8.472
     4.4,0.000119,0.000000,0.000000,0.000350,   8.467
     4.6,0.000222,0.000299,-0.001581,0.000390,   8.466
     4.8,0.000300,0.000325,-0.002046,0.000417,   8.466
     5.0,0.000345,0.000353,-0.002433,0.000443,   8.467
     5.2,0.000375,0.000380,-0.002738,0.000483,   8.464
     5.4,0.000379,0.000413,-0.002932,0.000524,   8.460
     5.6,0.000402,0.000446,-0.003046,0.000550,   8.465
     5.8,0.000440,0.000482,-0.003053,0.000577,   8.463
     6.0,0.000474,0.000511,-0.003097,0.000604,   8.466
     6.2,0.000498,0.000536,-0.003113,0.000630,   8.463
     6.4,0.000533,0.000554,-0.003096,0.000657,   8.469
     6.6,0.000561,0.000578,-0.003124,0.000671,   8.463
     6.8,0.000584,0.000604,-0.003225,0.000697,   8.468
     7.0,0.000617,0.000631,-0.003331,0.000737,   8.465
     7.2,0.000638,0.000659,-0.003379,0.000751,   8.467
     7.4,0.000659,0.000688,-0.003419,0.000764,   8.464
     7.6,0.000688,0.000711,-0.003440,0.000778,   8.465
     7.8,0.000706,0.000735,-0.003500,0.000804,   8.463
     8.0,0.000720,0.000753,-0.003573,0.000804,   8.466
     8.2,0.000746,0.000775,-0.003638,0.000818,   8.463
     8.4,0.000762,0.000791,-0.003606,0.000818,   8.464
