Run Name,Run 1
Run Date,01:33:47 PM   04-03-15
Method Name,18% C group 2 April 7 2014.13
Export Format Version, 1.00
Method ID, 2472
Points/Second, 5.00
Number of Records,   8580
Offset from Run Start Time,00:00:00
Run End Time,00:28:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000448,0.000530,0.004276,0.000000,  24.363
     0.2,-0.000229,0.000530,0.004276,0.000000,  24.361
     0.4,-0.001540,-0.000165,0.004276,0.000000,  24.357
     0.6,-0.001827,-0.001557,0.004276,0.000000,  24.357
     0.8,0.000000,-0.001557,0.000000,0.000000,  24.356
     1.0,0.000000,0.000000,0.000000,0.000000,  24.356
     1.2,0.000000,0.000000,0.000000,0.000000,  24.351
     1.4,0.000000,0.000000,0.000000,0.000000,  24.352
     1.6,0.000000,0.000000,0.000000,0.000000,  24.350
     1.8,0.000000,0.000000,0.000000,0.000000,  24.355
     2.0,0.000000,0.000000,0.000000,0.000000,  24.353
     2.2,0.000000,0.000000,0.000000,0.000000,  24.353
     2.4,0.000000,0.000000,0.000000,0.000000,  24.350
     2.6,0.000000,0.000000,0.000000,0.000000,  24.346
     2.8,0.000000,0.000000,0.000000,0.000000,  24.347
     3.0,0.000000,0.000000,0.000000,0.000000,  24.347
     3.2,0.000000,0.000000,0.000000,0.000000,  24.346
     3.4,0.000000,0.000000,0.000000,0.000000,  24.346
     3.6,0.000000,0.000000,0.000000,0.000000,  24.347
     3.8,0.000000,0.000000,0.000000,0.000000,  24.347
     4.0,0.000000,0.000000,0.000000,0.000000,  24.347
     4.2,0.000000,0.000000,0.000000,0.000000,  24.348
     4.4,0.000067,0.000000,0.000000,0.000003,  24.351
     4.6,0.000112,0.000145,-0.000130,0.000016,  24.347
     4.8,0.000156,0.000152,-0.000433,0.000043,  24.343
     5.0,0.000171,0.000160,-0.000720,0.000043,  24.347
     5.2,0.000171,0.000161,-0.000892,0.000069,  24.344
     5.4,0.000163,0.000168,-0.000992,0.000069,  24.343
     5.6,0.000158,0.000172,-0.001015,0.000069,  24.340
     5.8,0.000161,0.000184,-0.000976,0.000083,  24.343
     6.0,0.000175,0.000193,-0.000995,0.000096,  24.344
     6.2,0.000171,0.000200,-0.001015,0.000096,  24.341
     6.4,0.000174,0.000207,-0.001015,0.000096,  24.337
     6.6,0.000181,0.000215,-0.000995,0.000096,  24.346
     6.8,0.000180,0.000215,-0.000995,0.000083,  24.342
     7.0,0.000183,0.000211,-0.000976,0.000083,  24.340
     7.2,0.000190,0.000208,-0.000965,0.000059,  24.341
     7.4,0.000189,0.000212,-0.000961,0.000059,  24.341
     7.6,0.000192,0.000213,-0.000958,0.000059,  24.340
     7.8,0.000206,0.000222,-0.000985,0.000021,  24.340
     8.0,0.000206,0.000226,-0.001034,0.000059,  24.338
     8.2,0.000213,0.000231,-0.001115,0.000059,  24.341
     8.4,0.000229,0.000228,-0.001123,0.000034,  24.339
     8.6,0.000232,0.000231,-0.001130,0.000072,  24.340
     8.8,0.000224,0.000241,-0.001138,0.000085,  24.339
     9.0,0.000230,0.000244,-0.001127,0.000061,  24.338
     9.2,0.000233,0.000243,-0.001135,0.000099,  24.337
     9.4,0.000232,0.000248,-0.001143,0.000112,  24.338
     9.6,0.000232,0.000253,-0.001108,0.000075,  24.339
     9.8,0.000235,0.000250,-0.001055,0.000099,  24.335
