Run Name,Run 1
Run Date,12:58:22 PM   04-03-15
Method Name,20% cr group 10 march 17.9
Export Format Version, 1.00
Method ID, 2468
Points/Second, 5.00
Number of Records,   6550
Offset from Run Start Time,00:00:00
Run End Time,00:21:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000061,0.000336,-0.000047,0.000342,  25.973
     0.2,0.000061,0.000336,-0.000261,0.000318,  25.973
     0.4,0.000067,0.000336,-0.000503,0.000342,  25.969
     0.6,0.000075,0.000328,-0.000740,0.000366,  25.969
     0.8,0.000078,0.000325,-0.000650,0.000342,  25.966
     1.0,0.000074,0.000328,-0.000409,0.000305,  25.968
     1.2,0.000081,0.000333,-0.000035,0.000305,  25.965
     1.4,0.000084,0.000336,0.000180,0.000281,  25.958
     1.6,0.000074,0.000336,0.000402,0.000267,  25.956
     1.8,0.000078,0.000336,0.000558,0.000305,  25.958
     2.0,0.000081,0.000334,0.000640,0.000281,  25.951
     2.2,0.000074,0.000331,0.000687,0.000305,  25.957
     2.4,0.000081,0.000333,0.000652,0.000329,  25.959
     2.6,0.000084,0.000330,0.000742,0.000305,  25.952
     2.8,0.000077,0.000330,0.000816,0.000356,  25.955
     3.0,0.000081,0.000339,0.000922,0.000356,  25.958
     3.2,0.000084,0.000340,0.000961,0.000331,  25.955
     3.4,0.000077,0.000343,0.000929,0.000356,  25.951
     3.6,0.000084,0.000341,0.000847,0.000380,  25.951
     3.8,0.000084,0.000336,0.000859,0.000356,  25.958
     4.0,0.000087,0.000342,0.000910,0.000342,  25.960
     4.2,0.000084,0.000346,0.000969,0.000380,  25.954
     4.4,0.000092,0.000341,0.000929,0.000356,  25.950
     4.6,0.000087,0.000341,0.000875,0.000342,  25.948
     4.8,0.000084,0.000343,0.000808,0.000342,  25.946
     5.0,0.000092,0.000346,0.000910,0.000318,  25.948
     5.2,0.000095,0.000338,0.001027,0.000342,  25.948
     5.4,0.000092,0.000342,0.001223,0.000380,  25.947
     5.6,0.000092,0.000345,0.001254,0.000380,  25.950
     5.8,0.000095,0.000345,0.001254,0.000393,  25.951
     6.0,0.000087,0.000340,0.001219,0.000366,  25.947
     6.2,0.000461,0.000000,-0.000078,0.000366,  25.947
     6.4,0.000144,0.000000,-0.000078,0.000380,  25.942
     6.6,-0.000883,0.000000,-0.000078,0.000342,  25.947
     6.8,-0.001468,0.000000,-0.000078,0.000342,  25.949
     7.0,0.000000,0.000000,0.000000,0.000318,  25.945
     7.2,0.000000,0.000000,0.000000,0.000000,  25.948
     7.4,0.000000,0.000000,0.000000,0.000000,  25.948
     7.6,0.000000,0.000000,0.000000,0.000000,  25.947
     7.8,0.000000,0.000000,0.000000,0.000000,  25.944
     8.0,0.000000,0.000000,0.000000,0.000000,  25.945
     8.2,0.000000,0.000000,0.000000,0.000000,  25.945
     8.4,0.000000,0.000000,0.000000,0.000000,  25.948
     8.6,0.000000,0.000000,0.000000,0.000000,  25.948
     8.8,0.000000,0.000000,0.000000,0.000000,  25.946
     9.0,0.000000,0.000000,0.000000,0.000000,  25.945
     9.2,0.000000,0.000000,0.000000,0.000000,  25.953
