Run Name,Run 1
Run Date,12:30:44 PM   04-03-15
Method Name,22%_C and R only_group4_(2-20-2014].3
Export Format Version, 1.00
Method ID, 2464
Points/Second, 5.00
Number of Records,   4557
Offset from Run Start Time,00:00:00
Run End Time,00:15:11
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000748,-0.000119,0.005331,0.000380,  27.778
     0.2,-0.001655,-0.000119,0.005350,0.000393,  27.780
     0.4,-0.002390,-0.000740,0.005354,0.000380,  27.786
     0.6,-0.002155,-0.001988,0.005393,0.000404,  27.782
     0.8,0.000000,-0.001988,0.005179,0.000404,  27.771
     1.0,0.000000,0.000000,0.004834,0.000404,  27.739
     1.2,0.000000,0.000000,0.004377,0.000366,  27.711
     1.4,0.000000,0.000000,0.004377,0.000000,  27.699
     1.6,0.000000,0.000000,0.004536,0.000000,  27.696
     1.8,0.000000,0.000000,0.004830,0.000000,  27.700
     2.0,0.000000,0.000000,0.005024,0.000000,  27.702
     2.2,0.000000,0.000000,0.005257,0.000000,  27.698
     2.4,0.000000,0.000000,0.004562,0.000000,  27.676
     2.6,0.000000,0.000000,0.004562,0.000000,  27.664
     2.8,0.000000,0.000000,0.004562,0.000000,  27.662
     3.0,0.000000,0.000000,0.004562,0.000000,  27.661
     3.2,0.000000,0.000000,0.004562,0.000000,  27.660
     3.4,0.000000,0.000000,0.000000,0.000000,  27.662
     3.6,0.000000,0.000000,0.000000,0.000000,  27.659
     3.8,0.000000,0.000000,0.000000,0.000000,  27.657
     4.0,0.000000,0.000000,0.000000,0.000000,  27.660
     4.2,0.000000,0.000000,0.000000,0.000000,  27.663
     4.4,0.000025,0.000000,0.000000,0.000000,  27.656
     4.6,0.000049,0.000079,0.000000,0.000000,  27.651
     4.8,0.000063,0.000082,0.000000,0.000000,  27.651
     5.0,0.000074,0.000101,0.000000,0.000000,  27.651
     5.2,0.000080,0.000105,0.000000,0.000000,  27.646
     5.4,0.000098,0.000118,0.000000,0.000000,  27.641
     5.6,0.000107,0.000126,0.000000,0.000000,  27.643
     5.8,0.000114,0.000134,0.000000,-0.000022,  27.640
     6.0,0.000117,0.000148,0.000000,-0.000008,  27.638
     6.2,0.000123,0.000157,0.000000,-0.000032,  27.640
     6.4,0.000129,0.000161,0.000000,0.000019,  27.635
     6.6,0.000132,0.000173,0.000000,-0.000006,  27.638
     6.8,0.000141,0.000177,0.000000,0.000045,  27.636
     7.0,0.000145,0.000181,-0.000220,0.000045,  27.637
     7.2,0.000154,0.000191,-0.000182,0.000045,  27.635
     7.4,0.000160,0.000193,-0.000171,0.000045,  27.641
     7.6,0.000163,0.000197,-0.000201,0.000083,  27.638
     7.8,0.000163,0.000205,-0.000220,0.000059,  27.636
     8.0,0.000166,0.000205,-0.000269,0.000059,  27.635
     8.2,0.000169,0.000207,-0.000318,0.000072,  27.633
     8.4,0.000169,0.000212,-0.000428,0.000048,  27.631
     8.6,0.000166,0.000209,-0.000586,0.000085,  27.634
     8.8,0.000166,0.000212,-0.000774,0.000085,  27.632
     9.0,0.000166,0.000207,-0.001061,0.000061,  27.632
     9.2,0.000166,0.000205,-0.001479,0.000099,  27.629
     9.4,0.000166,0.000205,-0.001976,0.000099,  27.630
     9.6,0.000160,0.000211,-0.001984,0.000075,  27.629
     9.8,0.000154,0.000209,-0.001834,0.000099,  27.627
    10.0,0.000151,0.000201,-0.001492,0.000099,  27.633
    10.2,0.000141,0.000204,-0.001401,0.000075,  27.628
    10.4,0.000129,0.000207,-0.001341,0.000099,  27.629
    10.6,0.000132,0.000208,-0.001322,0.000099,  27.641
    10.8,0.000138,0.000212,-0.001300,0.000061,  27.647
    11.0,0.000145,0.000217,-0.001278,0.000059,  27.634
    11.2,0.000151,0.000216,-0.001240,0.000019,  27.627
    11.4,0.000157,0.000222,-0.001237,-0.000019,  27.632
    11.6,0.000160,0.000224,-0.001237,0.000032,  27.628
    11.8,0.000166,0.000219,-0.001237,0.000045,  27.624
    12.0,0.000166,0.000224,-0.001139,0.000045,  27.629
    12.2,0.000169,0.000224,-0.001003,0.000059,  27.623
