Run Name,Run 1
Run Date,12:01:11 PM   04-03-15
Method Name,28% CRL group 12 4 2 14.2
Export Format Version, 1.00
Method ID, 2460
Points/Second, 5.00
Number of Records,   5268
Offset from Run Start Time,00:00:00
Run End Time,00:17:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.001585,0.000000,0.001452,0.000000,  32.561
     0.2,-0.002122,0.000000,0.001452,0.000000,  32.564
     0.4,-0.002160,0.000000,0.001452,0.000000,  32.540
     0.6,-0.001876,0.000000,0.001452,0.000000,  32.539
     0.8,0.000000,0.000000,0.000000,0.000000,  32.535
     1.0,0.000000,0.000000,0.000000,0.000000,  32.534
     1.2,0.000000,0.000000,0.000000,0.000000,  32.532
     1.4,0.000000,0.000000,0.000000,0.000000,  32.532
     1.6,0.000000,0.000000,0.000000,0.000000,  32.534
     1.8,0.000000,0.000000,0.000000,0.000000,  32.540
     2.0,0.000000,0.000000,0.000000,0.000000,  32.536
     2.2,0.000000,0.000000,0.000000,0.000000,  32.537
     2.4,0.000000,0.000000,0.000000,0.000000,  32.540
     2.6,0.000000,0.000000,0.000000,0.000000,  32.543
     2.8,0.000000,0.000000,0.000000,0.000000,  32.545
     3.0,0.000000,0.000000,0.000000,0.000000,  32.540
     3.2,0.000000,0.000000,0.000000,0.000000,  32.542
     3.4,0.000000,0.000000,0.000000,0.000000,  32.537
     3.6,0.000000,0.000000,0.000000,0.000000,  32.528
     3.8,0.000000,0.000000,0.000000,0.000000,  32.514
     4.0,0.000000,0.000000,0.000000,0.000000,  32.513
     4.2,0.000000,0.000000,0.000000,0.000000,  32.512
     4.4,-0.000066,0.000000,0.000000,-0.000091,  32.507
     4.6,-0.000099,-0.000079,-0.000073,-0.000128,  32.510
     4.8,-0.000120,-0.000074,-0.001624,-0.000128,  32.508
     5.0,-0.000127,-0.000062,-0.002679,-0.000142,  32.507
     5.2,-0.000122,-0.000055,-0.003246,-0.000128,  32.504
     5.4,-0.000086,-0.000047,-0.003349,-0.000153,  32.503
     5.6,-0.000062,-0.000030,-0.002956,-0.000102,  32.500
     5.8,-0.000035,-0.000008,-0.002072,-0.000075,  32.507
     6.0,0.000003,0.000008,-0.001866,-0.000086,  32.519
     6.2,0.000035,0.000024,-0.001760,-0.000022,  32.527
     6.4,0.000064,0.000039,-0.001749,0.000019,  32.507
     6.6,0.000098,0.000056,-0.001650,0.000008,  32.502
     6.8,0.000122,0.000075,-0.001588,0.000045,  32.498
     7.0,0.000144,0.000094,-0.001500,0.000072,  32.494
     7.2,0.000154,0.000113,-0.001411,0.000048,  32.497
     7.4,0.000166,0.000124,-0.001379,0.000085,  32.493
     7.6,0.000169,0.000133,-0.001339,0.000072,  32.490
     7.8,0.000163,0.000139,-0.001272,0.000008,  32.489
     8.0,0.000156,0.000142,-0.001179,0.000019,  32.493
     8.2,0.000153,0.000135,-0.001107,0.000019,  32.492
     8.4,0.000143,0.000126,-0.001521,-0.000019,  32.486
     8.6,0.000142,0.000123,-0.002190,0.000032,  32.487
     8.8,0.000154,0.000129,-0.003097,0.000008,  32.490
     9.0,0.000174,0.000142,-0.003230,0.000034,  32.484
     9.2,0.000183,0.000149,-0.003097,0.000034,  32.486
     9.4,0.000185,0.000153,-0.002714,0.000048,  32.480
     9.6,0.000196,0.000163,-0.002568,0.000048,  32.481
     9.8,0.000202,0.000170,-0.002413,0.000085,  32.482
    10.0,0.000211,0.000172,-0.002285,0.000099,  32.480
    10.2,0.000221,0.000180,-0.002138,0.000075,  32.484
    10.4,0.000227,0.000188,-0.002021,0.000125,  32.475
    10.6,0.000233,0.000192,-0.001903,0.000139,  32.471
    10.8,0.000242,0.000200,-0.001833,0.000101,  32.469
    11.0,0.000248,0.000207,-0.001785,0.000125,  32.471
    11.2,0.000254,0.000212,-0.001785,0.000139,  32.471
    11.4,0.000258,0.000209,-0.001804,0.000101,  32.469
    11.6,0.000264,0.000211,-0.001841,0.000139,  32.473
    11.8,0.000273,0.000209,-0.001937,0.000139,  32.482
    12.0,0.000276,0.000219,-0.001919,0.000152,  32.505
    12.2,0.000279,0.000223,-0.001879,0.000101,  32.494
    12.4,0.000282,0.000220,-0.001838,0.000139,  32.479
    12.6,0.000285,0.000226,-0.001849,0.000115,  32.465
    12.8,0.000282,0.000231,-0.001868,0.000115,  32.466
    13.0,0.000282,0.000230,-0.001945,0.000139,  32.462
    13.2,0.000285,0.000240,-0.002041,0.000139,  32.462
    13.4,0.000282,0.000225,-0.002023,0.000101,  32.461
    13.6,0.000258,0.000208,-0.001993,0.000139,  32.458
    13.8,0.000221,0.000182,-0.001927,0.000112,  32.461
    14.0,0.000168,0.000173,-0.001871,0.000034,  32.456
    14.2,0.000159,0.000163,-0.001852,0.000019,  32.465
    14.4,0.000157,0.000161,-0.001818,0.000019,  32.462
    14.6,0.000179,0.000166,-0.001826,-0.000006,  32.467
    14.8,0.000191,0.000176,-0.001833,0.000059,  32.463
    15.0,0.000196,0.000199,-0.001868,0.000085,  32.461
    15.2,0.000219,0.000214,-0.001924,0.000061,  32.463
    15.4,0.000232,0.000215,-0.001972,0.000112,  32.464
    15.6,0.000240,0.000222,-0.002030,0.000125,  32.460
    15.8,0.000253,0.000224,-0.002012,0.000088,  32.460
    16.0,0.000259,0.000229,-0.002001,0.000125,  32.461
    16.2,0.000258,0.000234,-0.001990,0.000139,  32.464
    16.4,0.000269,0.000237,-0.001979,0.000088,  32.463
    16.6,0.000272,0.000242,-0.001969,0.000112,  32.468
    16.8,0.000267,0.000246,-0.001972,0.000125,  32.469
    17.0,0.000270,0.000248,-0.001979,0.000088,  32.471
    17.2,0.000277,0.000253,-0.001976,0.000139,  32.478
    17.4,0.000280,0.000255,-0.001984,0.000115,  32.482
    17.6,0.000287,0.000253,-0.001963,0.000115,  32.491
    17.8,0.000290,0.000254,-0.001904,0.000115,  32.507
    18.0,0.000283,0.000259,-0.001856,0.000090,  32.525
    18.2,0.000290,0.000261,-0.001896,0.000128,  32.518
    18.4,0.000290,0.000260,-0.002003,0.000115,  32.498
    18.6,0.000280,0.000257,-0.002153,0.000064,  32.492
    18.8,0.000274,0.000251,-0.002134,0.000101,  32.479
    19.0,0.000275,0.000239,-0.002075,0.000088,  32.472
    19.2,0.000252,0.000230,-0.001950,0.000024,  32.471
    19.4,0.000235,0.000214,-0.001876,0.000008,  32.471
    19.6,0.000204,0.000194,-0.001793,-0.000046,  32.476
    19.8,0.000173,0.000181,-0.001688,-0.000097,  32.478
    20.0,0.000125,0.000157,-0.001602,-0.000086,  32.474
    20.2,0.000090,0.000132,-0.001509,-0.000113,  32.477
    20.4,0.000080,0.000127,-0.001442,-0.000113,  32.476
    20.6,0.000073,0.000108,-0.001509,-0.000086,  32.482
    20.8,0.000096,0.000108,-0.001680,-0.000072,  32.478
    21.0,0.000114,0.000120,-0.001938,-0.000046,  32.479
    21.2,0.000125,0.000147,-0.002005,-0.000057,  32.482
    21.4,0.000161,0.000157,-0.002031,-0.000006,  32.480
    21.6,0.000182,0.000169,-0.002010,0.000021,  32.482
    21.8,0.000193,0.000188,-0.001948,0.000034,  32.482
    22.0,0.000216,0.000202,-0.002052,0.000034,  32.487
    22.2,0.000228,0.000207,-0.002177,0.000059,  32.488
    22.4,0.000233,0.000216,-0.002369,0.000072,  32.491
    22.6,0.000250,0.000223,-0.002436,0.000085,  32.492
    22.8,0.000259,0.000235,-0.002454,0.000136,  32.491
    23.0,0.000261,0.000244,-0.002436,0.000150,  32.497
    23.2,0.000278,0.000248,-0.002433,0.000125,  32.498
    23.4,0.000287,0.000261,-0.002411,0.000139,  32.498
    23.6,0.000289,0.000268,-0.002363,0.000152,  32.500
    23.8,0.000303,0.000270,-0.002448,0.000115,  32.515
    24.0,0.000313,0.000275,-0.002629,0.000152,  32.523
    24.2,0.000321,0.000273,-0.002879,0.000165,  32.517
    24.4,0.000329,0.000278,-0.002879,0.000128,  32.514
    24.6,0.000335,0.000277,-0.002821,0.000152,  32.512
    24.8,0.000345,0.000282,-0.002677,0.000152,  32.513
    25.0,0.000350,0.000286,-0.002629,0.000128,  32.512
    25.2,0.000342,0.000285,-0.002592,0.000179,  32.518
    25.4,0.000339,0.000285,-0.002573,0.000165,  32.521
    25.6,0.000333,0.000286,-0.002747,0.000101,  32.523
    25.8,0.000327,0.000286,-0.002989,0.000112,  32.524
    26.0,0.000314,0.000274,-0.003374,0.000112,  32.529
    26.2,0.000302,0.000266,-0.003334,0.000061,  32.529
    26.4,0.000298,0.000258,-0.003122,0.000112,  32.536
    26.6,0.000301,0.000255,-0.002739,0.000125,  32.538
    26.8,0.000307,0.000259,-0.002592,0.000088,  32.536
    27.0,0.000306,0.000255,-0.002475,0.000139,  32.532
    27.2,0.000315,0.000266,-0.002360,0.000152,  32.540
    27.4,0.000329,0.000279,-0.002243,0.000115,  32.543
    27.6,0.000332,0.000283,-0.002184,0.000152,  32.545
    27.8,0.000330,0.000289,-0.002125,0.000165,  32.547
    28.0,0.000338,0.000296,-0.002125,0.000141,  32.550
    28.2,0.000341,0.000303,-0.002176,0.000165,  32.553
    28.4,0.000344,0.000308,-0.002294,0.000165,  32.552
    28.6,0.000347,0.000308,-0.002294,0.000141,  32.557
    28.8,0.000353,0.000310,-0.002256,0.000179,  32.563
    29.0,0.000356,0.000308,-0.002216,0.000179,  32.563
    29.2,0.000356,0.000311,-0.002187,0.000141,  32.563
    29.4,0.000356,0.000308,-0.002168,0.000179,  32.571
    29.6,0.000363,0.000308,-0.002150,0.000179,  32.577
    29.8,0.000355,0.000311,-0.002120,0.000179,  32.583
    30.0,0.000355,0.000310,-0.002091,0.000141,  32.580
    30.2,0.000358,0.000315,-0.002091,0.000179,  32.579
    30.4,0.000354,0.000317,-0.002072,0.000141,  32.579
    30.6,0.000358,0.000317,-0.002054,0.000141,  32.585
    30.8,0.000358,0.000316,-0.002072,0.000179,  32.587
    31.0,0.000354,0.000318,-0.002091,0.000179,  32.587
    31.2,0.000358,0.000306,-0.002072,0.000141,  32.589
    31.4,0.000337,0.000283,-0.002043,0.000179,  32.593
    31.6,0.000303,0.000273,-0.002014,0.000152,  32.598
    31.8,0.000264,0.000266,-0.002666,0.000075,  32.597
    32.0,0.000258,0.000251,-0.003663,0.000045,  32.593
    32.2,0.000261,0.000249,-0.005027,0.000045,  32.599
    32.4,0.000279,0.000254,-0.005093,0.000034,  32.599
    32.6,0.000288,0.000258,-0.004664,0.000112,  32.601
    32.8,0.000304,0.000280,-0.003769,0.000139,  32.602
    33.0,0.000316,0.000290,-0.003446,0.000101,  32.600
    33.2,0.000326,0.000287,-0.003214,0.000152,  32.605
    33.4,0.000324,0.000296,-0.003015,0.000165,  32.604
    33.6,0.000327,0.000297,-0.002805,0.000128,  32.604
    33.8,0.000327,0.000302,-0.002624,0.000152,  32.604
    34.0,0.000317,0.000300,-0.002491,0.000139,  32.607
    34.2,0.000315,0.000297,-0.002366,0.000088,  32.603
    34.4,0.000303,0.000289,-0.002262,0.000112,  32.613
    34.6,0.000280,0.000278,-0.002162,0.000112,  32.609
    34.8,0.000269,0.000266,-0.002076,0.000048,  32.606
    35.0,0.000253,0.000251,-0.002028,0.000085,  32.613
    35.2,0.000241,0.000244,-0.001965,0.000099,  32.619
    35.4,0.000233,0.000235,-0.001928,0.000048,  32.621
    35.6,0.000239,0.000229,-0.001917,0.000085,  32.620
    35.8,0.000254,0.000239,-0.001917,0.000099,  32.625
    36.0,0.000273,0.000250,-0.001877,0.000075,  32.621
    36.2,0.000285,0.000256,-0.001836,0.000125,  32.623
    36.4,0.000287,0.000266,-0.001815,0.000152,  32.623
    36.6,0.000307,0.000281,-0.001967,0.000115,  32.625
