Run Name,Run 1
Run Date,11:08:25 AM   04-03-15
Method Name,32% CRL group 3 April 8 2014.5
Export Format Version, 1.00
Method ID, 2452
Points/Second, 5.00
Number of Records,   4170
Offset from Run Start Time,00:00:00
Run End Time,00:13:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000128,0.000000,0.015620,0.000000,  36.839
     0.2,0.000025,0.000000,0.015620,0.000000,  36.825
     0.4,-0.000573,0.000000,0.015620,0.000000,  36.794
     0.6,-0.001145,0.000000,0.015620,0.000000,  36.785
     0.8,0.000000,0.000000,0.000000,0.000000,  36.783
     1.0,0.000000,0.000000,0.000000,0.000000,  36.777
     1.2,0.000000,0.000000,0.000000,0.000000,  36.778
     1.4,0.000000,0.000000,0.000000,0.000000,  36.775
     1.6,0.000000,0.000000,0.000000,0.000000,  36.774
     1.8,0.000000,0.000000,0.000000,0.000000,  36.769
     2.0,0.000000,0.000000,0.000000,0.000000,  36.768
     2.2,0.000000,0.000000,0.000000,0.000000,  36.767
     2.4,0.000000,0.000000,0.000000,0.000000,  36.774
     2.6,0.000000,0.000000,0.000000,0.000000,  36.767
     2.8,0.000000,0.000000,0.000000,0.000000,  36.763
     3.0,0.000000,0.000000,0.000000,0.000000,  36.754
     3.2,0.000000,0.000000,0.000000,0.000000,  36.749
     3.4,0.000000,0.000000,0.000000,0.000000,  36.747
     3.6,0.000000,0.000000,0.000000,0.000000,  36.742
     3.8,0.000000,0.000000,0.000000,0.000000,  36.743
     4.0,0.000000,0.000000,0.000000,0.000000,  36.740
     4.2,0.000000,0.000000,0.000000,0.000000,  36.738
     4.4,0.000000,0.000000,0.000000,0.000000,  36.735
     4.6,0.000000,0.000067,0.000290,0.000040,  36.731
     4.8,0.000037,0.000071,0.000369,0.000104,  36.733
     5.0,0.000046,0.000074,0.000325,0.000104,  36.731
     5.2,0.000062,0.000083,0.000209,0.000118,  36.730
     5.4,0.000070,0.000089,-0.000044,0.000094,  36.736
     5.6,0.000081,0.000103,-0.000403,0.000107,  36.744
     5.8,0.000092,0.000121,-0.000857,0.000120,  36.757
     6.0,0.000121,0.000138,-0.001212,0.000096,  36.775
     6.2,0.000140,0.000152,-0.001550,0.000134,  36.774
     6.4,0.000147,0.000167,-0.001915,0.000147,  36.742
     6.6,0.000164,0.000186,-0.001875,0.000123,  36.724
     6.8,0.000177,0.000202,-0.001652,0.000147,  36.724
     7.0,0.000175,0.000205,-0.001222,0.000109,  36.719
     7.2,0.000189,0.000225,-0.001027,0.000123,  36.719
     7.4,0.000173,0.000217,-0.000886,0.000123,  36.715
     7.6,0.000132,0.000202,-0.000755,0.000059,  36.710
     7.8,0.000093,0.000176,-0.000515,0.000069,  36.712
     8.0,0.000078,0.000164,-0.000238,0.000003,  36.713
     8.2,0.000067,0.000169,0.000067,-0.000035,  36.709
     8.4,0.000075,0.000174,0.000164,0.000016,  36.708
     8.6,0.000084,0.000173,0.000185,0.000043,  36.716
     8.8,0.000095,0.000175,0.000115,0.000032,  36.716
     9.0,0.000124,0.000181,0.000034,0.000083,  36.709
     9.2,0.000136,0.000183,-0.000086,0.000096,  36.704
     9.4,0.000149,0.000201,-0.000228,0.000072,  36.700
     9.6,0.000158,0.000214,-0.000293,0.000123,  36.704
     9.8,0.000161,0.000216,-0.000395,0.000109,  36.707
    10.0,0.000166,0.000221,-0.000478,0.000085,  36.706
    10.2,0.000183,0.000228,-0.000497,0.000123,  36.713
    10.4,0.000189,0.000222,-0.000476,0.000136,  36.711
    10.6,0.000195,0.000215,-0.000455,0.000112,  36.714
    10.8,0.000195,0.000203,-0.000470,0.000136,  36.719
    11.0,0.000203,0.000198,-0.000478,0.000136,  36.712
    11.2,0.000213,0.000209,-0.000489,0.000112,  36.713
