Run Name,group 2 spring 2015 18%
Run Date,04:36:26 PM   02-08-15
Method Name,18% C group 2 April 7 2014.10
Export Format Version, 1.00
Method ID, 2106
Points/Second, 5.00
Number of Records,   4491
Offset from Run Start Time,00:00:00
Run End Time,00:15:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000501,-0.000727,-0.020611,0.000000,  62.365
     0.2,-0.000316,-0.000727,-0.020611,0.000000,  62.374
     0.4,-0.000103,-0.000538,-0.020611,0.000000,  62.367
     0.6,0.000018,-0.000163,-0.020611,0.000000,  62.370
     0.8,0.000000,-0.000163,0.000000,0.000000,  62.375
     1.0,0.000000,0.000000,0.000000,0.000000,  62.357
     1.2,0.000000,0.000000,0.000000,0.000000,  62.326
     1.4,0.000000,0.000000,0.000000,0.000000,  62.288
     1.6,0.000000,0.000000,0.000000,0.000000,  62.242
     1.8,0.000000,0.000000,0.000000,0.000000,  62.247
     2.0,0.000000,0.000000,0.000000,0.000000,  62.271
     2.2,0.000000,0.000000,0.000000,0.000000,  62.296
     2.4,0.000000,0.000000,0.000000,0.000000,  62.337
     2.6,0.000000,0.000000,0.000000,0.000000,  62.354
     2.8,0.000000,0.000000,0.000000,0.000000,  62.364
     3.0,0.000000,0.000000,0.000000,0.000000,  62.373
     3.2,0.000000,0.000000,0.000000,0.000000,  62.379
     3.4,0.000000,0.000000,0.000000,0.000000,  62.385
     3.6,0.000000,0.000000,0.000000,0.000000,  62.381
     3.8,0.000000,0.000000,0.000000,0.000000,  62.381
     4.0,0.000000,0.000000,0.000000,0.000000,  62.379
     4.2,0.000000,0.000000,0.000000,0.000000,  62.382
     4.4,0.000010,0.000000,0.000000,0.000156,  62.386
     4.6,0.000021,0.000067,0.000272,0.000108,  62.388
     4.8,0.000021,0.000046,0.000238,0.000095,  62.391
     5.0,0.000021,0.000031,0.000226,0.000082,  62.389
     5.2,0.000010,0.000018,0.000220,0.000082,  62.394
     5.4,-0.000004,0.000010,0.000227,0.000060,  62.392
     5.6,-0.000007,0.000003,0.000231,0.000047,  62.398
     5.8,-0.000012,0.000001,0.000248,0.000047,  62.395
     6.0,-0.000011,0.000010,0.000257,0.000060,  62.395
     6.2,-0.000018,0.000010,0.000249,0.000047,  62.393
     6.4,-0.000012,0.000013,0.000233,0.000047,  62.373
     6.6,-0.000006,0.000020,0.000233,0.000060,  62.339
     6.8,-0.000012,0.000021,0.000246,0.000060,  62.326
     7.0,-0.000015,0.000020,0.000262,0.000060,  62.321
     7.2,-0.000014,0.000013,0.000268,0.000060,  62.337
     7.4,-0.000074,-0.000015,0.000273,0.000047,  62.348
     7.6,-0.000154,-0.000051,0.000274,-0.000031,  62.362
     7.8,-0.000254,-0.000102,0.000181,-0.000122,  62.369
     8.0,-0.000330,-0.000181,0.000047,-0.000278,  62.381
     8.2,-0.000397,-0.000276,-0.000143,-0.000317,  62.388
     8.4,-0.000451,-0.000390,-0.000185,-0.000304,  62.380
     8.6,-0.000447,-0.000401,-0.000183,-0.000278,  62.385
