Run Name,group 2 spring 2015 22
Run Date,04:00:33 PM   02-08-15
Method Name,22% CR group 2 April 7 2014.6
Export Format Version, 1.00
Method ID, 2029
Points/Second, 5.00
Number of Records,   9599
Offset from Run Start Time,00:00:00
Run End Time,00:32:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000453,0.000191,-0.017789,-0.000256,  62.385
     0.2,-0.000465,0.000186,-0.017800,-0.000278,  62.399
     0.4,-0.000464,0.000189,-0.017822,-0.000256,  62.405
     0.6,-0.000475,0.000182,-0.017842,-0.000269,  62.411
     0.8,-0.000487,0.000180,-0.017851,-0.000291,  62.417
     1.0,-0.000481,0.000187,-0.017856,-0.000269,  62.420
     1.2,-0.000484,0.000191,-0.017846,-0.000269,  62.425
     1.4,-0.000485,0.000194,-0.017825,-0.000291,  62.428
     1.6,-0.000475,0.000208,-0.017796,-0.000256,  62.427
     1.8,-0.000467,0.000218,-0.017759,-0.000256,  62.426
     2.0,-0.000464,0.000222,-0.017754,-0.000278,  62.430
     2.2,-0.000462,0.000222,-0.017754,-0.000243,  62.432
     2.4,-0.000453,0.000227,-0.017768,-0.000256,  62.430
     2.6,-0.000454,0.000225,-0.017781,-0.000278,  62.433
     2.8,-0.000454,0.000219,-0.017781,-0.000243,  62.430
     3.0,-0.000454,0.000220,-0.017790,-0.000256,  62.431
     3.2,-0.000457,0.000211,-0.017794,-0.000278,  62.434
     3.4,-0.000466,0.000202,-0.017790,-0.000243,  62.433
     3.6,-0.000460,0.000189,-0.017779,-0.000256,  62.425
     3.8,-0.000456,0.000186,-0.017790,-0.000278,  62.397
     4.0,-0.000454,0.000194,-0.017810,-0.000230,  62.368
     4.2,-0.000433,0.000200,-0.017829,-0.000217,  62.340
     4.4,-0.000411,0.000201,-0.017849,-0.000252,  62.340
     4.6,-0.000410,0.000213,-0.017888,-0.000217,  62.346
     4.8,-0.000406,0.000173,-0.017917,-0.000217,  62.376
     5.0,-0.000449,0.000173,-0.018033,-0.000217,  62.392
     5.2,-0.000438,0.000268,-0.018033,-0.000217,  62.406
     5.4,-0.000179,0.000460,-0.018033,-0.000208,  62.419
     5.6,0.000091,0.000460,-0.018033,-0.000200,  62.422
     5.8,0.000000,0.000000,0.000000,-0.000247,  62.424
     6.0,0.000000,0.000000,0.000000,0.000000,  62.423
     6.2,0.000000,0.000000,0.000000,0.000000,  62.428
     6.4,0.000000,0.000000,0.000000,0.000000,  62.434
     6.6,0.000000,0.000000,0.000000,0.000000,  62.430
     6.8,0.000000,0.000000,0.000000,0.000000,  62.435
     7.0,0.000000,0.000000,0.000000,0.000000,  62.435
     7.2,0.000000,0.000000,0.000000,0.000000,  62.435
     7.4,0.000000,0.000000,0.000000,0.000000,  62.441
     7.6,0.000000,0.000000,0.000000,0.000000,  62.439
     7.8,0.000000,0.000000,0.000000,0.000000,  62.443
     8.0,0.000000,0.000000,0.000000,0.000000,  62.440
     8.2,0.000000,0.000000,0.000000,0.000000,  62.440
     8.4,0.000000,0.000000,0.000000,0.000000,  62.436
     8.6,0.000000,0.000000,0.000000,0.000000,  62.432
     8.8,0.000000,0.000000,0.000000,0.000000,  62.434
     9.0,0.000000,0.000000,0.000000,0.000000,  62.436
     9.2,0.000000,0.000000,0.000000,0.000000,  62.434
     9.4,-0.000171,-0.000182,0.000000,0.000000,  62.414
     9.6,-0.000314,-0.000305,-0.000042,0.000000,  62.382
     9.8,-0.000422,-0.000394,-0.000243,0.000000,  62.359
    10.0,-0.000515,-0.000456,-0.000411,0.000000,  62.365
    10.2,-0.000579,-0.000477,-0.000539,0.000000,  62.377
    10.4,-0.000611,-0.000474,-0.000632,-0.000087,  62.397
    10.6,-0.000590,-0.000425,-0.000674,-0.000226,  62.408
    10.8,-0.000520,-0.000356,-0.000685,-0.000304,  62.417
    11.0,-0.000402,-0.000319,-0.000661,-0.000394,  62.424
    11.2,-0.000356,-0.000265,-0.000597,-0.000481,  62.427
    11.4,-0.000308,-0.000217,-0.000500,-0.000533,  62.432
    11.6,-0.000265,-0.000184,-0.000460,-0.000546,  62.428
    11.8,-0.000230,-0.000160,-0.000424,-0.000542,  62.441
    12.0,-0.000187,-0.000141,-0.000411,-0.000455,  62.434
    12.2,-0.000153,-0.000123,-0.000380,-0.000364,  62.436
    12.4,-0.000132,-0.000102,-0.000349,-0.000360,  62.433
    12.6,-0.000107,-0.000087,-0.000307,-0.000299,  62.438
    12.8,-0.000093,-0.000077,-0.000289,-0.000286,  62.441
    13.0,-0.000083,-0.000066,-0.000274,-0.000295,  62.440
    13.2,-0.000072,-0.000060,-0.000265,-0.000234,  62.442
    13.4,-0.000057,-0.000059,-0.000263,-0.000208,  62.441
    13.6,-0.000055,-0.000050,-0.000278,-0.000204,  62.444
    13.8,-0.000052,-0.000050,-0.000293,-0.000157,  62.443
    14.0,-0.000049,-0.000057,-0.000284,-0.000157,  62.442
    14.2,-0.000049,-0.000056,-0.000267,-0.000178,  62.444
    14.4,-0.000058,-0.000059,-0.000243,-0.000131,  62.439
    14.6,-0.000058,-0.000069,-0.000238,-0.000131,  62.438
    14.8,-0.000060,-0.000077,-0.000236,-0.000165,  62.424
    15.0,-0.000082,-0.000085,-0.000229,-0.000131,  62.414
    15.2,-0.000115,-0.000157,-0.000309,-0.000131,  62.382
    15.4,-0.000150,-0.000260,-0.000430,-0.000165,  62.376
    15.6,-0.000232,-0.000390,-0.000583,-0.000131,  62.380
    15.8,-0.000323,-0.000411,-0.000642,-0.000131,  62.397
    16.0,-0.000443,-0.000392,-0.000673,-0.000217,  62.413
    16.2,-0.000452,-0.000324,-0.000669,-0.000247,  62.417
    16.4,-0.000401,-0.000291,-0.000645,-0.000351,  62.425
    16.6,-0.000312,-0.000254,-0.000583,-0.000438,  62.431
    16.8,-0.000277,-0.000207,-0.000502,-0.000429,  62.435
    17.0,-0.000234,-0.000182,-0.000477,-0.000468,  62.443
    17.2,-0.000203,-0.000160,-0.000462,-0.000477,  62.445
    17.4,-0.000182,-0.000137,-0.000448,-0.000390,  62.445
    17.6,-0.000150,-0.000122,-0.000437,-0.000312,  62.445
    17.8,-0.000134,-0.000119,-0.000433,-0.000273,  62.445
    18.0,-0.000127,-0.000105,-0.000420,-0.000247,  62.447
    18.2,-0.000113,-0.000094,-0.000417,-0.000234,  62.449
    18.4,-0.000104,-0.000091,-0.000397,-0.000234,  62.447
    18.6,-0.000097,-0.000079,-0.000384,-0.000243,  62.445
    18.8,-0.000089,-0.000076,-0.000366,-0.000196,  62.446
    19.0,-0.000076,-0.000072,-0.000395,-0.000183,  62.452
    19.2,-0.000078,-0.000073,-0.000443,-0.000204,  62.444
