Run Name,group 2 spring 2015 24%
Run Date,03:31:27 PM   02-08-15
Method Name,24% CR group 2 April 7 2014.5
Export Format Version, 1.00
Method ID, 2095
Points/Second, 5.00
Number of Records,   7600
Offset from Run Start Time,00:00:00
Run End Time,00:25:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.002022,0.000000,-0.050391,0.000000,  62.368
     0.2,-0.001920,0.000000,-0.050391,0.000000,  62.372
     0.4,-0.001756,0.000000,-0.050391,0.000000,  62.375
     0.6,-0.001756,0.000000,-0.050391,0.000000,  62.376
     0.8,0.000000,0.000000,0.000000,0.000000,  62.376
     1.0,0.000000,0.000000,0.000000,0.000000,  62.378
     1.2,0.000000,0.000000,0.000000,0.000000,  62.382
     1.4,0.000000,0.000000,0.000000,0.000000,  62.388
     1.6,0.000000,0.000000,0.000000,0.000000,  62.390
     1.8,0.000000,0.000000,0.000000,0.000000,  62.387
     2.0,0.000000,0.000000,0.000000,0.000000,  62.390
     2.2,0.000000,0.000000,0.000000,0.000000,  62.389
     2.4,0.000000,0.000000,0.000000,0.000000,  62.389
     2.6,0.000000,0.000000,0.000000,0.000000,  62.382
     2.8,0.000000,0.000000,0.000000,0.000000,  62.367
     3.0,0.000000,0.000000,0.000000,0.000000,  62.323
     3.2,0.000000,0.000000,0.000000,0.000000,  62.292
     3.4,0.000000,0.000000,0.000000,0.000000,  62.276
     3.6,0.000000,0.000000,0.000000,0.000000,  62.277
     3.8,0.000000,0.000000,0.000000,0.000000,  62.297
     4.0,0.000000,0.000000,0.000000,0.000000,  62.324
     4.2,-0.000746,0.000013,-0.000370,0.000000,  62.340
     4.4,-0.000724,0.000032,-0.000622,-0.000376,  62.359
     4.6,-0.000685,0.000073,-0.000783,-0.000286,  62.370
     4.8,-0.000626,0.000132,-0.000826,-0.000234,  62.374
     5.0,-0.000551,0.000207,-0.000767,-0.000169,  62.380
     5.2,-0.000454,0.000302,-0.000587,-0.000104,  62.386
     5.4,-0.000343,0.000364,-0.000472,-0.000061,  62.386
     5.6,-0.000267,0.000416,-0.000345,0.000004,  62.395
     5.8,-0.000201,0.000479,-0.000191,0.000056,  62.393
     6.0,-0.000148,0.000521,-0.000096,0.000073,  62.395
     6.2,-0.000100,0.000545,-0.000010,0.000147,  62.396
     6.4,-0.000064,0.000573,0.000054,0.000186,  62.392
     6.6,-0.000039,0.000582,0.000114,0.000190,  62.393
     6.8,-0.000017,0.000608,0.000176,0.000225,  62.395
     7.0,-0.000003,0.000629,0.000219,0.000238,  62.393
     7.2,0.000003,0.000646,0.000268,0.000203,  62.390
     7.4,0.000014,0.000656,0.000312,0.000238,  62.386
     7.6,0.000025,0.000668,0.000354,0.000238,  62.388
     7.8,0.000031,0.000670,0.000313,0.000203,  62.390
     8.0,0.000019,0.000658,0.000225,0.000238,  62.389
     8.2,-0.000003,0.000630,0.000088,0.000238,  62.392
     8.4,-0.000033,0.000594,0.000091,0.000190,  62.390
     8.6,-0.000038,0.000580,0.000149,0.000212,  62.370
     8.8,-0.000046,0.000578,0.000244,0.000225,  62.354
     9.0,-0.000046,0.000582,0.000273,0.000164,  62.331
     9.2,-0.000087,0.000556,0.000306,0.000186,  62.329
     9.4,-0.000159,0.000530,0.000327,0.000134,  62.337
     9.6,-0.000251,0.000485,0.000247,0.000008,  62.357
     9.8,-0.000304,0.000421,0.000114,-0.000087,  62.367
    10.0,-0.000351,0.000350,-0.000062,-0.000113,  62.376
    10.2,-0.000385,0.000256,-0.000133,-0.000148,  62.387
    10.4,-0.000415,0.000254,-0.000166,-0.000100,  62.388
    10.6,-0.000392,0.000295,-0.000164,-0.000074,  62.391
    10.8,-0.000332,0.000373,-0.000141,-0.000057,  62.394
    11.0,-0.000251,0.000409,-0.000087,0.000030,  62.395
    11.2,-0.000211,0.000447,0.000012,0.000056,  62.393
    11.4,-0.000172,0.000486,0.000053,0.000060,  62.402
    11.6,-0.000131,0.000509,0.000078,0.000121,  62.406
    11.8,-0.000116,0.000523,0.000092,0.000134,  62.438
    12.0,-0.000105,0.000532,0.000134,0.000112,  62.434
    12.2,-0.000098,0.000552,0.000183,0.000160,  62.439
    12.4,-0.000085,0.000572,0.000237,0.000173,  62.435
    12.6,-0.000063,0.000594,0.000255,0.000186,  62.429
