Run Name,group 2 spring 2015 30%
Run Date,02:06:30 PM   02-08-15
Method Name,30% CRL group 2 April 7 2014.4
Export Format Version, 1.00
Method ID, 2025
Points/Second, 5.00
Number of Records,   7215
Offset from Run Start Time,00:00:00
Run End Time,00:24:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.005017,0.000000,-0.014537,0.000000,  25.325
     0.2,-0.004954,0.000000,-0.014537,0.000000,  25.324
     0.4,-0.005022,0.000000,-0.014537,0.000000,  25.319
     0.6,-0.005022,0.000000,-0.014537,0.000000,  25.320
     0.8,0.000000,0.000000,0.000000,0.000000,  25.322
     1.0,0.000000,0.000000,0.000000,0.000000,  25.316
     1.2,0.000000,0.000000,0.000000,0.000000,  25.322
     1.4,0.000000,0.000000,0.000000,0.000000,  25.317
     1.6,0.000000,0.000000,0.000000,0.000000,  25.317
     1.8,0.000000,0.000000,0.000000,0.000000,  25.319
     2.0,0.000000,0.000000,0.000000,0.000000,  25.321
     2.2,0.000000,0.000000,0.000000,0.000000,  25.318
     2.4,0.000000,0.000000,0.000000,0.000000,  25.320
     2.6,0.000000,0.000000,0.000000,0.000000,  25.319
     2.8,0.000000,0.000000,0.000000,0.000000,  25.318
     3.0,0.000000,0.000000,0.000000,0.000000,  25.316
     3.2,0.000000,0.000000,0.000000,0.000000,  25.316
     3.4,0.000000,0.000000,0.000000,0.000000,  25.316
     3.6,0.000000,0.000000,0.000000,0.000000,  25.316
     3.8,0.000000,0.000000,0.000000,0.000000,  25.314
     4.0,0.000000,0.000000,0.000000,0.000000,  25.311
     4.2,0.000000,0.000000,0.000000,0.000000,  25.315
     4.4,-0.000004,0.000000,0.000000,-0.000004,  25.314
     4.6,-0.000004,-0.000040,0.000054,-0.000026,  25.310
     4.8,-0.000004,-0.000035,0.000029,-0.000026,  25.313
     5.0,-0.000011,-0.000038,-0.000004,-0.000026,  25.319
     5.2,-0.000001,-0.000029,-0.000036,-0.000061,  25.309
     5.4,-0.000001,-0.000032,-0.000075,-0.000048,  25.313
     5.6,-0.000008,-0.000024,-0.000108,-0.000061,  25.311
     5.8,-0.000001,-0.000026,-0.000148,-0.000083,  25.307
     6.0,-0.000004,-0.000029,-0.000155,-0.000048,  25.307
     6.2,-0.000026,-0.000038,-0.000139,-0.000048,  25.307
     6.4,-0.000057,-0.000053,-0.000105,-0.000083,  25.309
     6.6,-0.000098,-0.000069,-0.000113,-0.000048,  25.304
     6.8,-0.000113,-0.000079,-0.000129,-0.000061,  25.306
     7.0,-0.000105,-0.000081,-0.000162,-0.000096,  25.301
     7.2,-0.000085,-0.000078,-0.000186,-0.000048,  25.311
     7.4,-0.000080,-0.000080,-0.000225,-0.000061,  25.306
     7.6,-0.000070,-0.000084,-0.000258,-0.000096,  25.300
     7.8,-0.000058,-0.000077,-0.000402,-0.000048,  25.298
     8.0,-0.000052,-0.000075,-0.000596,-0.000061,  25.299
     8.2,-0.000056,-0.000075,-0.000855,-0.000096,  25.297
     8.4,-0.000053,-0.000071,-0.000878,-0.000048,  25.299
     8.6,-0.000060,-0.000069,-0.000799,-0.000061,  25.298
     8.8,-0.000063,-0.000076,-0.000653,-0.000083,  25.296
     9.0,-0.000066,-0.000078,-0.000604,-0.000035,  25.296
     9.2,-0.000067,-0.000076,-0.000554,-0.000035,  25.295
     9.4,-0.000057,-0.000078,-0.000527,-0.000057,  25.298
     9.6,-0.000052,-0.000070,-0.000484,-0.000035,  25.290
     9.8,-0.000049,-0.000068,-0.000427,-0.000048,  25.293
    10.0,-0.000050,-0.000073,-0.000363,-0.000070,  25.291
    10.2,-0.000043,-0.000070,-0.000329,-0.000048,  25.287
    10.4,-0.000034,-0.000070,-0.000305,-0.000048,  25.288
    10.6,-0.000038,-0.000075,-0.000282,-0.000083,  25.285
    10.8,-0.000036,-0.000075,-0.000281,-0.000083,  25.291
    11.0,-0.000039,-0.000073,-0.000288,-0.000096,  25.298
    11.2,-0.000036,-0.000072,-0.000306,-0.000131,  25.298
    11.4,-0.000046,-0.000068,-0.000323,-0.000118,  25.287
    11.6,-0.000039,-0.000069,-0.000347,-0.000096,  25.286
    11.8,-0.000036,-0.000062,-0.000373,-0.000131,  25.282
    12.0,-0.000046,-0.000062,-0.000414,-0.000118,  25.284
    12.2,-0.000039,-0.000075,-0.000478,-0.000096,  25.282
    12.4,-0.000059,-0.000085,-0.000559,-0.000096,  25.287
    12.6,-0.000099,-0.000108,-0.000559,-0.000096,  25.281
    12.8,-0.000134,-0.000115,-0.000526,-0.000096,  25.282
    13.0,-0.000137,-0.000119,-0.000470,-0.000109,  25.279
    13.2,-0.000141,-0.000118,-0.000462,-0.000109,  25.283
    13.4,-0.000115,-0.000116,-0.000470,-0.000109,  25.281
    13.6,-0.000109,-0.000112,-0.000501,-0.000109,  25.281
    13.8,-0.000106,-0.000103,-0.000535,-0.000144,  25.275
