Run Name,group 2 spring 2015 32%
Run Date,01:07:31 PM   02-08-15
Method Name,32% CRL group 2 April 7 2014.2
Export Format Version, 1.00
Method ID, 2021
Points/Second, 5.00
Number of Records,  10518
Offset from Run Start Time,00:00:00
Run End Time,00:35:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001407,0.000849,0.018368,0.000000,  24.953
     0.2,0.001418,0.000849,0.018368,0.000000,  24.957
     0.4,0.001390,0.000803,0.018368,0.000000,  24.954
     0.6,0.001335,0.000703,0.018368,0.000000,  24.951
     0.8,0.000000,0.000703,0.000000,0.000000,  24.955
     1.0,0.000000,0.000000,0.000000,0.000000,  24.951
     1.2,0.000000,0.000000,0.000000,0.000000,  24.952
     1.4,0.000000,0.000000,0.000000,0.000000,  24.952
     1.6,0.000000,0.000000,0.000000,0.000000,  24.952
     1.8,0.000000,0.000000,0.000000,0.000000,  24.954
     2.0,0.000000,0.000000,0.000000,0.000000,  24.955
     2.2,0.000000,0.000000,0.000000,0.000000,  24.953
     2.4,0.000000,0.000000,0.000000,0.000000,  24.953
     2.6,0.000000,0.000000,0.000000,0.000000,  24.956
     2.8,0.000000,0.000000,0.000000,0.000000,  24.958
     3.0,0.000000,0.000000,0.000000,0.000000,  24.957
     3.2,0.000000,0.000000,0.000000,0.000000,  24.957
     3.4,0.000000,0.000000,0.000000,0.000000,  24.955
     3.6,0.000000,0.000000,0.000000,0.000000,  24.950
     3.8,0.000000,0.000000,0.000000,0.000000,  24.954
     4.0,0.000000,0.000000,0.000000,0.000000,  24.950
     4.2,0.000000,0.000000,0.000000,0.000000,  24.954
     4.4,0.000000,0.000000,0.000000,0.000000,  24.953
     4.6,0.000000,-0.000122,0.000005,-0.000048,  24.951
     4.8,-0.000061,-0.000107,0.000024,-0.000061,  24.954
     5.0,-0.000061,-0.000094,0.000035,-0.000074,  24.952
     5.2,-0.000061,-0.000086,0.000040,-0.000061,  24.951
     5.4,-0.000054,-0.000077,0.000036,-0.000096,  24.954
     5.6,-0.000054,-0.000071,0.000019,-0.000061,  24.950
     5.8,-0.000058,-0.000065,-0.000000,-0.000048,  24.946
     6.0,-0.000051,-0.000064,0.000000,-0.000083,  24.947
     6.2,-0.000051,-0.000058,0.000005,-0.000048,  24.948
