Run Name,group 2 spring 2015 34% retest
Run Date,01:47:49 PM   02-08-15
Method Name,34% CRL group 2 April 7 2014.1
Export Format Version, 1.00
Method ID, 2109
Points/Second, 5.00
Number of Records,   4134
Offset from Run Start Time,00:00:00
Run End Time,00:13:48
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000000,0.000000,0.000000,0.000000,  29.306
     0.2,0.000000,0.000000,0.000000,0.000000,  29.294
     0.4,0.000000,0.000000,0.000000,0.000000,  29.290
     0.6,0.000000,0.000000,0.000000,0.000000,  29.287
     0.8,0.000000,0.000000,0.000000,0.000000,  29.281
     1.0,0.000000,0.000000,0.000000,0.000000,  29.273
     1.2,0.000000,0.000000,0.000000,0.000000,  29.268
     1.4,0.000000,0.000000,0.000000,0.000000,  29.260
     1.6,0.000000,0.000000,0.000000,0.000000,  29.254
     1.8,0.000000,0.000000,0.000000,0.000000,  29.248
     2.0,0.000000,0.000000,0.000000,0.000000,  29.243
     2.2,0.000000,0.000000,0.000000,0.000000,  29.236
     2.4,0.000000,0.000000,0.000000,0.000000,  29.233
     2.6,0.000000,0.000000,0.000000,0.000000,  29.230
     2.8,0.000000,0.000000,0.000000,0.000000,  29.219
     3.0,0.000000,0.000000,0.000000,0.000000,  29.212
     3.2,0.000000,0.000000,0.000000,0.000000,  29.221
     3.4,0.000000,0.000000,0.000000,0.000000,  29.225
     3.6,0.000000,-0.000038,-0.000302,0.000000,  29.233
     3.8,0.000000,-0.000037,-0.000213,0.000000,  29.210
     4.0,-0.000014,-0.000034,-0.000127,0.000000,  29.188
     4.2,-0.000004,-0.000037,-0.000058,0.000000,  29.180
     4.4,0.000007,-0.000041,0.000012,0.000000,  29.176
     4.6,0.000007,-0.000058,0.000073,0.000013,  29.166
     4.8,0.000002,-0.000065,0.000139,0.000000,  29.161
     5.0,-0.000019,-0.000072,0.000240,-0.000035,  29.155
     5.2,-0.000032,-0.000077,0.000359,-0.000070,  29.154
     5.4,-0.000060,-0.000081,0.000500,-0.000091,  29.145
     5.6,-0.000069,-0.000084,0.000498,-0.000070,  29.145
     5.8,-0.000078,-0.000084,0.000417,-0.000096,  29.140
     6.0,-0.000069,-0.000090,0.000271,-0.000170,  29.137
     6.2,-0.000069,-0.000090,0.000234,-0.000200,  29.124
     6.4,-0.000076,-0.000092,0.000243,-0.000200,  29.115
     6.6,-0.000069,-0.000096,0.000248,-0.000222,  29.113
     6.8,-0.000069,-0.000100,0.000227,-0.000161,  29.110
     7.0,-0.000076,-0.000102,0.000203,-0.000148,  29.101
     7.2,-0.000069,-0.000106,0.000172,-0.000183,  29.095
     7.4,-0.000072,-0.000113,0.000123,-0.000148,  29.090
     7.6,-0.000075,-0.000110,0.000060,-0.000135,  29.084
     7.8,-0.000074,-0.000108,-0.000028,-0.000122,  29.083
     8.0,-0.000076,-0.000113,-0.000117,-0.000122,  29.076
     8.2,-0.000082,-0.000111,-0.000189,-0.000122,  29.071
     8.4,-0.000090,-0.000108,-0.000262,-0.000122,  29.069
     8.6,-0.000093,-0.000111,-0.000334,-0.000109,  29.066
     8.8,-0.000096,-0.000104,-0.000357,-0.000109,  29.060
     9.0,-0.000102,-0.000097,-0.000380,-0.000096,  29.056
     9.2,-0.000102,-0.000100,-0.000369,-0.000117,  29.045
     9.4,-0.000102,-0.000097,-0.000351,-0.000096,  29.040
     9.6,-0.000099,-0.000099,-0.000333,-0.000096,  29.044
     9.8,-0.000099,-0.000101,-0.000299,-0.000117,  29.055
    10.0,-0.000107,-0.000103,-0.000431,-0.000083,  29.073
    10.2,-0.000119,-0.000108,-0.000638,-0.000083,  29.046
    10.4,-0.000124,-0.000105,-0.000920,-0.000104,  29.028
    10.6,-0.000137,-0.000109,-0.001008,-0.000070,  29.022
    10.8,-0.000148,-0.000116,-0.001029,-0.000070,  29.013
    11.0,-0.000159,-0.000124,-0.000969,-0.000091,  29.013
    11.2,-0.000177,-0.000150,-0.000918,-0.000070,  29.008
    11.4,-0.000188,-0.000178,-0.000845,-0.000057,  28.998
    11.6,-0.000193,-0.000209,-0.000746,-0.000091,  28.999
    11.8,-0.000203,-0.000223,-0.000768,-0.000057,  28.995
    12.0,-0.000196,-0.000223,-0.000842,-0.000057,  28.986
    12.2,-0.000205,-0.000212,-0.000957,-0.000117,  28.991
    12.4,-0.000223,-0.000213,-0.001021,-0.000144,  28.983
    12.6,-0.000233,-0.000206,-0.001093,-0.000144,  28.980
    12.8,-0.000236,-0.000201,-0.001158,-0.000131,  28.977
    13.0,-0.000245,-0.000206,-0.001179,-0.000131,  28.975
    13.2,-0.000239,-0.000206,-0.001153,-0.000131,  28.972
    13.4,-0.000241,-0.000207,-0.001124,-0.000117,  28.966
    13.6,-0.000254,-0.000210,-0.001144,-0.000131,  28.966
    13.8,-0.000255,-0.000210,-0.001158,-0.000131,  28.957
    14.0,-0.000261,-0.000206,-0.001182,-0.000117,  28.955
    14.2,-0.000268,-0.000208,-0.001211,-0.000131,  28.951
    14.4,-0.000264,-0.000201,-0.001248,-0.000131,  28.948
    14.6,-0.000261,-0.000204,-0.001271,-0.000117,  28.943
    14.8,-0.000271,-0.000213,-0.001309,-0.000131,  28.941
    15.0,-0.000270,-0.000205,-0.001349,-0.000131,  28.940
    15.2,-0.000272,-0.000209,-0.001405,-0.000117,  28.933
    15.4,-0.000275,-0.000209,-0.001414,-0.000117,  28.936
    15.6,-0.000285,-0.000208,-0.001393,-0.000117,  28.931
    15.8,-0.000281,-0.000202,-0.001358,-0.000117,  28.928
    16.0,-0.000284,-0.000207,-0.001490,-0.000117,  28.930
    16.2,-0.000290,-0.000211,-0.001679,-0.000117,  28.942
    16.4,-0.000284,-0.000218,-0.001942,-0.000104,  28.950
    16.6,-0.000287,-0.000225,-0.002012,-0.000104,  28.939
    16.8,-0.000305,-0.000225,-0.002024,-0.000104,  28.927
    17.0,-0.000312,-0.000223,-0.001962,-0.000139,  28.915
    17.2,-0.000318,-0.000236,-0.001951,-0.000091,  28.907
    17.4,-0.000333,-0.000249,-0.001930,-0.000104,  28.909
    17.6,-0.000332,-0.000261,-0.001895,-0.000104,  28.906
    17.8,-0.000349,-0.000264,-0.001852,-0.000091,  28.904
    18.0,-0.000378,-0.000275,-0.001782,-0.000091,  28.900
    18.2,-0.000400,-0.000279,-0.001704,-0.000078,  28.897
    18.4,-0.000414,-0.000285,-0.001620,-0.000078,  28.895
