Run Name,group 2 spring 2015 50%
Run Date,12:31:28 PM   02-08-15
Method Name,50%B-Isocratic.52
Export Format Version, 1.00
Method ID, 2096
Points/Second, 5.00
Number of Records,   2360
Offset from Run Start Time,00:00:00
Run End Time,00:07:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.029949,-0.349351,0.127515,0.000000,  35.965
     0.2,0.029956,-0.349351,0.127515,0.000000,  35.976
     0.4,0.029927,-0.349351,0.127515,0.000000,  35.976
     0.6,0.030548,-0.349349,0.127515,0.000000,  35.981
     0.8,0.000000,-0.349349,0.000000,0.000000,  35.975
     1.0,0.000000,0.000000,0.000000,0.000000,  35.976
     1.2,0.000000,0.000000,0.000000,0.000000,  35.980
     1.4,0.000000,0.000000,0.000000,0.000000,  35.982
     1.6,0.000000,0.000000,0.000000,0.000000,  35.977
     1.8,0.000000,0.000000,0.000000,0.000000,  35.987
     2.0,0.000000,0.000000,0.000000,0.000000,  35.987
     2.2,0.000000,0.000000,0.000000,0.000000,  35.991
     2.4,0.000000,0.000000,0.000000,0.000000,  35.988
     2.6,0.000000,0.000000,0.000000,0.000000,  35.991
     2.8,0.000000,0.000000,0.000000,0.000000,  35.988
     3.0,0.000000,0.000000,0.000000,0.000000,  35.993
     3.2,0.000000,0.000000,0.000000,0.000000,  35.994
     3.4,0.000000,0.000000,0.000000,0.000000,  35.990
     3.6,0.000000,0.000000,0.000000,0.000000,  35.992
     3.8,0.000000,0.000000,0.000000,0.000000,  35.998
     4.0,0.000000,0.000000,0.000000,0.000000,  35.997
     4.2,0.000000,0.000000,0.000000,0.000000,  36.002
     4.4,0.000000,0.000000,0.000000,0.000000,  36.005
     4.6,0.000000,0.000076,0.000000,0.000000,  36.003
     4.8,0.000212,0.000083,0.000870,0.000000,  36.004
     5.0,0.000218,0.000092,0.001526,0.000070,  36.010
     5.2,0.000224,0.000104,0.001973,0.000048,  36.013
     5.4,0.000230,0.000113,0.002230,0.000061,  36.024
     5.6,0.000239,0.000118,0.002301,0.000048,  36.033
     5.8,0.000238,0.000122,0.002163,0.000013,  36.044
     6.0,0.000241,0.000124,0.002172,0.000048,  36.067
     6.2,0.000241,0.000121,0.002165,0.000022,  36.061
     6.4,0.000228,0.000121,0.002142,-0.000013,  36.047
     6.6,0.000226,0.000124,0.000838,0.000035,  36.044
     6.8,0.000202,0.000111,-0.001134,0.000022,  36.049
     7.0,0.000172,0.000095,-0.003776,-0.000013,  36.053
     7.2,0.000137,0.000076,-0.005268,0.000035,  36.053
     7.4,0.000104,0.000056,-0.006536,0.000022,  36.055
     7.6,0.000079,0.000043,-0.007564,-0.000026,  36.057
     7.8,0.000044,0.000026,-0.008175,-0.000030,  36.061
     8.0,0.000020,0.000003,-0.008457,-0.000083,  36.064
     8.2,0.000003,-0.000009,-0.008417,-0.000117,  36.065
     8.4,-0.000018,-0.000027,-0.008975,-0.000083,  36.072
     8.6,-0.000029,-0.000041,-0.009666,-0.000069,  36.072
     8.8,-0.000041,-0.000050,-0.010492,-0.000091,  36.075
     9.0,-0.000049,-0.000058,-0.011093,-0.000043,  36.079
     9.2,-0.000061,-0.000067,-0.011639,-0.000043,  36.079
     9.4,-0.000075,-0.000077,-0.012142,-0.000065,  36.074
     9.6,-0.000099,-0.000082,-0.012634,-0.000065,  36.076
     9.8,-0.000110,-0.000088,-0.013086,-0.000065,  36.083
    10.0,-0.000128,-0.000097,-0.013520,-0.000065,  36.087
    10.2,-0.000155,-0.000098,-0.013922,-0.000065,  36.089
    10.4,-0.000169,-0.000111,-0.014311,-0.000100,  36.090
    10.6,-0.000183,-0.000123,-0.014673,-0.000065,  36.092
    10.8,-0.000210,-0.000127,-0.014985,-0.000100,  36.094
    11.0,-0.000224,-0.000147,-0.015269,-0.000100,  36.095
    11.2,-0.000245,-0.000167,-0.015508,-0.000065,  36.098
    11.4,-0.000268,-0.000191,-0.015727,-0.000087,  36.096
    11.6,-0.000288,-0.000206,-0.016095,-0.000087,  36.103
    11.8,-0.000302,-0.000208,-0.016508,-0.000052,  36.103
    12.0,-0.000314,-0.000212,-0.016965,-0.000074,  36.105
    12.2,-0.000320,-0.000212,-0.015898,-0.000061,  36.107
    12.4,-0.000323,-0.000212,-0.014101,-0.000026,  36.109
    12.6,-0.000328,-0.000206,-0.011575,-0.000048,  36.117
    12.8,-0.000325,-0.000199,-0.010725,-0.000048,  36.119
    13.0,-0.000345,-0.000206,-0.010331,0.000000,  36.114
    13.2,-0.000384,-0.000214,-0.010406,-0.000022,  36.118
    13.4,-0.000418,-0.000231,-0.011361,-0.000035,  36.119
    13.6,-0.000441,-0.000247,-0.012993,0.000000,  36.118
    13.8,-0.000472,-0.000260,-0.015293,-0.000022,  36.127
    14.0,-0.000485,-0.000271,-0.016542,-0.000035,  36.133
    14.2,-0.000509,-0.000286,-0.017612,0.000000,  36.141
    14.4,-0.000529,-0.000302,-0.018490,-0.000022,  36.154
    14.6,-0.000552,-0.000317,-0.019351,-0.000035,  36.164
    14.8,-0.000578,-0.000333,-0.020103,0.000000,  36.155
    15.0,-0.000607,-0.000343,-0.020747,-0.000022,  36.143
    15.2,-0.000639,-0.000351,-0.021531,-0.000035,  36.142
    15.4,-0.000671,-0.000375,-0.022352,0.000000,  36.136
    15.6,-0.000710,-0.000405,-0.023187,-0.000035,  36.137
    15.8,-0.000738,-0.000430,-0.023893,-0.000048,  36.147
    16.0,-0.000776,-0.000460,-0.024561,-0.000039,  36.149
    16.2,-0.000827,-0.000495,-0.025173,-0.000100,  36.150
    16.4,-0.000867,-0.000521,-0.025441,-0.000126,  36.152
    16.6,-0.000916,-0.000552,-0.025528,-0.000156,  36.151
    16.8,-0.000951,-0.000579,-0.025403,-0.000204,  36.150
    17.0,-0.000986,-0.000603,-0.025748,-0.000191,  36.156
    17.2,-0.001015,-0.000621,-0.026243,-0.000143,  36.155
    17.4,-0.001042,-0.000630,-0.026877,-0.000143,  36.152
    17.6,-0.001068,-0.000627,-0.027408,-0.000130,  36.158
    17.8,-0.001088,-0.000635,-0.027951,-0.000165,  36.149
    18.0,-0.001109,-0.000650,-0.028536,-0.000117,  36.147
    18.2,-0.001129,-0.000669,-0.028961,-0.000139,  36.150
    18.4,-0.001150,-0.000682,-0.029326,-0.000152,  36.151
    18.6,-0.001160,-0.000698,-0.029627,-0.000117,  36.149
    18.8,-0.001178,-0.000716,-0.029868,-0.000152,  36.150
    19.0,-0.001194,-0.000733,-0.030257,-0.000152,  36.146
    19.2,-0.001218,-0.000753,-0.030681,-0.000130,  36.148
    19.4,-0.001244,-0.000766,-0.031133,-0.000165,  36.154
    19.6,-0.001279,-0.000778,-0.031632,-0.000152,  36.152
    19.8,-0.001309,-0.000798,-0.032182,-0.000130,  36.151
    20.0,-0.001329,-0.000812,-0.032760,-0.000152,  36.153
    20.2,-0.001346,-0.000823,-0.032225,-0.000139,  36.159
    20.4,-0.001367,-0.000827,-0.031141,-0.000104,  36.158
    20.6,-0.001379,-0.000827,-0.029533,-0.000126,  36.158
    20.8,-0.001384,-0.000828,-0.030812,-0.000113,  36.161
    21.0,-0.001402,-0.000831,-0.033267,-0.000065,  36.167
    21.2,-0.001411,-0.000831,-0.036904,-0.000100,  36.167
    21.4,-0.001419,-0.000824,-0.037791,-0.000100,  36.172
    21.6,-0.001449,-0.000834,-0.037893,-0.000065,  36.180
    21.8,-0.001484,-0.000853,-0.037197,-0.000100,  36.181
