Run Name,Run 4
Run Date,04:38:01 PM   02-09-15
Method Name,18% C group 2 April 7 2014.10
Export Format Version, 1.00
Method ID, 2118
Points/Second, 5.00
Number of Records,   3030
Offset from Run Start Time,00:00:00
Run End Time,00:10:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000189,0.000000,0.001035,0.000187,  33.203
     0.2,0.000180,0.000000,0.001060,0.000200,  33.199
     0.4,0.000074,0.000000,0.001060,0.000235,  33.191
     0.6,0.000050,0.000000,0.001015,0.000291,  33.192
     0.8,0.000000,0.000000,0.001595,-0.006552,  33.185
     1.0,0.000000,0.000000,0.002491,0.000000,  33.184
     1.2,0.000000,0.000000,0.000000,0.000000,  33.183
     1.4,0.000000,0.000000,0.000000,0.000000,  33.183
     1.6,0.000000,0.000000,0.000000,0.000000,  33.182
     1.8,0.000000,0.000000,0.000000,0.000000,  33.189
     2.0,0.000000,0.000000,0.000000,0.000000,  33.191
     2.2,0.000000,0.000000,0.000000,0.000000,  33.195
     2.4,0.000000,0.000000,0.000000,0.000000,  33.200
     2.6,0.000000,0.000000,0.000000,0.000000,  33.205
     2.8,0.000000,0.000000,0.000000,0.000000,  33.204
     3.0,0.000000,0.000000,0.000000,0.000000,  33.214
     3.2,0.000000,0.000000,0.000000,0.000000,  33.216
     3.4,0.000000,0.000000,0.000000,0.000000,  33.213
     3.6,0.000000,0.000000,0.000000,0.000000,  33.219
     3.8,0.000000,0.000000,0.000000,0.000000,  33.215
     4.0,0.000000,0.000057,0.000000,0.000000,  33.218
     4.2,0.000056,0.000045,0.000000,0.000000,  33.220
     4.4,0.000016,0.000031,0.000000,0.000000,  33.214
     4.6,-0.000022,0.000025,0.000000,0.000000,  33.208
     4.8,-0.000040,0.000013,0.000000,0.000000,  33.198
     5.0,-0.000067,-0.000006,0.000000,0.000000,  33.188
     5.2,-0.000074,-0.000014,0.000000,0.000000,  33.177
     5.4,-0.000088,-0.000030,0.000019,0.000074,  33.171
     5.6,-0.000092,-0.000030,0.000057,0.000013,  33.165
     5.8,-0.000083,-0.000021,0.000095,-0.000074,  33.160
     6.0,-0.000064,-0.000008,0.000160,-0.000078,  33.155
     6.2,-0.000065,-0.000004,0.000212,-0.000139,  33.155
     6.4,-0.000068,0.000007,0.000283,-0.000152,  33.154
     6.6,-0.000064,0.000012,0.000406,-0.000130,  33.152
     6.8,-0.000115,-0.000018,0.000573,-0.000165,  33.151
     7.0,-0.000182,-0.000065,0.000760,-0.000165,  33.154
     7.2,-0.000274,-0.000128,0.000730,-0.000117,  33.164
     7.4,-0.000314,-0.000176,0.000616,-0.000152,  33.168
     7.6,-0.000336,-0.000219,0.000420,-0.000178,  33.179
     7.8,-0.000350,-0.000260,0.000492,-0.000182,  33.187
     8.0,-0.000347,-0.000265,0.000646,-0.000256,  33.194
     8.2,-0.000325,-0.000243,0.000870,-0.000322,  33.199
     8.4,-0.000297,-0.000209,0.000914,-0.000413,  33.202
     8.6,-0.000249,-0.000189,0.000913,-0.000413,  33.204
     8.8,-0.000219,-0.000159,0.000874,-0.000374,  33.209
     9.0,-0.000188,-0.000127,0.000751,-0.000322,  33.212
     9.2,-0.000154,-0.000106,0.000552,-0.000270,  33.208
     9.4,-0.000135,-0.000084,0.000308,-0.000230,  33.208
     9.6,-0.000118,-0.000062,0.000185,-0.000191,  33.204
     9.8,-0.000110,-0.000066,0.000095,-0.000152,  33.194
    10.0,-0.000124,-0.000088,0.000017,-0.000126,  33.195
    10.2,-0.000149,-0.000120,-0.000060,-0.000113,  33.182
    10.4,-0.000188,-0.000127,-0.000137,-0.000113,  33.171
    10.6,-0.000191,-0.000124,-0.000214,-0.000113,  33.162
    10.8,-0.000185,-0.000116,-0.000170,-0.000139,  33.144
    11.0,-0.000167,-0.000108,-0.000094,-0.000152,  33.140
    11.2,-0.000160,-0.000086,0.000033,-0.000178,  33.142
    11.4,-0.000143,-0.000067,0.000149,-0.000239,  33.139
    11.6,-0.000122,-0.000067,0.000277,-0.000230,  33.139
    11.8,-0.000143,-0.000078,0.000413,-0.000265,  33.137
    12.0,-0.000171,-0.000094,0.000555,-0.000265,  33.132
    12.2,-0.000209,-0.000148,0.000716,-0.000217,  33.138
    12.4,-0.000273,-0.000213,0.000876,-0.000217,  33.145
    12.6,-0.000344,-0.000305,0.001050,-0.000217,  33.153
    12.8,-0.000424,-0.000337,0.001250,-0.000217,  33.169
    13.0,-0.000442,-0.000336,0.001437,-0.000243,  33.177
    13.2,-0.000425,-0.000324,0.001636,-0.000296,  33.184
    13.4,-0.000382,-0.000315,0.001688,-0.000361,  33.193
    13.6,-0.000352,-0.000295,0.001650,-0.000400,  33.193
    13.8,-0.000305,-0.000267,0.001547,-0.000439,  33.196
    14.0,-0.000254,-0.000230,0.001431,-0.000478,  33.201
    14.2,-0.000222,-0.000210,0.001250,-0.000465,  33.201
    14.4,-0.000186,-0.000176,0.001038,-0.000400,  33.203
    14.6,-0.000152,-0.000143,0.000442,-0.000322,  33.200
    14.8,-0.000150,-0.000126,-0.000389,-0.000270,  33.198
    15.0,-0.000164,-0.000122,-0.001421,-0.000230,  33.194
    15.2,-0.000190,-0.000121,-0.001587,-0.000191,  33.184
    15.4,-0.000205,-0.000130,-0.001429,-0.000152,  33.169
    15.6,-0.000216,-0.000143,-0.000953,-0.000126,  33.149
    15.8,-0.000220,-0.000167,-0.000814,-0.000113,  33.124
    16.0,-0.000219,-0.000160,-0.000675,-0.000126,  33.122
    16.2,-0.000202,-0.000148,-0.000554,-0.000152,  33.116
    16.4,-0.000170,-0.000124,-0.000433,-0.000230,  33.112
    16.6,-0.000168,-0.000109,-0.000343,-0.000256,  33.103
    16.8,-0.000163,-0.000101,-0.000233,-0.000256,  33.098
    17.0,-0.000156,-0.000086,-0.000041,-0.000270,  33.100
    17.2,-0.000187,-0.000116,0.000177,-0.000256,  33.097
    17.4,-0.000229,-0.000165,0.000454,-0.000256,  33.099
    17.6,-0.000300,-0.000233,0.000270,-0.000243,  33.110
    17.8,-0.000374,-0.000283,-0.000150,-0.000243,  33.125
    18.0,-0.000414,-0.000329,-0.000759,-0.000256,  33.139
    18.2,-0.000445,-0.000373,-0.000612,-0.000283,  33.152
    18.4,-0.000458,-0.000378,-0.000178,-0.000335,  33.155
    18.6,-0.000445,-0.000352,0.000524,-0.000413,  33.165
    18.8,-0.000409,-0.000301,0.000709,-0.000491,  33.180
    19.0,-0.000340,-0.000271,0.000785,-0.000491,  33.184
    19.2,-0.000308,-0.000242,0.000752,-0.000465,  33.190
    19.4,-0.000272,-0.000198,0.000713,-0.000413,  33.197
    19.6,-0.000235,-0.000173,0.000583,-0.000361,  33.193
    19.8,-0.000210,-0.000150,0.000390,-0.000309,  33.192
    20.0,-0.000191,-0.000127,0.000254,-0.000270,  33.185
    20.2,-0.000177,-0.000136,0.000113,-0.000243,  33.178
    20.4,-0.000188,-0.000157,-0.000067,-0.000204,  33.166
    20.6,-0.000219,-0.000195,-0.000183,-0.000226,  33.144
    20.8,-0.000266,-0.000204,-0.000279,-0.000165,  33.113
    21.0,-0.000272,-0.000200,-0.000356,-0.000187,  33.099
    21.2,-0.000269,-0.000184,-0.000389,-0.000200,  33.089
    21.4,-0.000245,-0.000174,-0.000370,-0.000178,  33.085
    21.6,-0.000234,-0.000156,-0.000331,-0.000191,  33.080
    21.8,-0.000214,-0.000125,-0.000261,-0.000217,  33.079
    22.0,-0.000179,-0.000125,-0.000292,-0.000270,  33.079
    22.2,-0.000193,-0.000138,-0.000316,-0.000270,  33.083
    22.4,-0.000231,-0.000150,-0.000372,-0.000270,  33.082
    22.6,-0.000269,-0.000184,-0.000224,-0.000270,  33.086
    22.8,-0.000340,-0.000233,0.000014,-0.000256,  33.099
    23.0,-0.000427,-0.000297,0.000335,-0.000256,  33.112
    23.2,-0.000531,-0.000368,0.000573,-0.000256,  33.122
    23.4,-0.000549,-0.000390,0.000772,-0.000283,  33.141
    23.6,-0.000524,-0.000394,0.000972,-0.000335,  33.152
    23.8,-0.000458,-0.000384,0.001094,-0.000413,  33.156
    24.0,-0.000426,-0.000363,0.001145,-0.000439,  33.163
    24.2,-0.000381,-0.000332,0.001157,-0.000478,  33.174
    24.4,-0.000328,-0.000286,0.001047,-0.000517,  33.180
    24.6,-0.000299,-0.000257,0.000848,-0.000478,  33.182
    24.8,-0.000268,-0.000227,0.000572,-0.000439,  33.184
    25.0,-0.000243,-0.000197,0.000366,-0.000361,  33.182
    25.2,-0.000252,-0.000194,0.000154,-0.000309,  33.176
    25.4,-0.000272,-0.000195,-0.000058,-0.000256,  33.168
    25.6,-0.000307,-0.000207,-0.000372,-0.000230,  33.155
    25.8,-0.000319,-0.000218,-0.000761,-0.000204,  33.129
    26.0,-0.000322,-0.000230,-0.001201,-0.000178,  33.108
    26.2,-0.000312,-0.000242,-0.001240,-0.000178,  33.083
    26.4,-0.000304,-0.000236,-0.001120,-0.000191,  33.073
    26.6,-0.000293,-0.000221,-0.000847,-0.000243,  33.075
    26.8,-0.000273,-0.000195,-0.000688,-0.000309,  33.065
    27.0,-0.000247,-0.000179,-0.000509,-0.000322,  33.066
    27.2,-0.000245,-0.000160,-0.000317,-0.000322,  33.065
    27.4,-0.000234,-0.000140,-0.000093,-0.000322,  33.061
    27.6,-0.000226,-0.000172,0.000145,-0.000309,  33.061
    27.8,-0.000277,-0.000225,0.000390,-0.000296,  33.069
    28.0,-0.000347,-0.000301,0.000646,-0.000283,  33.073
    28.2,-0.000444,-0.000357,0.000916,-0.000283,  33.087
    28.4,-0.000492,-0.000405,0.001168,-0.000309,  33.105
    28.6,-0.000520,-0.000453,0.001290,-0.000335,  33.117
    28.8,-0.000534,-0.000451,0.001362,-0.000387,  33.139
    29.0,-0.000517,-0.000427,0.001343,-0.000465,  33.146
    29.2,-0.000476,-0.000374,0.001132,-0.000569,  33.152
    29.4,-0.000411,-0.000343,0.000799,-0.000595,  33.154
    29.6,-0.000372,-0.000305,0.000318,-0.000569,  33.165
    29.8,-0.000330,-0.000260,0.000081,-0.000565,  33.167
    30.0,-0.000288,-0.000231,-0.000093,-0.000465,  33.175
    30.2,-0.000255,-0.000206,-0.000229,-0.000435,  33.177
