Run Name,Run 3
Run Date,04:18:58 PM   02-09-15
Method Name,20%B CR 02 27 Suhas
Export Format Version, 1.00
Method ID, 1879
Points/Second, 5.00
Number of Records,   4557
Offset from Run Start Time,00:00:00
Run End Time,00:15:11
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000283,0.000243,-0.000890,0.000000,  36.177
     0.2,0.000276,0.000243,-0.000890,0.000000,  36.178
     0.4,0.000155,0.000198,-0.000890,0.000000,  36.181
     0.6,0.000231,0.000102,-0.000890,0.000000,  36.160
     0.8,0.000000,0.000102,-0.000890,0.000000,  36.137
     1.0,0.000000,0.000000,0.000000,0.000000,  36.124
     1.2,0.000000,0.000000,0.000000,0.000000,  36.117
     1.4,0.000000,0.000000,0.000000,0.000000,  36.110
     1.6,0.000000,0.000000,0.000000,0.000000,  36.111
     1.8,0.000000,0.000000,0.000000,0.000000,  36.108
     2.0,0.000000,0.000000,0.000000,0.000000,  36.103
     2.2,0.000000,0.000000,0.000000,0.000000,  36.104
     2.4,0.000000,0.000000,0.000000,0.000000,  36.103
     2.6,0.000000,0.000000,0.000000,0.000000,  36.100
     2.8,0.000000,0.000000,0.000000,0.000000,  36.103
     3.0,0.000000,0.000000,0.000000,0.000000,  36.104
     3.2,0.000000,0.000000,0.000000,0.000000,  36.111
     3.4,0.000000,0.000000,0.000000,0.000000,  36.122
     3.6,0.000000,0.000000,0.000000,0.000000,  36.131
     3.8,0.000000,0.000000,0.000000,0.000000,  36.145
     4.0,0.000000,0.000000,0.000000,0.000000,  36.150
     4.2,0.000000,0.000000,0.000000,0.000000,  36.160
     4.4,-0.000113,-0.000042,0.000000,-0.000009,  36.166
     4.6,-0.000182,-0.000079,-0.000347,-0.000061,  36.174
     4.8,-0.000226,-0.000102,0.002233,-0.000113,  36.173
     5.0,-0.000232,-0.000119,0.004018,-0.000130,  36.178
     5.2,-0.000219,-0.000108,0.005032,-0.000178,  36.183
     5.4,-0.000159,-0.000091,0.005257,-0.000178,  36.183
     5.6,-0.000131,-0.000079,0.004709,-0.000152,  36.179
     5.8,-0.000113,-0.000061,0.003357,-0.000139,  36.169
     6.0,-0.000081,-0.000028,0.002986,-0.000139,  36.148
     6.2,-0.000065,-0.000011,0.002715,-0.000139,  36.115
     6.4,-0.000051,-0.000001,0.002545,-0.000126,  36.104
     6.6,-0.000040,0.000011,0.002419,-0.000113,  36.094
     6.8,-0.000057,0.000002,0.002320,-0.000126,  36.092
     7.0,-0.000097,-0.000013,0.002308,-0.000178,  36.090
     7.2,-0.000145,-0.000043,0.002128,-0.000243,  36.091
     7.4,-0.000202,-0.000092,0.001866,-0.000348,  36.085
     7.6,-0.000240,-0.000152,0.001554,-0.000361,  36.083
     7.8,-0.000268,-0.000223,0.001307,-0.000335,  36.082
     8.0,-0.000281,-0.000234,0.001022,-0.000283,  36.076
     8.2,-0.000282,-0.000235,0.000750,-0.000243,  36.076
     8.4,-0.000255,-0.000199,0.000607,-0.000217,  36.082
     8.6,-0.000216,-0.000180,0.000528,-0.000178,  36.091
     8.8,-0.000201,-0.000166,0.000500,-0.000152,  36.104
     9.0,-0.000177,-0.000140,0.000092,-0.000126,  36.119
     9.2,-0.000163,-0.000125,-0.000486,-0.000161,  36.130
     9.4,-0.000153,-0.000119,-0.001233,-0.000126,  36.137
     9.6,-0.000135,-0.000110,-0.002141,-0.000148,  36.144
     9.8,-0.000127,-0.000119,-0.002148,-0.000161,  36.146
    10.0,-0.000148,-0.000142,-0.001928,-0.000139,  36.153
    10.2,-0.000166,-0.000169,-0.001436,-0.000152,  36.166
    10.4,-0.000208,-0.000170,-0.001133,-0.000178,  36.159
    10.6,-0.000215,-0.000153,-0.000810,-0.000204,  36.169
    10.8,-0.000194,-0.000123,-0.000435,-0.000204,  36.163
    11.0,-0.000169,-0.000111,-0.000155,-0.000217,  36.162
    11.2,-0.000156,-0.000096,0.000107,-0.000204,  36.153
    11.4,-0.000139,-0.000085,0.000319,-0.000226,  36.115
    11.6,-0.000122,-0.000070,0.001764,-0.000226,  36.071
    11.8,-0.000118,-0.000059,0.003783,-0.000213,  36.049
    12.0,-0.000106,-0.000046,0.006377,-0.000235,  36.036
    12.2,-0.000096,-0.000040,0.007749,-0.000261,  36.040
    12.4,-0.000159,-0.000088,0.008786,-0.000239,  36.033
    12.6,-0.000239,-0.000167,0.009501,-0.000252,  36.028
    12.8,-0.000359,-0.000274,0.008855,-0.000291,  36.028
    13.0,-0.000388,-0.000311,0.007357,-0.000330,  36.029
    13.2,-0.000373,-0.000317,0.005016,-0.000317,  36.026
    13.4,-0.000334,-0.000305,0.003920,-0.000304,  36.020
    13.6,-0.000320,-0.000299,0.003034,-0.000265,  36.022
    13.8,-0.000307,-0.000281,0.002358,-0.000239,  36.032
    14.0,-0.000287,-0.000249,0.001753,-0.000226,  36.046
    14.2,-0.000261,-0.000227,0.001279,-0.000213,  36.064
    14.4,-0.000248,-0.000214,0.000936,-0.000187,  36.078
    14.6,-0.000231,-0.000191,0.000626,-0.000174,  36.102
    14.8,-0.000208,-0.000178,0.000375,-0.000161,  36.115
    15.0,-0.000209,-0.000176,0.000184,-0.000161,  36.120
    15.2,-0.000205,-0.000169,0.000145,-0.000187,  36.125
    15.4,-0.000219,-0.000176,0.000216,-0.000226,  36.130
    15.6,-0.000231,-0.000195,0.000378,-0.000278,  36.139
    15.8,-0.000233,-0.000216,0.000432,-0.000313,  36.139
    16.0,-0.000247,-0.000210,0.000482,-0.000291,  36.140
    16.2,-0.000245,-0.000198,0.000513,-0.000291,  36.143
    16.4,-0.000222,-0.000165,0.000546,-0.000256,  36.138
    16.6,-0.000197,-0.000146,0.000660,-0.000243,  36.119
    16.8,-0.000180,-0.000125,0.000793,-0.000243,  36.062
    17.0,-0.000163,-0.000101,0.000946,-0.000209,  36.030
    17.2,-0.000143,-0.000092,0.001074,-0.000183,  36.018
    17.4,-0.000149,-0.000086,0.001169,-0.000217,  36.013
    17.6,-0.000158,-0.000090,0.001253,-0.000243,  36.012
    17.8,-0.000177,-0.000092,0.000111,-0.000283,  36.001
    18.0,-0.000231,-0.000150,-0.001680,-0.000361,  35.997
    18.2,-0.000289,-0.000226,-0.004134,-0.000374,  35.994
    18.4,-0.000376,-0.000321,-0.003160,-0.000348,  35.993
    18.6,-0.000396,-0.000345,-0.000800,-0.000335,  35.997
    18.8,-0.000373,-0.000339,0.002903,-0.000309,  35.992
    19.0,-0.000334,-0.000310,0.003294,-0.000270,  35.993
    19.2,-0.000318,-0.000298,0.002738,-0.000243,  36.009
    19.4,-0.000289,-0.000274,0.001227,-0.000217,  36.023
    19.6,-0.000264,-0.000249,0.000808,-0.000191,  36.049
    19.8,-0.000247,-0.000232,0.000450,-0.000178,  36.069
    20.0,-0.000237,-0.000212,0.000164,-0.000165,  36.084
    20.2,-0.000223,-0.000193,-0.000039,-0.000165,  36.097
    20.4,-0.000205,-0.000191,-0.000172,-0.000152,  36.106
    20.6,-0.000226,-0.000202,-0.000246,-0.000178,  36.115
    20.8,-0.000251,-0.000221,-0.000249,-0.000217,  36.121
    21.0,-0.000283,-0.000219,-0.000169,-0.000270,  36.123
    21.2,-0.000290,-0.000219,-0.000011,-0.000283,  36.125
    21.4,-0.000278,-0.000221,0.000128,-0.000283,  36.126
    21.6,-0.000261,-0.000209,0.000312,-0.000270,  36.126
    21.8,-0.000251,-0.000187,0.000529,-0.000256,  36.120
    22.0,-0.000227,-0.000163,0.000720,-0.000243,  36.098
    22.2,-0.000205,-0.000153,0.000899,-0.000278,  36.054
    22.4,-0.000195,-0.000128,0.001078,-0.000243,  36.018
    22.6,-0.000174,-0.000113,0.001225,-0.000265,  36.009
    22.8,-0.000163,-0.000124,0.001353,-0.000265,  35.994
    23.0,-0.000200,-0.000134,0.001443,-0.000230,  35.992
    23.2,-0.000264,-0.000159,0.001526,-0.000283,  35.985
    23.4,-0.000349,-0.000204,0.001391,-0.000361,  35.988
    23.6,-0.000389,-0.000260,0.001154,-0.000478,  35.984
    23.8,-0.000406,-0.000334,0.000808,-0.000478,  35.986
    24.0,-0.000409,-0.000342,0.000539,-0.000426,  35.982
    24.2,-0.000399,-0.000328,0.000264,-0.000361,  35.983
    24.4,-0.000364,-0.000289,-0.000023,-0.000322,  35.982
    24.6,-0.000322,-0.000277,-0.000189,-0.000270,  35.997
    24.8,-0.000301,-0.000258,-0.000305,-0.000243,  36.019
    25.0,-0.000269,-0.000246,-0.000363,-0.000217,  36.036
    25.2,-0.000250,-0.000229,0.000700,-0.000191,  36.061
    25.4,-0.000234,-0.000218,0.002349,-0.000178,  36.070
    25.6,-0.000208,-0.000197,0.004534,-0.000165,  36.080
    25.8,-0.000191,-0.000176,0.004593,-0.000178,  36.104
    26.0,-0.000200,-0.000185,0.003878,-0.000178,  36.108
    26.2,-0.000227,-0.000204,0.002359,-0.000178,  36.114
    26.4,-0.000260,-0.000233,0.001994,-0.000204,  36.113
    26.6,-0.000257,-0.000234,0.001779,-0.000243,  36.119
    26.8,-0.000246,-0.000216,0.001761,-0.000243,  36.122
    27.0,-0.000207,-0.000188,0.001654,-0.000230,  36.118
    27.2,-0.000193,-0.000173,0.001575,-0.000230,  36.117
    27.4,-0.000177,-0.000153,0.001538,-0.000217,  36.078
    27.6,-0.000167,-0.000128,0.001552,-0.000204,  36.029
    27.8,-0.000153,-0.000112,0.001567,-0.000191,  35.999
    28.0,-0.000148,-0.000106,0.001621,-0.000191,  35.987
    28.2,-0.000143,-0.000097,0.001669,-0.000191,  35.982
    28.4,-0.000137,-0.000139,0.001711,-0.000217,  35.981
    28.6,-0.000193,-0.000218,0.001747,-0.000230,  35.979
    28.8,-0.000282,-0.000328,0.001654,-0.000256,  35.976
    29.0,-0.000401,-0.000359,0.001497,-0.000309,  35.975
    29.2,-0.000421,-0.000359,0.001270,-0.000309,  35.974
    29.4,-0.000404,-0.000335,0.000733,-0.000296,  35.972
    29.6,-0.000356,-0.000321,-0.000018,-0.000317,  35.968
    29.8,-0.000329,-0.000294,-0.000943,-0.000278,  35.972
    30.0,-0.000302,-0.000262,-0.002080,-0.000287,  35.987
    30.2,-0.000265,-0.000242,-0.002151,-0.000239,  36.009
    30.4,-0.000240,-0.000214,-0.001919,-0.000213,  36.026
    30.6,-0.000225,-0.000190,-0.001384,-0.000187,  36.052
    30.8,-0.000198,-0.000178,-0.001240,-0.000174,  36.064
    31.0,-0.000193,-0.000165,-0.001146,-0.000161,  36.072
    31.2,-0.000200,-0.000161,-0.001121,-0.000174,  36.083
    31.4,-0.000198,-0.000163,-0.000957,-0.000187,  36.094
    31.6,-0.000204,-0.000171,-0.000729,-0.000252,  36.100
    31.8,-0.000222,-0.000184,-0.000470,-0.000265,  36.107
    32.0,-0.000229,-0.000202,-0.001338,-0.000278,  36.106
    32.2,-0.000225,-0.000187,-0.002747,-0.000291,  36.111
    32.4,-0.000214,-0.000172,-0.004696,-0.000291,  36.110
    32.6,-0.000191,-0.000149,-0.004501,-0.000278,  36.099
    32.8,-0.000177,-0.000135,-0.003521,-0.000265,  36.040
    33.0,-0.000166,-0.000116,-0.001753,-0.000265,  35.993
    33.2,-0.000148,-0.000099,-0.001018,-0.000265,  35.967
    33.4,-0.000151,-0.000095,-0.000422,-0.000265,  35.954
    33.6,-0.000169,-0.000096,0.000033,-0.000291,  35.944
    33.8,-0.000179,-0.000098,0.000385,-0.000344,  35.936
    34.0,-0.000210,-0.000147,0.000599,-0.000409,  35.935
    34.2,-0.000253,-0.000221,0.000676,-0.000422,  35.931
    34.4,-0.000299,-0.000314,0.000657,-0.000396,  35.934
    34.6,-0.000358,-0.000337,0.000521,-0.000370,  35.927
    34.8,-0.000364,-0.000332,0.000249,-0.000344,  35.925
    35.0,-0.000341,-0.000296,0.000150,-0.000304,  35.925
    35.2,-0.000305,-0.000282,0.000044,-0.000265,  35.932
    35.4,-0.000282,-0.000263,-0.000043,-0.000239,  35.949
    35.6,-0.000267,-0.000229,-0.000092,-0.000226,  35.971
    35.8,-0.000238,-0.000210,-0.000130,-0.000213,  36.002
    36.0,-0.000225,-0.000200,-0.000148,-0.000200,  36.024
    36.2,-0.000208,-0.000180,-0.000198,-0.000209,  36.045
    36.4,-0.000197,-0.000180,-0.000248,-0.000161,  36.051
    36.6,-0.000215,-0.000193,-0.000317,-0.000161,  36.066
    36.8,-0.000236,-0.000206,-0.000392,-0.000174,  36.074
    37.0,-0.000278,-0.000213,-0.000328,-0.000213,  36.076
    37.2,-0.000290,-0.000217,-0.000225,-0.000291,  36.075
    37.4,-0.000281,-0.000214,-0.000058,-0.000304,  36.084
    37.6,-0.000267,-0.000210,0.000146,-0.000304,  36.095
    37.8,-0.000262,-0.000197,0.000370,-0.000291,  36.094
    38.0,-0.000239,-0.000189,0.000652,-0.000291,  36.081
    38.2,-0.000219,-0.000163,0.000870,-0.000278,  36.008
    38.4,-0.000212,-0.000155,0.001062,-0.000278,  35.954
    38.6,-0.000191,-0.000146,0.001255,-0.000243,  35.920
    38.8,-0.000180,-0.000133,0.001466,-0.000230,  35.909
    39.0,-0.000226,-0.000141,0.001671,-0.000243,  35.903
    39.2,-0.000286,-0.000156,0.001863,-0.000261,  35.899
    39.4,-0.000378,-0.000187,0.001760,-0.000326,  35.889
    39.6,-0.000413,-0.000230,0.001537,-0.000478,  35.889
    39.8,-0.000420,-0.000287,0.001120,-0.000478,  35.887
    40.0,-0.000417,-0.000351,0.000864,-0.000426,  35.887
    40.2,-0.000409,-0.000362,0.000608,-0.000361,  35.884
    40.4,-0.000402,-0.000344,0.000339,-0.000322,  35.882
    40.6,-0.000367,-0.000308,0.000173,-0.000270,  35.888
    40.8,-0.000330,-0.000296,0.000038,-0.000243,  35.924
    41.0,-0.000311,-0.000270,-0.000071,-0.000217,  35.943
    41.2,-0.000285,-0.000248,-0.000192,-0.000191,  35.969
    41.4,-0.000253,-0.000236,-0.000319,-0.000178,  35.997
    41.6,-0.000234,-0.000217,-0.000453,-0.000165,  36.016
    41.8,-0.000217,-0.000204,-0.000751,-0.000178,  36.027
    42.0,-0.000206,-0.000212,-0.001124,-0.000191,  36.044
    42.2,-0.000214,-0.000229,-0.001565,-0.000204,  36.055
    42.4,-0.000246,-0.000258,-0.001501,-0.000217,  36.054
    42.6,-0.000285,-0.000258,-0.001228,-0.000265,  36.061
    42.8,-0.000289,-0.000245,-0.000726,-0.000270,  36.067
    43.0,-0.000278,-0.000224,-0.000472,-0.000304,  36.072
    43.2,-0.000253,-0.000207,-0.000236,-0.000304,  36.064
    43.4,-0.000243,-0.000186,-0.000007,-0.000270,  36.041
