Run Name,Run 3
Run Date,03:26:36 PM   02-09-15
Method Name,26%B CR Group 6 26/2
Export Format Version, 1.00
Method ID, 1856
Points/Second, 5.00
Number of Records,   4370
Offset from Run Start Time,00:00:00
Run End Time,00:14:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000335,0.000282,0.042166,0.000529,  42.418
     0.2,0.000335,0.000286,0.042154,0.000507,  42.423
     0.4,0.000329,0.000286,0.042160,0.000494,  42.435
     0.6,0.000331,0.000284,0.042172,0.000529,  42.440
     0.8,0.000327,0.000292,0.041940,0.000507,  42.438
     1.0,0.000339,0.000301,0.041596,0.000494,  42.426
     1.2,0.000347,0.000310,0.041121,0.000516,  42.423
     1.4,0.000341,0.000311,0.041140,0.000494,  42.412
     1.6,0.000342,0.000317,0.041327,0.000494,  42.392
     1.8,0.000336,0.000307,0.041702,0.000516,  42.390
     2.0,0.000332,0.000308,0.041815,0.000503,  42.381
     2.2,0.000342,0.000319,0.041891,0.000503,  42.385
     2.4,0.000347,0.000325,0.041929,0.000490,  42.376
     2.6,0.000341,0.000321,0.041955,0.000477,  42.380
     2.8,0.000342,0.000321,0.041955,0.000464,  42.380
     3.0,0.000336,0.000318,0.041936,0.000464,  42.377
     3.2,0.000327,0.000319,0.041867,0.000477,  42.377
     3.4,0.000324,0.000319,0.041923,0.000442,  42.374
     3.6,-0.000814,0.000000,0.041993,0.000442,  42.384
     3.8,-0.000811,0.000000,0.041365,0.000464,  42.385
     4.0,-0.000883,0.000000,0.041365,0.000429,  42.392
     4.2,-0.000883,0.000000,0.041365,0.000455,  42.398
     4.4,0.000000,0.000000,0.041365,0.000490,  42.407
     4.6,0.000000,0.000000,0.000000,0.000455,  42.410
     4.8,0.000000,0.000000,0.000000,0.000477,  42.412
     5.0,0.000000,0.000000,0.000000,0.000000,  42.421
     5.2,0.000000,0.000000,0.000000,0.000000,  42.435
     5.4,0.000000,0.000000,0.000000,0.000000,  42.435
     5.6,0.000000,0.000000,0.000000,0.000000,  42.439
     5.8,0.000000,0.000000,0.000000,0.000000,  42.443
     6.0,0.000000,0.000000,0.000000,0.000000,  42.443
     6.2,0.000000,0.000000,0.000000,0.000000,  42.445
     6.4,0.000000,0.000000,0.000000,0.000000,  42.447
     6.6,0.000000,0.000000,0.000000,0.000000,  42.441
     6.8,0.000000,0.000000,0.000000,0.000000,  42.432
     7.0,0.000000,0.000000,0.000000,0.000000,  42.416
     7.2,0.000000,0.000000,0.000000,0.000000,  42.408
     7.4,0.000000,0.000000,0.000000,0.000000,  42.381
     7.6,0.000000,0.000000,0.000000,0.000000,  42.374
     7.8,0.000000,0.000000,0.000000,0.000000,  42.371
     8.0,-0.000011,-0.000001,0.000000,0.000000,  42.362
     8.2,-0.000028,-0.000002,0.000000,0.000000,  42.360
     8.4,-0.000046,-0.000009,-0.000188,0.000000,  42.358
     8.6,-0.000084,-0.000026,0.000410,0.000000,  42.362
     8.8,-0.000117,-0.000054,0.000429,0.000000,  42.362
     9.0,-0.000154,-0.000089,-0.000117,0.000000,  42.358
     9.2,-0.000188,-0.000120,-0.001238,0.000000,  42.362
     9.4,-0.000216,-0.000141,-0.002911,0.000013,  42.363
     9.6,-0.000237,-0.000169,-0.005195,-0.000026,  42.374
     9.8,-0.000261,-0.000189,-0.005142,-0.000065,  42.385
    10.0,-0.000275,-0.000207,-0.004191,-0.000056,  42.391
    10.2,-0.000289,-0.000210,-0.002378,-0.000117,  42.398
    10.4,-0.000304,-0.000218,-0.001721,-0.000122,  42.406
    10.6,-0.000309,-0.000235,-0.001191,-0.000174,  42.409
    10.8,-0.000315,-0.000242,-0.000800,-0.000248,  42.416
    11.0,-0.000318,-0.000272,-0.000398,-0.000261,  42.430
    11.2,-0.000354,-0.000304,-0.000057,-0.000287,  42.430
    11.4,-0.000411,-0.000347,0.000205,-0.000348,  42.437
    11.6,-0.000466,-0.000367,0.000365,-0.000361,  42.443
    11.8,-0.000474,-0.000375,0.000446,-0.000339,  42.439
    12.0,-0.000463,-0.000370,0.000437,-0.000387,  42.442
    12.2,-0.000435,-0.000354,0.000441,-0.000400,  42.445
    12.4,-0.000401,-0.000327,0.000431,-0.000378,  42.439
    12.6,-0.000360,-0.000282,0.000369,-0.000426,  42.429
    12.8,-0.000304,-0.000253,0.000333,-0.000465,  42.411
    13.0,-0.000261,-0.000230,0.000283,-0.000482,  42.383
    13.2,-0.000230,-0.000195,0.000247,-0.000491,  42.376
    13.4,-0.000195,-0.000164,0.000190,-0.000452,  42.366
    13.6,-0.000168,-0.000139,0.000147,-0.000387,  42.362
    13.8,-0.000142,-0.000111,0.000091,-0.000348,  42.359
    14.0,-0.000123,-0.000107,0.000054,-0.000309,  42.355
    14.2,-0.000135,-0.000116,0.000042,-0.000317,  42.347
    14.4,-0.000155,-0.000134,0.000049,-0.000256,  42.352
    14.6,-0.000184,-0.000149,0.000057,-0.000230,  42.352
    14.8,-0.000216,-0.000171,0.000133,-0.000239,  42.345
    15.0,-0.000247,-0.000192,0.000247,-0.000165,  42.347
    15.2,-0.000274,-0.000216,0.000400,-0.000174,  42.351
    15.4,-0.000297,-0.000233,-0.000659,-0.000139,  42.359
    15.6,-0.000311,-0.000248,-0.002314,-0.000139,  42.370
    15.8,-0.000322,-0.000260,-0.004579,-0.000200,  42.384
    16.0,-0.000331,-0.000266,-0.004513,-0.000204,  42.389
    16.2,-0.000342,-0.000270,-0.003580,-0.000256,  42.396
    16.4,-0.000347,-0.000274,-0.001779,-0.000317,  42.403
    16.6,-0.000367,-0.000287,-0.001084,-0.000343,  42.404
    16.8,-0.000395,-0.000306,-0.000529,-0.000369,  42.412
    17.0,-0.000428,-0.000329,-0.000075,-0.000417,  42.423
    17.2,-0.000448,-0.000348,0.000244,-0.000430,  42.428
    17.4,-0.000462,-0.000377,0.000434,-0.000422,  42.433
    17.6,-0.000470,-0.000402,0.000481,-0.000456,  42.432
    17.8,-0.000478,-0.000393,0.000546,-0.000469,  42.437
    18.0,-0.000453,-0.000369,0.000551,-0.000448,  42.431
    18.2,-0.000414,-0.000332,0.000480,-0.000496,  42.430
    18.4,-0.000361,-0.000295,0.000458,-0.000535,  42.420
    18.6,-0.000322,-0.000261,0.000435,-0.000565,  42.399
    18.8,-0.000283,-0.000224,0.000393,-0.000587,  42.375
    19.0,-0.000244,-0.000195,0.000232,-0.000561,  42.356
    19.2,-0.000217,-0.000170,-0.000031,-0.000500,  42.351
    19.4,-0.000189,-0.000145,-0.000349,-0.000496,  42.343
    19.6,-0.000170,-0.000137,-0.000443,-0.000396,  42.340
    19.8,-0.000161,-0.000133,-0.000429,-0.000322,  42.331
    20.0,-0.000167,-0.000129,-0.000347,-0.000282,  42.330
    20.2,-0.000177,-0.000142,-0.000158,-0.000291,  42.328
    20.4,-0.000193,-0.000172,-0.000051,-0.000252,  42.331
    20.6,-0.000223,-0.000204,0.000076,-0.000239,  42.328
    20.8,-0.000275,-0.000225,0.000222,-0.000248,  42.334
    21.0,-0.000300,-0.000246,0.000355,-0.000200,  42.337
    21.2,-0.000325,-0.000265,0.000495,-0.000174,  42.342
    21.4,-0.000347,-0.000279,0.000634,-0.000222,  42.359
    21.6,-0.000361,-0.000295,0.000799,-0.000213,  42.369
    21.8,-0.000372,-0.000296,0.000964,-0.000217,  42.371
    22.0,-0.000381,-0.000308,0.001154,-0.000278,  42.384
    22.2,-0.000392,-0.000319,0.002413,-0.000282,  42.387
    22.4,-0.000400,-0.000320,0.004196,-0.000335,  42.391
    22.6,-0.000414,-0.000329,0.006503,-0.000396,  42.394
    22.8,-0.000445,-0.000354,0.005459,-0.000374,  42.404
    23.0,-0.000487,-0.000402,0.003007,-0.000387,  42.407
    23.2,-0.000540,-0.000451,-0.000907,-0.000422,  42.410
    23.4,-0.000531,-0.000455,-0.001549,-0.000448,  42.416
    23.6,-0.000501,-0.000446,-0.001277,-0.000461,  42.426
    23.8,-0.000451,-0.000418,-0.000094,-0.000509,  42.425
    24.0,-0.000412,-0.000393,0.000013,-0.000535,  42.417
    24.2,-0.000370,-0.000359,0.000035,-0.000539,  42.403
    24.4,-0.000331,-0.000321,-0.000034,-0.000574,  42.371
    24.6,-0.000300,-0.000291,-0.000052,-0.000587,  42.348
    24.8,-0.000272,-0.000255,-0.000078,-0.000565,  42.335
    25.0,-0.000252,-0.000222,-0.000118,-0.000561,  42.320
    25.2,-0.000233,-0.000196,-0.000109,-0.000509,  42.305
    25.4,-0.000216,-0.000181,-0.000069,-0.000422,  42.299
    25.6,-0.000195,-0.000173,0.000002,-0.000404,  42.298
    25.8,-0.000187,-0.000175,0.000067,-0.000365,  42.296
    26.0,-0.000211,-0.000186,0.000125,-0.000291,  42.295
